,SIO2,CAO,AL2O3,MGO,1726
114,43.04,1.1,1.58,52.88589,HARZBURGITE
115,41.26,1.82,1.37,52.6506,HARZBURGITE
116,46.79,0.82,1.37,50.24,LHERZOLITE
117,42.27,2.89,1.74,51.222229999999996,LHERZOLITE
118,44.99,1.2,1.4,51.30455,HARZBURGITE
119,41.53,3.32,1.4,52.033970000000004,WEHRLITE
120,41.38,1.78,1.594,55.24,HARZBURGITE
121,42.13,1.4,1.79,51.07264,HARZBURGITE
122,43.94,1.06,1.41,52.57,HARZBURGITE
123,42.07,1.85,1.42,52.87,LHERZOLITE
124,42.5,1.49,2.29,53.137890000000006,LHERZOLITE
125,44.08,1.53,1.42,52.52686,LHERZOLITE
126,43.81,1.39,1.86,52.67,HARZBURGITE
127,42.9,0.5,1.66,53.71,HARZBURGITE
128,45.58,1.29,1.9,51.01,LHERZOLITE
129,44.3,1.95,1.44,49.87,LHERZOLITE
130,43.85,1.65,1.44,52.044312,LHERZOLITE
131,43.57,1.15,1.689,52.72,HARZBURGITE
132,44.55,0.89,1.44,52.32,HARZBURGITE
133,43.84,1.61,1.77,52.59,LHERZOLITE
134,46.17,5.04,2.03,47.26,LHERZOLITE
135,43.09,1.1,1.63,52.44719,LHERZOLITE
136,44.16,2.87,1.86,51.0194,LHERZOLITE
137,42.7,2.62,1.46,51.22807,HARZBURGITE
138,46.05,0.91,1.46,51.11,HARZBURGITE
139,46.67,0.81,1.46,50.6,HARZBURGITE
140,48.01,0.93,1.46,49.07,LHERZOLITE
141,42.48,2.54,1.85,50.66304,LHERZOLITE
142,43.5,1.72,1.47,51.61353,LHERZOLITE
143,43.29,1.44,1.47,52.882419999999996,HARZBURGITE
144,43.12,2.68,1.88,49.28718,LHERZOLITE
145,42.26,1.31,1.88,52.56476,HARZBURGITE
146,47.38,0.94,1.48,49.73,LHERZOLITE
147,46.45,0.88,1.49,50.68,HARZBURGITE
148,46.7,1.95,1.5,48.6788,LHERZOLITE
149,39.5,1.59,1.5,56.788000000000004,DUNITE
150,43.41,1.33,1.51,51.61059,LHERZOLITE
