Rock Type,SIO2,CAO,AL2O3,MGO
DUNITE,39.59,0.23,0.83,59.18
DUNITE,39.04,0.04,1.12,59.11981
DUNITE,39.68,0.03,0.61,59.0905
DUNITE,39.41,0.47,0.34,59.07
DUNITE,40.04,0.3,0.64,58.94
DUNITE,39.49,0.49,0.51,58.81
DUNITE,39.33,0.18,1.23,58.80395
DUNITE,39.75,0.43,0.87,58.65
DUNITE,40,0.03,0.43,58.61059
DUNITE,40.5,0.2,0.23,58.56931
DUNITE,41.03,0.28,0.22,58.54
DUNITE,40.6,0.66,0.11,58.53
DUNITE,40.04,0.5,0.24,58.52
DUNITE,39.89,0.73,0.61,58.44
DUNITE,40.83,0.05,0.47,58.43026
DUNITE,39.91,0.28,0.27,58.41
DUNITE,39.59,0.3,1.09,58.25
DUNITE,39.1,0.8,0.74,58.22
DUNITE,39.77,0.2,0.52,58.17
DUNITE,35.22,0.62,0.94,58.14
DUNITE,41.3,0.16,0.1,58.14
DUNITE,40.4,0.24,0.23,58.04
DUNITE,39.94,0.31,0.98,58.02
DUNITE,39.8,0.5,1.44,58
DUNITE,40.09,0.14,0.8,57.93454
DUNITE,39.57,0.36,0.53,57.85
DUNITE,40.12,0.34,0.15,57.80357
DUNITE,39.4,0.7,1.41,57.8
DUNITE,41.47,0.48,0.12,57.7
DUNITE,40.2,0.21,0.3,57.69767
DUNITE,39.57,0.44,1.26,57.64
DUNITE,38.78,0.05,1.91,57.637
DUNITE,39.64,0.27,0.73,57.62
DUNITE,40.77,0.02,1.68,57.54
DUNITE,39.36,0.61,1.27,57.52
DUNITE,41.79,0.58,0.09,57.52
DUNITE,40.48,0.08,0.5,57.49211
DUNITE,40.52,0.38,0.34,57.48
DUNITE,40.5,0.45,0.5,57.45162
DUNITE,39.75,0.4,0.45,57.4
DUNITE,40.2,0.32,0.3,57.391
DUNITE,40.22,0.34,0.5,57.39
DUNITE,40.74,0.07,1.48,57.38778
DUNITE,39.72,0.29,0.7,57.3
DUNITE,39,0.6,1.3,57.3
DUNITE,39.21,0.56,0.65,57.28
DUNITE,39.6,0.35,0.8,57.1
DUNITE,41.66,0.43,0.3,57.02275
DUNITE,39.76,0.47,0.55,56.91
DUNITE,40.27,0.96,1.44,56.89
DUNITE,39.89,0.12,0.682,56.8699
DUNITE,40.15,0.18,0.48,56.82517
DUNITE,40.97,0.35,0.34,56.74141
DUNITE,41.8,0.43,0.57,56.71
DUNITE,40.65,0.05,1.73,56.67062
DUNITE,41.64,0.13,0.44,56.44634
DUNITE,39.8,0.05,0.04,56.43829
DUNITE,39.91,1.57,1.65,56.42
DUNITE,38.42,0.27,1.28,56.37862
DUNITE,38.7,3.48,0.19,56.36057
DUNITE,41.12,0.69,0.18,56.31998
DUNITE,39.9,0.75,0.5,56.1779
DUNITE,43.28,0.17,0.19,56.09637
DUNITE,39.72,0.81,1.84,56.01
DUNITE,38.3,0.14,3.98,55.97587
DUNITE,38.61,1.37,0.71,55.97
DUNITE,41.87,0.14,0.68,55.91463
DUNITE,40.56,2.4,0.909331657,55.84253055
DUNITE,40.89,0.4,1,55.79031
DUNITE,39.23,0.69,0.62,55.74124
DUNITE,38.31,0.19,0.38,55.69345
DUNITE,42.45,0.37,0.64,55.43938
DUNITE,42.27,0.41,0.38,55.3413
DUNITE,42.28,0.27,0.85,55.17524
DUNITE,39.99,0.57,2.59,54.94224
DUNITE,38.75,0.5,0.7,54.75
DUNITE,43,0.1,0.56,54.73345
DUNITE,42.61,0.4,0.8,54.61656
DUNITE,43.1,0.67,0.62,54.60959
DUNITE,40.85,2.46,1.19,54.39
DUNITE,43.2,0.85,0.74,54.27
DUNITE,42.54,0.71,0.78,54.23766
DUNITE,41.57,1.21,0.91,54.17
DUNITE,42.39,0.76,0.81,54.13958
DUNITE,43.92,0.08,0.16,53.9494
DUNITE,43.41,0.29,1.01,53.8216
DUNITE,43.7,2.06,0.63,53.7199
DUNITE,37.02,0.16,0.28,53.58962
DUNITE,42.68,0.78,0.77,53.54362
DUNITE,43.58,0.7,0.61,53.42
DUNITE,44.24,0.84,0.78,52.9216
DUNITE,38.37,1.69,1.97,52.78579
DUNITE,40.7,0.72,3.05,52.69688
DUNITE,37.55,7.34,0.4,52.67462
DUNITE,44.07,0.54,1.21,52.65069
DUNITE,42.85,1.12,2.04,52.37678
DUNITE,43.26,1.41,1.42,52.27446
DUNITE,44.52,0.84,1.21,52.19251
DUNITE,43.99,0.64,1.72,52.16129
DUNITE,41.79,3.3,1.26,51.7381
DUNITE,39.21,0.25,0.41,51.68685
DUNITE,39,0.05,0.2,51.61575
DUNITE,36.3,0.21,0.06,51.56725
DUNITE,46.26,0.49,0.12,51.52273
DUNITE,40.1,2.1,3.36,51.5
DUNITE,40.8,0.54,0.93,50.66695
DUNITE,46.6,0.32,0.13,50.60172
DUNITE,45.91,0.81,2.251,50.59
DUNITE,45.88,0.81,2.248,50.3
DUNITE,41.82,5.02,1.986,49.73
DUNITE,34.44,0.2,0.44,49.71098
DUNITE,40.99,4.32,1.678,49.51
DUNITE,43.59,2.52,3.33,48.92
DUNITE,45.22,1.59,2.59,48.67
DUNITE,40,0.4,0.25,48.4617
DUNITE,38.14,0.6,1.04,48.45392
DUNITE,33.32,0.14,0.07,48.45008
DUNITE,39.8,0.33,0.34,48.392
DUNITE,33.01,0.14,0.47,48.3111
DUNITE,33.01,0.14,0.2,48.3111
DUNITE,38.3,0.44,0.73,48.29967
DUNITE,39.47,0.15,0.67,48.06937
DUNITE,42.72,2.45,3.83,48.03
DUNITE,35.86,0,1.14,48.02447
DUNITE,43.83,2.53,3.51,47.94
DUNITE,35.25,0.1,0.28,47.76886
DUNITE,39.47,0.15,0.7,47.56664
DUNITE,34.17,0.14,0.41,47.39706
DUNITE,33.54,0.21,0.26,47.22834
DUNITE,36.74,0.14,0.81,46.94462
DUNITE,39.2,0.22,3.01,46.86224
DUNITE,38.43,0.5,0.99,46.82816
DUNITE,38.59,0.3,1.63,46.80236
DUNITE,34.5,0.37,0.71,45.51169
DUNITE,43.01,8.84,2.951649906,45.33150989
DUNITE,39.29,0.07,1.54,43.90836
DUNITE,39.38,1.08,3.49,43.71771
DUNITE,40,0.53,0.98,43.0011
DUNITE,43.53,0.27,0.87,39.7032
DUNITE,44.7,9.41,1.22,41.7223
DUNITE,41.7,6.42,0.49,45.4163
DUNITE,40.4,6,1.96,43.8981
DUNITE,42.7,5.24,2.2,40.2375
DUNITE,40.2,4.42,0.73,48.22807
DUNITE,39.2,3.9,0.81,47.1971
DUNITE,35.6,3.88,1.07,50.2154
DUNITE,39.4,3.6,1.7,49.4142
DUNITE,41.55,3.26,1.78,52.509
DUNITE,38.1,3.2,2.2,44.5435
DUNITE,39.5,2.9,0.91,51.0193
DUNITE,41.6,2.8,1.9,50.1778
DUNITE,36.5,2.62,0,46.53932
DUNITE,39,2.6,0.64,47.3041
DUNITE,38,2.3,0.16,48.3445
DUNITE,37.8,2.1,0,49.9233
DUNITE,38,2.1,0,50.4859
DUNITE,39,2.1,0,53.4162
DUNITE,37.4,1.9,1.2,54.9758
DUNITE,37,1.8,0.92,45.61289
DUNITE,38.5,1.75,0.35,52.8193
DUNITE,41.3,1.7,2.5,51.1889
DUNITE,36.1,1.69,0.63,49.06636
DUNITE,37.8,1.6,0.76,52.7243
DUNITE,39.6,1.5,0.93,51.9243
DUNITE,39.3,1.5,0.25,55.4081
DUNITE,40.5,1.4,1.3,54.8788
DUNITE,34.1,1.4,0.58,46.8344
DUNITE,39.1,1.3,0.56,54.6879
DUNITE,37.5,1.29,0.34,51.1062
DUNITE,39.6,1.28,0,54.6385
DUNITE,33.55,1.27,1,48.74668
DUNITE,37.6,1.23,0.59,52.6476
DUNITE,33,1.2,1.5,47.2597
DUNITE,43.1,1.2,1.4,50.5081
DUNITE,45.7,1.2,1.2,50.4273
DUNITE,37.2,1.2,0.19,49.0556
DUNITE,40.1,1.1,0,55.1395
DUNITE,36.4,1.03,0.17,51.389
DUNITE,35.8,1,0.89,51.6051
DUNITE,41.4,1,0.58,51.299
DUNITE,34.3,0.99,0.94,48.76747
DUNITE,38.04,0.98,1.21,44.2052
DUNITE,35.1,0.93,0.5,48.9243
DUNITE,43.6,0.89,0.53,52.13362
DUNITE,37.6,0.88,1.2,56.3465
DUNITE,38.4,0.88,0.66,54.2476
DUNITE,42.6,0.87,1.1,52.4687
DUNITE,40.1,0.87,0.46,58.4931
DUNITE,37.8,0.83,0.86,51.8364
DUNITE,37.4,0.81,1.01,48.90121
DUNITE,38.2,0.8,1.03,44.17824
DUNITE,35.7,0.8,0.93,51.7546
DUNITE,35,0.76,0.63,47.395
DUNITE,32.98,0.75,3.18,45.50747
DUNITE,39.9,0.75,2.3,54.82819
DUNITE,39.7,0.74,0.75,56.6779
DUNITE,43.4,0.73,0.82,50.84839
DUNITE,37,0.71,0.5,51.6738
DUNITE,36.1,0.7,1.1,50.996
DUNITE,38.8,0.7,0.81,54.2768
DUNITE,39.2,0.7,0.6,48.496
DUNITE,35.1,0.7,0.5,51.4455
DUNITE,44.1,0.69,1.2,53.8
DUNITE,37.1,0.67,0.5,52.3354
DUNITE,36.92,0.64,3.65,43.4331
DUNITE,40.31,0.64,0.93,57.55506
DUNITE,33.4,0.63,3.4,46.191
DUNITE,35.2,0.63,1.1,51.7647
DUNITE,41.6,0.61,0.95,42.2253
DUNITE,35.2,0.6,1.2,49.9445
DUNITE,38.14,0.6,1.04,48.45392
DUNITE,35.7,0.6,0.56,50.2061
DUNITE,35.3,0.6,0,53.0546
DUNITE,37.3,0.58,1.9,46.4102
DUNITE,40.8,0.58,1,57.53152
DUNITE,37.4,0.58,0.32,50.8758
DUNITE,37.9,0.56,0.34,54.82353
DUNITE,40.8,0.54,0.93,50.66695
DUNITE,39.1,0.54,0,55.71231
DUNITE,35,0.52,1.2,51.3112
DUNITE,43.2,0.52,1.1,54.33152
DUNITE,37.7,0.51,0.5,51.8061
DUNITE,39.7,0.51,0.11,57.9587
DUNITE,38.26,0.5,1.1,45.9135
DUNITE,37.2,0.5,1,53.6273
DUNITE,38.8,0.5,0.77,45.1536
DUNITE,38.43,0.5,0.99,46.82816
DUNITE,39.1,0.5,0.6,54.0607
DUNITE,38.1,0.5,0.38,54.9294
DUNITE,36.4,0.48,0,54.195
DUNITE,35.7,0.45,1.5,52.8486
DUNITE,39.3,0.45,0.5,54.4677
DUNITE,38.1,0.45,0.34,51.8162
DUNITE,36.6,0.45,0,53.0354
DUNITE,38.3,0.44,0.73,48.29967
DUNITE,35.2,0.44,0,52.6445
DUNITE,40.4,0.44,0,51.1516
DUNITE,38.1,0.43,0.59,53.3253
DUNITE,38.1,0.43,0.34,54.3597
DUNITE,38,0.43,0,54.46403
DUNITE,37.8,0.42,0.59,56.286
DUNITE,38.3,0.42,0.39,55.3597
DUNITE,37.4,0.38,0.54,53.2354
DUNITE,37.9,0.38,0,54.34383
DUNITE,34.5,0.37,0.71,45.51169
DUNITE,39.2,0.37,0,56.7496
DUNITE,35.5,0.35,0.69,50.3849
DUNITE,38.7,0.35,0.49,53.4071
DUNITE,37.8,0.35,0.34,52.9667
DUNITE,36.7,0.35,0.18,50.8748
DUNITE,39.3,0.35,0.11,57.5294
DUNITE,32.2,0.34,3.5,49.296
DUNITE,35.5,0.34,0.97,50.9223
DUNITE,37.4,0.34,0.59,53.1546
DUNITE,36.7,0.34,0.5,53.2354
DUNITE,36.3,0.33,0.27,50.9859
DUNITE,38.8,0.33,0,53.9284
DUNITE,34.1,0.32,2.94,51.9577
DUNITE,37.1,0.32,1.4,55.6657
DUNITE,36.1,0.32,0.74,51.4021
DUNITE,35.84,0.32,0.58,50.79664
DUNITE,37.1,0.32,0.54,53.8657
DUNITE,40,0.32,0.34,58.5173
DUNITE,36.5,0.32,0.32,52.8193
DUNITE,40.3,0.31,0.7,57.26071
DUNITE,35.9,0.31,0.59,48.6819
DUNITE,37.16,0.3,1.14,54.65493
DUNITE,33.1,0.3,1.38,46.58066
DUNITE,34.9,0.3,0.44,51.8678
DUNITE,39.8,0.3,0.15,59.7527
DUNITE,39.6,0.3,0.07,58.1889
DUNITE,37.3,0.3,0,54.5455
DUNITE,37.1,0.29,0.46,52.4556
DUNITE,38.1,0.29,0.42,54.4465
DUNITE,44.71,0.28,1.77,52.11676
DUNITE,35.7,0.28,1.2,54.0779
DUNITE,43.1,0.28,0.64,53.8506
DUNITE,34.24,0.28,0.13,47.9632
DUNITE,37.8,0.27,1.9,54.292
DUNITE,40.3,0.27,1,56.3182
DUNITE,39.3,0.27,0.2,55.21353
DUNITE,36.9,0.27,0.01,54.9253
DUNITE,38.6,0.26,1.9,52.5677
DUNITE,36.62,0.26,1.16,54.1773
DUNITE,38.11,0.26,0.96,53.84818
DUNITE,36.6,0.26,0.76,51.9354
DUNITE,37.7,0.26,0.42,54.596
DUNITE,37.8,0.26,0.42,53.1364
DUNITE,35.5,0.26,0,50.6536
DUNITE,35.9,0.26,0,53.6647
DUNITE,40.1,0.26,0,55.29555
DUNITE,35.5,0.25,0.54,50.2647
DUNITE,40.3,0.25,0.21,58.8567
DUNITE,39.21,0.25,0.41,51.68685
DUNITE,38.7,0.25,0.11,54.4768
DUNITE,38.2,0.25,0,55.9587
DUNITE,36.7,0.24,3.2,55.2546
