Rock Type,TiO2,Al2O3,FeO,MnO,CaO
PERIDOTITE,0.12,3.78,6.11,0.12,0.77
PERIDOTITE,0.12,3.8,6.14,0.12,0.82
PERIDOTITE,0.13,3.91,6.21,0.11,0.92
PERIDOTITE,0.13,3.92,6.35,0.11,0.87
PERIDOTITE,0.14,4.09,6.15,0.14,0.99
PERIDOTITE,0.39,5.69,3.23,0.13,18.45
PERIDOTITE,0.37,5.74,3.23,0.08,18.59
PERIDOTITE,0.44,5.82,3.06,0.07,19.09
PERIDOTITE,0.24,22.99,8.22,0.32,4.85
PERIDOTITE,0.23,22.7,6.94,0.31,4.83
PERIDOTITE,0.01,0.04,9.56,0.13,0.09
PERIDOTITE,0.18,22.78,7.16,0.33,4.78
PERIDOTITE,0.18,4.62,6.18,0.14,0.94
PERIDOTITE,0.51,6.31,3.25,0.1,18.0
PERIDOTITE,0.2,23.35,6.5,0.34,4.87
PERIDOTITE,0.01,0.04,9.93,0.14,0.09
PERIDOTITE,0.21,22.34,7.17,0.28,4.96
PERIDOTITE,0.2,22.45,7.5,0.29,5.01
PERIDOTITE,0.17,3.75,6.34,0.11,0.82
PERIDOTITE,0.18,3.99,6.26,0.13,0.92
PERIDOTITE,0.18,4.33,6.15,0.06,1.0
PERIDOTITE,0.57,5.67,3.14,0.06,18.94
PERIDOTITE,0.52,5.76,3.24,0.12,18.3
PERIDOTITE,0.54,6.12,3.27,0.08,18.06
PERIDOTITE,0.56,6.57,3.46,0.09,18.02
PERIDOTITE,0.27,23.12,6.82,0.21,5.11
PERIDOTITE,0.21,22.74,7.11,0.31,4.85
PERIDOTITE,0.18,4.24,6.19,0.14,0.89
PERIDOTITE,0.64,5.93,3.14,0.1,18.39
PERIDOTITE,0.01,0.03,9.73,0.12,0.07
PERIDOTITE,3.52,13.96,16.73,0.29,0.12
PERIDOTITE,0.19,22.91,7.29,0.31,4.82
PERIDOTITE,0.17,4.16,6.34,0.12,0.92
PERIDOTITE,0.54,5.94,3.34,0.09,18.06
PERIDOTITE,0.22,23.56,6.72,0.18,4.9
PERIDOTITE,0.01,0.04,9.78,0.11,0.09
PERIDOTITE,0.19,22.77,7.17,0.26,5.03
PERIDOTITE,0.18,3.89,6.12,0.11,0.85
PERIDOTITE,0.17,3.91,6.12,0.13,0.8
PERIDOTITE,0.2,4.25,6.09,0.13,0.93
PERIDOTITE,0.2,4.55,6.06,0.11,1.02
PERIDOTITE,0.62,5.72,3.06,0.08,19.24
PERIDOTITE,0.6,5.92,3.08,0.09,19.15
PERIDOTITE,0.59,6.33,3.34,0.05,18.66
PERIDOTITE,0.61,6.58,3.34,0.07,18.45
PERIDOTITE,0.01,0.04,9.57,0.09,0.1
PERIDOTITE,0.31,10.51,4.17,0.19,16.51
PERIDOTITE,0.26,15.18,6.73,0.17,1.05
PERIDOTITE,0.17,22.94,6.49,0.24,4.75
PERIDOTITE,0.14,4.16,5.89,0.13,0.83
PERIDOTITE,0.15,4.53,5.83,0.1,0.91
PERIDOTITE,0.7,49.27,12.11,0.0,0.02
PERIDOTITE,0.32,5.7,5.83,0.11,1.27
PERIDOTITE,0.54,6.2,3.4,0.06,17.95
PERIDOTITE,0.13,6.59,6.44,0.24,1.81
PERIDOTITE,0.71,6.66,3.41,0.08,17.35
PERIDOTITE,0.13,61.43,9.08,0.05,0.02
PERIDOTITE,0.92,7.29,3.47,0.14,17.56
PERIDOTITE,0.24,9.74,6.25,0.22,1.7
PERIDOTITE,0.01,0.04,9.6,0.11,0.09
PERIDOTITE,0.14,22.69,7.21,0.32,4.82
PERIDOTITE,0.15,4.64,6.22,0.15,0.79
PERIDOTITE,0.52,6.08,3.15,0.09,18.42
PERIDOTITE,0.01,0.03,10.49,0.11,0.07
PERIDOTITE,2.08,14.33,16.38,0.64,0.25
PERIDOTITE,0.18,4.33,6.65,0.13,0.87
PERIDOTITE,0.53,44.52,15.18,0.11,0.01
PERIDOTITE,0.57,6.21,3.55,0.07,18.07
PERIDOTITE,0.01,0.01,10.71,0.11,0.02
PERIDOTITE,5.35,15.77,4.33,0.01,0.01
PERIDOTITE,0.13,4.11,6.7,0.12,0.44
PERIDOTITE,0.14,4.69,6.92,0.15,0.48
PERIDOTITE,0.13,4.7,6.94,0.16,0.49
PERIDOTITE,0.09,58.74,11.18,0.07,0.01
PERIDOTITE,0.72,6.66,2.63,0.04,20.72
PERIDOTITE,0.62,7.36,2.69,0.08,20.36
PERIDOTITE,0.6,7.45,2.63,0.12,20.34
PERIDOTITE,0.02,0.02,10.17,0.13,0.01
PERIDOTITE,0.07,3.52,6.47,0.11,0.4
PERIDOTITE,0.15,4.42,6.64,0.13,0.47
PERIDOTITE,0.14,4.82,6.66,0.13,0.44
PERIDOTITE,0.16,5.14,6.55,0.13,0.45
PERIDOTITE,0.54,5.86,2.56,0.07,21.21
PERIDOTITE,0.66,7.03,2.45,0.1,20.75
PERIDOTITE,0.63,7.28,2.53,0.05,20.72
PERIDOTITE,0.23,23.32,6.63,0.25,5.07
PERIDOTITE,0.02,0.04,9.62,0.16,0.08
PERIDOTITE,0.0,0.06,10.27,0.16,0.15
PERIDOTITE,0.21,22.34,6.86,0.28,4.94
PERIDOTITE,0.2,22.56,7.17,0.31,4.78
PERIDOTITE,0.16,4.3,6.0,0.12,0.91
PERIDOTITE,0.19,4.56,6.13,0.16,1.01
PERIDOTITE,0.17,4.62,6.04,0.13,1.01
PERIDOTITE,0.17,5.05,6.12,0.1,1.12
PERIDOTITE,0.52,5.91,3.43,0.09,18.35
PERIDOTITE,0.52,6.85,3.52,0.09,17.26
PERIDOTITE,0.68,8.38,4.57,0.2,16.37
PERIDOTITE,0.02,0.05,9.75,0.08,0.09
PERIDOTITE,0.1,4.76,6.05,0.14,0.83
PERIDOTITE,0.15,4.93,6.22,0.11,0.85
PERIDOTITE,0.15,5.15,6.31,0.14,0.94
PERIDOTITE,0.16,5.41,6.18,0.12,1.0
PERIDOTITE,0.53,6.73,3.19,0.07,19.18
PERIDOTITE,0.52,6.83,3.2,0.11,18.69
PERIDOTITE,0.5,7.18,3.43,0.13,18.41
PERIDOTITE,0.01,0.02,8.78,0.08,0.08
PERIDOTITE,0.06,3.09,5.42,0.08,0.76
PERIDOTITE,0.05,3.19,5.34,0.12,0.88
PERIDOTITE,0.05,3.31,5.58,0.13,0.76
PERIDOTITE,0.17,3.55,2.43,0.11,20.93
PERIDOTITE,0.13,3.62,2.41,0.08,20.7
PERIDOTITE,0.12,3.65,2.23,0.07,21.17
PERIDOTITE,0.01,0.05,8.79,0.14,0.1
PERIDOTITE,0.11,4.53,5.61,0.1,1.04
PERIDOTITE,0.22,4.83,5.68,0.09,1.15
PERIDOTITE,0.32,5.18,5.59,0.12,1.23
PERIDOTITE,0.39,5.7,3.13,0.08,18.28
PERIDOTITE,0.7,6.24,3.38,0.09,17.91
PERIDOTITE,0.88,6.72,3.55,0.12,17.61
PERIDOTITE,0.13,4.79,6.1,0.13,0.78
PERIDOTITE,0.15,5.0,6.08,0.11,0.87
PERIDOTITE,0.48,6.43,2.99,0.07,19.66
PERIDOTITE,0.42,6.73,3.2,0.06,19.41
PERIDOTITE,0.01,0.06,10.39,0.13,0.12
PERIDOTITE,0.25,5.37,6.68,0.08,1.25
PERIDOTITE,0.32,5.66,6.67,0.09,1.28
PERIDOTITE,0.31,5.75,6.72,0.11,1.24
PERIDOTITE,0.89,7.04,4.07,0.12,17.23
PERIDOTITE,0.9,7.16,4.33,0.08,17.45
PERIDOTITE,0.13,23.86,6.34,0.24,5.14
PERIDOTITE,0.01,0.03,10.1,0.16,0.16
PERIDOTITE,0.01,0.04,9.17,0.15,0.12
PERIDOTITE,0.1,22.52,6.63,0.3,5.21
PERIDOTITE,0.21,22.74,6.89,0.29,4.76
PERIDOTITE,0.06,4.19,5.76,0.16,0.97
PERIDOTITE,0.09,4.23,5.55,0.09,0.8
PERIDOTITE,0.07,4.55,5.86,0.14,1.0
PERIDOTITE,0.13,5.32,5.65,0.13,1.23
PERIDOTITE,0.28,5.49,2.9,0.1,19.32
PERIDOTITE,0.27,5.95,2.79,0.06,19.71
PERIDOTITE,0.35,6.25,3.46,0.12,18.09
PERIDOTITE,0.36,6.48,3.3,0.09,18.13
PERIDOTITE,0.09,20.52,7.23,0.41,5.02
PERIDOTITE,0.04,0.04,7.56,0.1,0.04
PERIDOTITE,0.18,18.26,5.99,0.3,6.18
PERIDOTITE,0.04,0.01,8.31,0.11,0.03
PERIDOTITE,0.29,17.69,6.62,0.31,6.29
PERIDOTITE,0.26,19.33,6.57,0.3,5.32
PERIDOTITE,0.03,0.03,7.64,0.15,0.06
PERIDOTITE,0.12,20.86,7.97,0.38,3.63
PERIDOTITE,0.1,18.31,6.4,0.32,5.78
PERIDOTITE,0.04,0.06,8.13,0.12,0.05
PERIDOTITE,0.23,20.68,6.73,0.33,4.57
PERIDOTITE,0.02,0.01,7.78,0.11,0.04
PERIDOTITE,0.3,20.86,6.92,0.36,4.72
PERIDOTITE,0.18,21.59,7.21,0.4,4.45
PERIDOTITE,0.02,0.02,7.85,0.11,0.04
PERIDOTITE,0.4,20.06,6.31,0.3,5.14
PERIDOTITE,0.19,21.03,8.33,0.53,5.1
PERIDOTITE,0.46,18.56,3.57,0.01,8.5
PERIDOTITE,0.03,0.73,6.45,0.08,0.17
PERIDOTITE,0.05,0.84,7.0,0.08,0.29
PERIDOTITE,0.1,1.3,1.88,0.01,23.66
PERIDOTITE,0.5,13.28,3.75,0.01,11.86
PERIDOTITE,0.02,22.88,12.31,0.35,5.91
PERIDOTITE,0.27,24.29,25.58,0.4,0.01
PERIDOTITE,0.22,3.72,2.11,0.04,13.21
PERIDOTITE,0.01,68.21,8.33,0.02,0.07
PERIDOTITE,0.03,0.72,6.36,0.08,0.17
PERIDOTITE,0.01,0.82,7.55,0.21,0.1
PERIDOTITE,0.02,0.96,1.88,0.05,24.63
PERIDOTITE,0.01,1.22,1.93,0.05,13.45
PERIDOTITE,0.09,15.24,3.45,0.05,13.03
PERIDOTITE,0.12,24.41,24.97,0.37,0.02
PERIDOTITE,0.05,65.65,12.22,0.08,0.28
PERIDOTITE,0.03,1.04,2.48,0.1,19.73
PERIDOTITE,0.03,1.04,2.48,0.1,19.73
PERIDOTITE,0.02,0.62,4.62,0.11,1.1
PERIDOTITE,0.02,0.62,4.62,0.11,1.1
PERIDOTITE,0.02,1.12,2.67,0.1,19.15
PERIDOTITE,0.02,1.12,2.67,0.1,19.15
PERIDOTITE,0.14,2.14,2.73,0.05,1.55
PERIDOTITE,0.14,2.14,2.73,0.05,1.55
PERIDOTITE,0.04,1.68,2.61,0.05,1.42
PERIDOTITE,0.04,1.68,2.61,0.05,1.42
PERIDOTITE,0.03,0.75,2.28,0.09,20.39
PERIDOTITE,0.03,0.75,2.28,0.09,20.39
PERIDOTITE,0.02,1.3,2.44,0.09,19.64
PERIDOTITE,0.02,1.3,2.44,0.09,19.64
PERIDOTITE,0.04,0.7,4.88,0.13,1.08
PERIDOTITE,0.04,0.7,4.88,0.13,1.08
PERIDOTITE,0.06,1.35,2.79,0.09,0.92
PERIDOTITE,0.06,1.35,2.79,0.09,0.92
PERIDOTITE,0.02,0.64,4.58,0.09,0.92
PERIDOTITE,0.02,0.64,4.58,0.09,0.92
PERIDOTITE,0.04,1.48,2.2,0.07,18.85
PERIDOTITE,0.04,1.48,2.2,0.07,18.85
PERIDOTITE,0.03,0.5,5.25,0.15,0.87
PERIDOTITE,0.03,0.5,5.25,0.15,0.87
PERIDOTITE,0.03,0.59,4.27,0.1,0.81
PERIDOTITE,0.03,0.59,4.27,0.1,0.81
PERIDOTITE,0.03,1.37,2.29,0.12,18.9
PERIDOTITE,0.03,1.37,2.29,0.12,18.9
PERIDOTITE,0.03,0.57,4.59,0.09,0.86
PERIDOTITE,0.03,0.57,4.59,0.09,0.86
PERIDOTITE,0.06,1.27,2.44,0.08,19.27
PERIDOTITE,0.06,1.27,2.44,0.08,19.27
PERIDOTITE,0.04,0.65,4.5,0.14,0.86
PERIDOTITE,0.04,0.65,4.5,0.14,0.86
PERIDOTITE,0.07,1.55,2.7,0.05,1.14
PERIDOTITE,0.07,1.55,2.7,0.05,1.14
PERIDOTITE,0.05,0.62,4.74,0.1,0.91
PERIDOTITE,0.05,0.62,4.74,0.1,0.91
PERIDOTITE,0.06,1.64,2.65,0.13,1.12
PERIDOTITE,0.06,1.64,2.65,0.13,1.12
PERIDOTITE,1.73,10.4,12.44,0.14,0.02
PERIDOTITE,1.73,10.4,12.44,0.14,0.02
PERIDOTITE,0.03,0.7,4.81,0.12,0.7
PERIDOTITE,0.03,0.7,4.81,0.12,0.7
PERIDOTITE,0.05,1.35,2.31,0.07,20.25
PERIDOTITE,0.05,1.35,2.31,0.07,20.25
PERIDOTITE,0.06,0.65,4.82,0.09,0.78
PERIDOTITE,0.06,0.65,4.82,0.09,0.78
PERIDOTITE,0.11,1.87,2.47,0.06,1.28
PERIDOTITE,0.11,1.87,2.47,0.06,1.28
PERIDOTITE,0.12,2.18,2.77,0.05,1.6
PERIDOTITE,0.12,2.18,2.77,0.05,1.6
PERIDOTITE,0.03,0.66,4.64,0.09,1.08
PERIDOTITE,0.03,0.66,4.64,0.09,1.08
PERIDOTITE,0.02,0.65,4.71,0.1,0.77
PERIDOTITE,0.02,0.65,4.71,0.1,0.77
PERIDOTITE,0.03,1.43,2.41,0.08,19.6
PERIDOTITE,0.03,1.43,2.41,0.08,19.6
PERIDOTITE,0.03,0.67,4.74,0.12,0.75
PERIDOTITE,0.03,0.67,4.74,0.12,0.75
PERIDOTITE,0.04,0.65,4.52,0.09,0.78
PERIDOTITE,0.04,0.65,4.52,0.09,0.78
PERIDOTITE,0.06,1.49,2.19,0.13,19.94
PERIDOTITE,0.06,1.49,2.19,0.13,19.94
PERIDOTITE,0.03,0.66,4.69,0.13,0.76
PERIDOTITE,0.03,0.66,4.69,0.13,0.76
PERIDOTITE,0.04,1.56,2.4,0.1,19.37
PERIDOTITE,0.04,1.56,2.4,0.1,19.37
PERIDOTITE,0.02,0.73,2.28,0.12,21.34
PERIDOTITE,0.02,0.73,2.28,0.12,21.34
PERIDOTITE,0.02,0.54,4.52,0.13,0.83
PERIDOTITE,0.02,0.54,4.52,0.13,0.83
PYROXENITE,1.25,3.02,5.99,0.35,23.78
PYROXENITE,0.61,2.63,7.97,0.2,21.57
PERIDOTITE,0.02,0.01,8.44,0.13,0.06
PERIDOTITE,0.0,0.01,8.84,0.11,0.06
PERIDOTITE,0.02,3.03,5.95,0.12,0.69
PERIDOTITE,0.02,3.2,5.9,0.1,0.8
PERIDOTITE,0.0,3.79,2.93,0.07,22.2
PERIDOTITE,0.09,4.0,3.06,0.03,21.79
PERIDOTITE,0.0,49.19,13.9,0.29,0.0
PERIDOTITE,0.02,49.8,12.89,0.22,0.01
PERIDOTITE,0.01,0.01,10.08,0.14,0.06
PERIDOTITE,0.02,0.02,10.0,0.16,0.06
PERIDOTITE,0.11,4.29,6.27,0.11,0.83
PERIDOTITE,0.14,4.35,6.23,0.15,0.76
PERIDOTITE,0.06,59.27,9.82,0.06,0.0
PERIDOTITE,0.05,59.27,9.88,0.12,0.0
PERIDOTITE,0.45,6.38,2.75,0.09,19.87
PERIDOTITE,0.56,6.74,2.81,0.04,19.98
PERIDOTITE,0.0,0.01,12.35,0.17,0.07
PERIDOTITE,0.0,0.04,12.25,0.23,0.07
PERIDOTITE,0.12,4.1,6.66,0.14,1.21
PERIDOTITE,0.08,4.11,6.61,0.15,1.17
PERIDOTITE,0.23,44.92,13.68,0.13,0.0
PERIDOTITE,0.23,45.24,14.83,0.06,0.01
PERIDOTITE,0.22,5.33,3.25,0.07,19.25
PERIDOTITE,0.23,5.6,3.26,0.09,19.22
PERIDOTITE,0.0,0.02,8.87,0.09,0.06
PERIDOTITE,0.0,0.02,8.91,0.08,0.06
PERIDOTITE,0.02,4.04,5.66,0.09,0.71
PERIDOTITE,0.04,4.13,5.62,0.1,0.74
PERIDOTITE,0.0,5.14,2.37,0.03,20.71
PERIDOTITE,0.2,5.39,2.33,0.06,21.21
PERIDOTITE,0.09,55.91,9.33,0.18,0.01
PERIDOTITE,0.1,56.26,9.13,0.21,0.0
PERIDOTITE,0.03,0.01,9.76,0.15,0.06
PERIDOTITE,0.02,0.0,9.68,0.13,0.06
PERIDOTITE,0.09,3.77,6.3,0.15,0.79
PERIDOTITE,0.09,3.93,6.34,0.12,0.96
PERIDOTITE,0.09,58.61,10.2,0.25,0.01
PERIDOTITE,0.09,58.86,10.37,0.14,0.01
PERIDOTITE,0.54,6.3,2.79,0.08,19.78
PERIDOTITE,0.55,6.71,2.86,0.08,19.74
PERIDOTITE,0.0,0.02,10.27,0.18,0.06
PERIDOTITE,0.0,0.0,10.16,0.14,0.06
PERIDOTITE,0.14,3.76,6.65,0.16,0.72
PERIDOTITE,0.1,3.92,6.78,0.14,0.84
PERIDOTITE,0.6,5.73,3.1,0.08,20.78
PERIDOTITE,0.5,5.87,3.08,0.05,20.85
PERIDOTITE,0.08,57.44,11.07,0.14,0.02
PERIDOTITE,0.14,57.67,11.26,0.14,0.02
PERIDOTITE,0.0,0.01,10.7,0.17,0.08
PERIDOTITE,0.0,0.02,10.7,0.14,0.08
PERIDOTITE,0.14,4.02,6.96,0.21,1.02
PERIDOTITE,0.16,4.18,7.03,0.13,0.99
PERIDOTITE,0.17,59.84,10.93,0.18,0.0
PERIDOTITE,0.1,59.87,10.94,0.18,0.01
PERIDOTITE,0.63,6.67,3.34,0.11,19.47
PERIDOTITE,0.61,6.84,3.29,0.03,19.35
PERIDOTITE,0.18,23.1,7.75,0.29,5.0
PERIDOTITE,0.2,23.29,7.62,0.24,4.89
PERIDOTITE,0.18,4.73,6.57,0.09,0.84
PERIDOTITE,0.7,6.51,3.04,0.05,19.33
PERIDOTITE,0.66,7.01,3.04,0.03,19.19
PERIDOTITE,0.2,22.81,7.51,0.31,4.77
PERIDOTITE,0.14,5.3,6.63,0.12,1.03
PERIDOTITE,0.66,7.07,3.53,0.08,18.05
PERIDOTITE,0.61,7.31,3.56,0.09,17.64
PYROXENITE,0.13,22.92,8.42,0.37,4.84
PYROXENITE,0.14,3.94,7.11,0.14,0.77
PYROXENITE,0.56,6.53,3.2,0.08,19.47
PYROXENITE,0.14,22.66,8.17,0.36,4.89
PYROXENITE,0.15,4.82,7.07,0.14,0.76
PYROXENITE,0.65,7.56,3.17,0.08,19.5
PERIDOTITE,0.17,23.17,8.29,0.31,4.76
PERIDOTITE,0.17,23.25,8.35,0.31,4.7
PERIDOTITE,0.1,4.54,6.79,0.16,0.82
PERIDOTITE,0.17,4.93,6.92,0.16,0.79
PERIDOTITE,0.74,7.21,3.31,0.09,18.93
PERIDOTITE,0.67,7.42,3.35,0.09,18.94
PYROXENITE,0.15,22.98,8.44,0.37,4.64
PYROXENITE,0.15,4.16,7.16,0.13,0.71
PYROXENITE,0.71,8.18,3.18,0.05,19.1
PERIDOTITE,0.2,22.63,7.69,0.3,4.94
PERIDOTITE,0.2,5.53,6.77,0.17,1.12
PERIDOTITE,0.2,5.79,6.8,0.16,1.13
PERIDOTITE,0.6,7.38,3.75,0.11,17.8
PERIDOTITE,0.11,23.29,8.37,0.36,5.05
PERIDOTITE,0.09,3.95,6.48,0.13,0.5
PERIDOTITE,0.46,7.33,2.41,0.09,20.82
PERIDOTITE,0.1,23.25,8.78,0.41,5.07
PERIDOTITE,0.11,5.96,7.21,0.13,0.45
PERIDOTITE,0.46,7.13,2.52,0.05,20.77
PERIDOTITE,0.17,1.66,5.85,0.13,1.37
PERIDOTITE,0.47,21.86,7.62,0.27,4.56
PERIDOTITE,0.34,3.25,3.65,0.1,16.96
PERIDOTITE,0.04,1.53,4.69,0.13,0.48
PERIDOTITE,0.7,3.22,2.76,0.08,20.76
PERIDOTITE,0.01,0.03,7.74,0.11,0.08
PERIDOTITE,0.06,1.47,4.75,0.11,1.02
PERIDOTITE,0.06,1.49,4.67,0.12,1.16
PERIDOTITE,0.12,2.31,2.78,0.11,17.8
PERIDOTITE,0.1,2.57,2.6,0.1,18.24
PERIDOTITE,0.18,21.21,5.94,0.27,4.86
PERIDOTITE,0.18,21.34,5.93,0.27,4.81
PERIDOTITE,0.14,21.71,6.23,0.25,2.83
PERIDOTITE,0.14,1.41,5.88,0.12,1.06
PERIDOTITE,0.15,1.6,5.87,0.12,1.15
PERIDOTITE,0.4,20.12,7.27,0.28,2.99
PERIDOTITE,0.43,22.33,7.16,0.3,4.6
PERIDOTITE,0.44,22.37,7.32,0.3,4.62
PERIDOTITE,0.26,3.07,3.77,0.11,16.65
PERIDOTITE,0.3,3.15,3.56,0.1,17.01
PERIDOTITE,0.02,0.01,8.37,0.11,0.1
PERIDOTITE,0.04,0.02,6.22,0.07,0.24
PERIDOTITE,0.33,0.74,5.51,0.14,0.8
PERIDOTITE,0.25,0.96,5.51,0.13,0.8
PERIDOTITE,0.83,2.02,2.83,0.1,19.9
PERIDOTITE,0.84,2.13,2.84,0.1,19.69
PERIDOTITE,0.79,2.17,1.71,0.07,21.52
PERIDOTITE,3.7,9.47,17.94,0.2,0.09
PERIDOTITE,0.01,0.04,9.48,0.12,0.11
PERIDOTITE,0.15,1.63,5.81,0.13,0.92
PERIDOTITE,0.16,1.67,5.84,0.11,0.92
PERIDOTITE,0.31,21.28,6.84,0.26,4.67
PERIDOTITE,0.39,3.86,3.22,0.07,16.47
PERIDOTITE,0.4,3.89,3.35,0.05,16.46
PERIDOTITE,5.47,8.59,7.89,0.15,21.92
PERIDOTITE,0.02,0.03,9.51,0.11,0.07
PERIDOTITE,0.02,0.03,9.69,0.13,0.16
PERIDOTITE,0.19,1.63,5.67,0.12,1.16
PERIDOTITE,0.18,1.66,5.7,0.12,0.94
PERIDOTITE,0.18,20.51,6.65,0.29,4.53
PERIDOTITE,0.17,20.87,6.69,0.31,5.37
PERIDOTITE,0.12,20.9,6.44,0.32,5.15
PERIDOTITE,0.49,3.44,3.48,0.11,16.4
PERIDOTITE,0.48,5.65,4.04,0.18,16.73
PERIDOTITE,0.03,0.01,6.29,0.11,0.15
PERIDOTITE,0.19,0.28,5.87,0.17,0.76
PERIDOTITE,0.83,0.61,2.63,0.1,20.4
PERIDOTITE,0.22,0.64,5.7,0.16,0.88
PERIDOTITE,0.39,0.67,2.83,0.09,19.86
PERIDOTITE,2.8,11.34,3.7,0.04,0.32
PERIDOTITE,2.86,11.84,3.59,0.02,0.04
PERIDOTITE,3.61,2.32,22.66,0.94,0.12
PERIDOTITE,3.84,2.37,23.5,0.96,0.1
PERIDOTITE,0.01,1.39,5.26,0.13,0.38
PERIDOTITE,0.01,1.57,5.19,0.12,0.34
PERIDOTITE,0.18,15.03,16.01,0.18,0.01
PERIDOTITE,0.03,0.01,13.24,0.14,0.1
PERIDOTITE,0.61,1.66,4.23,0.08,19.65
PERIDOTITE,0.64,1.77,4.17,0.08,19.31
PERIDOTITE,6.96,13.11,7.23,0.03,0.05
PERIDOTITE,3.72,13.46,5.08,0.02,0.02
PERIDOTITE,5.39,15.37,5.39,0.02,0.02
PERIDOTITE,5.46,4.82,6.43,0.04,23.45
PERIDOTITE,7.1,6.48,31.05,0.25,0.04
PERIDOTITE,0.01,0.01,8.93,0.13,0.07
PERIDOTITE,0.03,0.03,8.56,0.12,0.15
PERIDOTITE,0.01,0.03,9.08,0.12,0.05
PERIDOTITE,9.05,11.14,5.87,0.03,0.06
PERIDOTITE,1.7,17.05,19.56,0.18,0.01
PERIDOTITE,1.37,17.74,18.94,0.19,0.01
PERIDOTITE,0.34,2.04,2.96,0.12,20.16
PERIDOTITE,0.14,2.09,5.56,0.14,0.75
PERIDOTITE,2.59,2.15,4.65,0.1,21.12
PERIDOTITE,0.13,2.27,5.51,0.14,0.67
PERIDOTITE,0.14,2.38,5.46,0.13,0.66
PERIDOTITE,0.1,2.61,5.57,0.13,0.56
PERIDOTITE,0.24,2.81,2.61,0.11,19.7
PERIDOTITE,0.37,2.87,3.18,0.12,18.81
PERIDOTITE,0.22,3.1,2.66,0.11,19.34
PERIDOTITE,0.12,1.52,5.54,0.12,1.21
PERIDOTITE,0.13,1.59,5.49,0.13,1.21
PERIDOTITE,0.22,2.96,3.32,0.11,17.18
PERIDOTITE,0.41,22.14,6.76,0.27,4.73
PERIDOTITE,0.21,3.11,3.44,0.12,16.98
PERIDOTITE,0.03,0.01,14.53,0.18,0.09
PERIDOTITE,0.04,0.03,10.51,0.12,0.24
PERIDOTITE,4.13,13.2,5.86,0.04,0.01
PERIDOTITE,4.94,13.86,5.83,0.01,0.05
PERIDOTITE,4.86,13.94,6.1,0.01,0.01
PERIDOTITE,4.79,14.14,5.96,0.02,0.15
PERIDOTITE,4.63,14.36,30.1,0.31,0.1
PERIDOTITE,2.77,3.09,5.44,0.09,22.5
PERIDOTITE,8.64,4.75,37.95,0.25,0.07
PERIDOTITE,8.86,5.1,34.11,0.43,0.07
PERIDOTITE,4.5,14.7,7.9,0.22,9.7
PERIDOTITE,0.01,0.01,8.8,0.1,0.01
PERIDOTITE,0.02,0.73,5.47,0.12,0.13
PERIDOTITE,0.07,2.0,1.91,0.07,22.51
PERIDOTITE,0.03,22.44,9.52,0.48,5.17
PERIDOTITE,0.03,3.18,5.64,0.11,1.01
PERIDOTITE,0.07,4.02,2.69,0.12,20.47
PERIDOTITE,0.05,1.37,2.45,0.07,22.65
PERIDOTITE,0.02,1.54,5.74,0.13,0.1
PERIDOTITE,0.04,1.66,5.66,0.11,0.4
PERIDOTITE,0.02,22.18,9.07,0.46,4.5
PERIDOTITE,0.01,0.02,8.48,0.14,0.03
PERIDOTITE,0.02,0.66,5.64,0.11,0.11
PERIDOTITE,0.03,1.17,1.61,0.07,23.51
PERIDOTITE,0.01,2.12,5.6,0.14,0.46
PERIDOTITE,0.03,3.88,2.69,0.1,20.66
PERIDOTITE,0.03,0.01,8.69,0.16,0.02
PERIDOTITE,0.08,2.5,6.18,0.16,0.29
PERIDOTITE,0.22,2.53,1.89,0.1,23.15
PERIDOTITE,0.06,3.08,6.02,0.14,0.72
PERIDOTITE,0.09,3.08,6.05,0.14,0.49
PERIDOTITE,0.47,5.84,2.57,0.07,19.55
PERIDOTITE,0.02,0.02,9.44,0.11,0.01
PERIDOTITE,0.06,1.07,5.9,0.1,0.19
PERIDOTITE,0.13,1.95,6.3,0.12,0.43
PERIDOTITE,0.24,2.41,2.21,0.07,22.57
PERIDOTITE,0.16,22.64,9.53,0.44,5.12
PERIDOTITE,0.33,3.3,2.13,0.07,21.87
PERIDOTITE,0.06,1.03,6.47,0.15,0.2
PERIDOTITE,0.29,2.78,2.33,0.07,22.02
PERIDOTITE,0.1,23.26,9.67,0.45,4.7
PERIDOTITE,0.48,3.69,2.32,0.08,21.57
PERIDOTITE,0.09,5.23,6.57,0.12,0.53
PERIDOTITE,0.01,0.02,9.66,0.12,0.01
PERIDOTITE,0.28,3.29,2.22,0.07,22.2
PERIDOTITE,0.07,3.69,6.5,0.16,0.19
PERIDOTITE,0.14,4.46,6.56,0.14,0.78
PERIDOTITE,0.39,4.76,2.07,0.07,21.82
PERIDOTITE,0.13,3.45,6.27,0.13,0.88
PERIDOTITE,0.4,4.75,3.13,0.09,20.22
PERIDOTITE,0.19,5.36,6.67,0.16,0.93
PERIDOTITE,0.65,7.64,3.7,0.11,18.97
PERIDOTITE,0.01,0.03,9.7,0.17,0.07
PERIDOTITE,0.14,4.82,6.5,0.14,0.83
PERIDOTITE,0.59,7.29,3.23,0.09,19.25
PERIDOTITE,0.14,5.12,6.59,0.16,0.85
PERIDOTITE,0.61,7.32,3.71,0.13,19.33
PERIDOTITE,0.01,0.01,14.25,0.19,0.15
PERIDOTITE,0.03,0.01,16.26,0.22,0.17
