ROCK NAME,SIO2,TIO2,AL2O3,CAO
DUNITE,50.2,0.11,2.64,20.1
DUNITE,48.1,0.27,3.65,18.2
DUNITE,51.1,0.21,3.51,23
DUNITE,48,1.6,13.8,8.88
DUNITE,33.8,1.73,13.4,25
DUNITE,48.5,1.12,15.7,8.7
DUNITE,40,1.27,11.6,23
DUNITE,5.33,0.17,1.22,51.4
DUNITE,51.4,0.72,16.1,9.04
DUNITE,37.6,0.03,0.59,1.23
DUNITE,31.9,0.05,2.74,0.12
DUNITE,34.1,0.08,2.94,0.32
DUNITE,40.5,0.04,1.3,1.4
DUNITE,38.8,0.03,0.81,0.7
DUNITE,37.1,0.06,0.5,0.67
DUNITE,36.6,0.12,0.76,0.26
DUNITE,48.9,0.55,4.1,19.2
DUNITE,37.4,0.03,0.42,0.22
DUNITE,38.1,0.03,0.34,0.45
DUNITE,37.1,0.04,0.46,0.29
DUNITE,37.8,0.08,0.76,1.6
DUNITE,37.8,0.05,0.34,0.35
DUNITE,37.7,0.03,0.42,0.26
DUNITE,37.8,0.02,0.42,0.26
DUNITE,38.1,0.02,0.42,0.29
DUNITE,39.4,0.24,1.7,3.6
DUNITE,37.8,0.11,0.86,0.83
DUNITE,43.7,1,15.6,11.8
DUNITE,51.4,0.22,1.7,20.2
DUNITE,37.4,0.14,2.6,0.12
DUNITE,35.1,0.09,0.5,0.93
DUNITE,37.1,0.02,0.64,0.19
DUNITE,37.7,0.04,0.74,0.09
DUNITE,37.1,0.03,0.64,0.12
DUNITE,36.6,0.01,0.46,0.09
DUNITE,37.1,0.02,0.54,0.32
DUNITE,36.6,0.03,0.64,0.12
DUNITE,39,0.04,0.64,2.6
DUNITE,37.7,0.02,0.5,0.51
DUNITE,36.1,0.03,0.74,0.32
DUNITE,37.4,0.01,0.54,0.38
DUNITE,36.6,0.01,0.54,0.06
DUNITE,36.7,0.02,0.5,0.34
DUNITE,35.9,0.05,0.59,0.31
DUNITE,38.1,0.1,0.59,0.43
DUNITE,37,0.04,0.5,0.71
DUNITE,37.4,0.03,0.59,0.34
DUNITE,40,0.06,4.8,1.3
DUNITE,39.9,0.02,0.2,0.17
DUNITE,39.9,0.02,0.2,0.18
DUNITE,38.7,0.09,0.11,0.25
DUNITE,39.3,0.02,0.25,1.5
DUNITE,39.6,0.03,0.07,0.3
DUNITE,37.9,0.02,0.29,0.21
DUNITE,41.4,0.02,0.58,1
DUNITE,32.2,0.06,3.5,0.34
DUNITE,33.1,0.04,1.9,0.13
DUNITE,43.4,0.13,0.82,0.73
DUNITE,52.3,0.09,2,15.8
DUNITE,40.1,0.06,6.6,1.2
DUNITE,44.1,0.02,1.2,0.69
DUNITE,34.1,0.09,0.58,1.4
