ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO,CAO,MNO
DUNITE,-28.5,121.5,40.84,48.43,0.48,0.15
DUNITE,-28.5,121.5,41.53,47.98,0.28,0.16
DUNITE,-28.5,121.5,40.78,49.14,0.3,0.15
DUNITE,-28.5,121.5,41.05,49.05,0.33,0.15
NOT-GIVEN,45.78,3.08,49.41,35.49,2.67,0.16
NOT-GIVEN,45.78,3.08,48.05,34.61,6.26,0.16
NOT-GIVEN,45.78,3.08,43.62,42.61,1.94,0.13
DUNITE,42.0,143.0,40.78,47.49,0.61,0.132
HARZBURGITE,42.0,143.0,43.87,46.65,0.52,0.132
HARZBURGITE,42.0,143.0,43.99,46.36,0.48,0.127
HARZBURGITE,42.0,143.0,43.98,45.46,0.7,0.127
HARZBURGITE,42.0,143.0,43.91,45.88,0.61,0.131
LHERZOLITE,42.0,143.0,44.27,44.6,1.29,0.138
LHERZOLITE,42.0,143.0,43.82,44.36,1.32,0.134
LHERZOLITE,42.0,143.0,44.51,42.47,2.05,0.138
LHERZOLITE,42.0,143.0,44.45,43.41,1.6,0.134
LHERZOLITE,42.0,143.0,44.5,43.04,1.38,0.131
LHERZOLITE,42.0,143.0,44.79,42.7,1.94,0.131
LHERZOLITE,42.0,143.0,44.25,42.47,2.19,0.13699999999999998
PICRITE,69.39,30.83,39.6,29.4,3.03,0.19
LHERZOLITE,42.0,143.0,44.62,42.92,2.0,0.14
DUNITE,42.0,143.0,41.45,49.59,0.07,0.1
LHERZOLITE,42.0,143.0,44.49,38.5,3.68,0.13
LHERZOLITE,42.0,143.0,44.28,41.26,2.34,0.13
LHERZOLITE,42.0,143.0,44.51,39.46,3.31,0.14
LHERZOLITE,42.0,143.0,44.66,39.94,3.0,0.14
LHERZOLITE,42.0,143.0,44.73,41.24,2.92,0.14
LHERZOLITE,42.0,143.0,44.28,41.23,2.75,0.13
LHERZOLITE,42.0,143.0,43.89,45.65,1.41,0.13
LHERZOLITE,42.0,143.0,44.36,43.76,1.75,0.13
LHERZOLITE,42.0,143.0,44.34,43.0,1.63,0.13
LHERZOLITE,42.0,143.0,44.74,42.65,2.31,0.13
LHERZOLITE,42.0,143.0,46.26,33.08,5.63,0.14
LHERZOLITE,42.0,143.0,43.88,38.55,3.58,0.14
LHERZOLITE,42.0,143.0,44.64,39.18,3.42,0.14
LHERZOLITE,42.0,143.0,43.7,38.95,3.05,0.14
HARZBURGITE,42.0,143.0,41.13,48.23,0.82,0.14
DUNITE,42.0,143.0,39.58,47.37,0.64,0.17
HARZBURGITE,42.0,143.0,43.57,46.34,0.72,0.13
LHERZOLITE,42.0,143.0,44.44,39.9,2.96,0.14
LHERZOLITE,42.0,143.0,44.21,41.64,2.75,0.14
LHERZOLITE,42.0,143.0,44.87,39.2,3.36,0.14
LHERZOLITE,42.0,143.0,44.46,44.02,1.77,0.13
LHERZOLITE,42.0,143.0,44.67,44.52,1.15,0.13
LHERZOLITE,42.0,143.0,44.13,44.16,1.72,0.13
LHERZOLITE,42.0,143.0,43.49,44.36,1.59,0.13
LHERZOLITE,42.0,143.0,44.2,43.68,1.93,0.13
LHERZOLITE,42.0,143.0,44.53,41.97,2.35,0.14
LHERZOLITE,42.0,143.0,44.4,44.22,1.92,0.13
LHERZOLITE,42.0,143.0,44.81,44.69,1.36,0.13
HARZBURGITE,42.0,143.0,43.93,44.86,1.22,0.13
LHERZOLITE,42.0,143.0,44.8,43.52,2.66,0.13
LHERZOLITE,42.0,143.0,44.71,43.39,2.03,0.13
LHERZOLITE,42.0,143.0,43.47,45.84,1.22,0.13
LHERZOLITE,42.0,143.0,43.17,44.23,1.79,0.13
LHERZOLITE,42.0,143.0,44.18,43.41,2.36,0.13
LHERZOLITE,42.0,143.0,44.64,40.91,2.97,0.13
LHERZOLITE,42.0,143.0,43.95,40.8,3.2,0.13
LHERZOLITE,42.0,143.0,45.26,38.42,3.77,0.13
HARZBURGITE,42.0,143.0,44.12,48.38,0.3,0.13
HARZBURGITE,42.0,143.0,42.5,48.38,0.59,0.13
HARZBURGITE,42.0,143.0,44.18,47.71,0.52,0.12
LHERZOLITE,42.0,143.0,46.5,43.19,1.46,0.12
LHERZOLITE,42.0,143.0,44.91,39.27,4.11,0.14
LHERZOLITE,42.0,143.0,44.73,40.38,3.14,0.13
LHERZOLITE,42.0,143.0,44.91,39.79,3.46,0.14
LHERZOLITE,42.0,143.0,44.93,41.5,3.15,0.13
LHERZOLITE,42.0,143.0,44.54,41.17,2.78,0.13
HARZBURGITE,42.0,143.0,43.99,46.2,0.59,0.12
LHERZOLITE,42.0,143.0,44.93,39.55,3.44,0.14
LHERZOLITE,42.0,143.0,44.08,42.77,2.38,0.13
LHERZOLITE,42.0,143.0,44.01,43.14,2.15,0.13
HARZBURGITE,42.0,143.0,44.23,46.52,1.13,0.12
LHERZOLITE,42.0,143.0,44.39,43.14,2.06,0.13
LHERZOLITE,42.0,143.0,43.93,43.25,2.64,0.13
LHERZOLITE,42.0,143.0,42.74,27.1,4.0,0.16
LHERZOLITE,42.0,143.0,42.43,30.38,3.16,0.16
LHERZOLITE,42.0,143.0,41.84,25.75,6.12,0.1
LHERZOLITE,42.0,143.0,44.24,26.56,6.37,0.09
LHERZOLITE,42.0,143.0,43.37,25.93,5.52,0.12
LHERZOLITE,42.0,143.0,42.69,25.06,6.66,0.11
LHERZOLITE,42.0,143.0,44.28,26.21,5.38,0.18
LHERZOLITE,42.0,143.0,42.94,25.94,5.48,0.12
LHERZOLITE,42.0,143.0,41.84,25.73,5.43,0.14
LHERZOLITE,42.0,143.0,45.14,25.41,7.8,0.13
LHERZOLITE,42.0,143.0,45.04,28.24,5.7,0.1
LHERZOLITE,42.0,143.0,44.73,28.74,5.56,0.11
LHERZOLITE,42.0,143.0,42.5,38.25,4.16,0.16
LHERZOLITE,42.0,143.0,40.79,41.65,3.07,0.16
LHERZOLITE,42.0,143.0,41.53,40.5,3.04,0.15
LHERZOLITE,42.0,143.0,40.24,40.59,3.15,0.15
LHERZOLITE,42.0,143.0,42.81,40.46,3.36,0.15
LHERZOLITE,42.0,143.0,42.88,39.45,3.39,0.15
LHERZOLITE,42.0,143.0,41.16,41.9,2.96,0.15
LHERZOLITE,42.0,143.0,43.56,39.67,3.69,0.15
LHERZOLITE,42.0,143.0,41.24,42.97,2.73,0.15
LHERZOLITE,42.0,143.0,40.74,43.56,2.22,0.15
LHERZOLITE,42.0,143.0,43.15,41.73,3.03,0.14
LHERZOLITE,42.0,143.0,41.8,43.28,2.21,0.15
LHERZOLITE,42.0,143.0,42.48,42.65,2.77,0.15
