,0,1,2,3,4,5,6,7,8,9,10,11,12
76,ROCK NAME,TIO2,MNO,NA2O,,,,,,,,,0.7041107041107035
77,ROCK NAME,TIO2,MNO,P2O5,,,,,,,,,0.7036306523486006
78,ROCK NAME,TIO2,K2O,NA2O,,,,,,,,,0.7034993448495553
79,ROCK NAME,TIO2,K2O,P2O5,,,,,,,,,0.7023148148148143
80,ROCK NAME,TIO2,NA2O,P2O5,,,,,,,,,0.7019802328444298
81,ROCK NAME,AL2O3,CR2O3,FEOT,,,,,,,,,0.70264980427582
82,ROCK NAME,AL2O3,CR2O3,CAO,,,,,,,,,0.7030515223286304
83,ROCK NAME,AL2O3,CR2O3,MGO,,,,,,,,,0.7035454257676474
84,ROCK NAME,AL2O3,CR2O3,MNO,,,,,,,,,0.7040053628288919
85,ROCK NAME,AL2O3,CR2O3,K2O,,,,,,,,,0.7036926610570018
86,ROCK NAME,AL2O3,CR2O3,NA2O,,,,,,,,,0.7038674394996227
87,ROCK NAME,AL2O3,CR2O3,P2O5,,,,,,,,,0.7035202451869113
88,ROCK NAME,AL2O3,FEOT,CAO,,,,,,,,,0.7041732023005424
89,ROCK NAME,AL2O3,FEOT,MGO,,,,,,,,,0.704885512292919
90,ROCK NAME,AL2O3,FEOT,MNO,,,,,,,,,0.7054569362261662
91,ROCK NAME,AL2O3,FEOT,K2O,,,,,,,,,0.7052623972913821
92,ROCK NAME,AL2O3,FEOT,NA2O,,,,,,,,,0.7057664226122999
93,ROCK NAME,AL2O3,FEOT,P2O5,,,,,,,,,0.706380958154007
94,ROCK NAME,AL2O3,CAO,MGO,,,,,,,,,0.7068326085869939
95,ROCK NAME,AL2O3,CAO,MNO,,,,,,,,,0.707640867363089
96,ROCK NAME,AL2O3,CAO,K2O,,,,,,,,,0.7079918935589035
97,ROCK NAME,AL2O3,CAO,NA2O,,,,,,,,,0.7087427563618037
98,ROCK NAME,AL2O3,CAO,P2O5,,,,,,,,,0.7091235239383381
99,ROCK NAME,AL2O3,MGO,MNO,,,,,,,,,0.7092687559354218
100,ROCK NAME,AL2O3,MGO,K2O,,,,,,,,,0.7097119968407091
101,ROCK NAME,AL2O3,MGO,NA2O,,,,,,,,,0.7097368862074739
102,ROCK NAME,AL2O3,MGO,P2O5,,,,,,,,,0.7098903733207932
103,ROCK NAME,AL2O3,MNO,K2O,,,,,,,,,0.7100774344364078
104,ROCK NAME,AL2O3,MNO,NA2O,,,,,,,,,0.7104689549133983
105,ROCK NAME,AL2O3,MNO,P2O5,,,,,,,,,0.7108620473400337
106,ROCK NAME,AL2O3,K2O,NA2O,,,,,,,,,0.7112034152532583
107,ROCK NAME,AL2O3,K2O,P2O5,,,,,,,,,0.7108086243888703
108,ROCK NAME,AL2O3,NA2O,P2O5,,,,,,,,,0.7110919435078443
109,ROCK NAME,CR2O3,FEOT,CAO,,,,,,,,,0.7116550116550103
110,ROCK NAME,CR2O3,FEOT,MGO,,,,,,,,,0.7120026008914884
111,ROCK NAME,CR2O3,FEOT,MNO,,,,,,,,,0.7105209605209593
112,ROCK NAME,CR2O3,FEOT,K2O,,,,,,,,,0.7089899066300235
113,ROCK NAME,CR2O3,FEOT,NA2O,,,,,,,,,0.7086769630629268
114,ROCK NAME,CR2O3,FEOT,P2O5,,,,,,,,,0.7074776002312224
115,ROCK NAME,CR2O3,CAO,MGO,,,,,,,,,0.7078707797098591
116,ROCK NAME,CR2O3,CAO,MNO,,,,,,,,,0.7079812663858238
117,ROCK NAME,CR2O3,CAO,K2O,,,,,,,,,0.7085244740611962
118,ROCK NAME,CR2O3,CAO,NA2O,,,,,,,,,0.708779238191002
119,ROCK NAME,CR2O3,CAO,P2O5,,,,,,,,,0.7091168091168082
120,ROCK NAME,CR2O3,MGO,MNO,,,,,,,,,0.7085540721904349
121,ROCK NAME,CR2O3,MGO,K2O,,,,,,,,,0.7081873803185269
122,ROCK NAME,CR2O3,MGO,NA2O,,,,,,,,,0.7080659980388967
123,ROCK NAME,CR2O3,MGO,P2O5,,,,,,,,,0.7074411052905667
124,ROCK NAME,CR2O3,MNO,K2O,,,,,,,,,0.7063247863247855
125,ROCK NAME,CR2O3,MNO,NA2O,,,,,,,,,0.7060401875216682
