ROCK NAME,SIO2,CAO,AL2O3,MGO
LHERZOLITE,44.3,1.95,1.44,49.87
LHERZOLITE,43.85,1.65,1.44,52.044312
LHERZOLITE,43.57,1.15,1.689,52.72
LHERZOLITE,44.55,0.89,1.44,52.32
LHERZOLITE,43.84,1.61,1.77,52.59
LHERZOLITE,46.17,5.04,2.03,47.26
LHERZOLITE,43.09,1.1,1.63,52.44719
LHERZOLITE,44.16,2.87,1.86,51.0194
LHERZOLITE,42.7,2.62,1.46,51.22807
LHERZOLITE,46.05,0.91,1.46,51.11
LHERZOLITE,46.67,0.81,1.46,50.6
LHERZOLITE,48.01,0.93,1.46,49.07
LHERZOLITE,42.48,2.54,1.85,50.66304
LHERZOLITE,43.5,1.72,1.47,51.61353
LHERZOLITE,43.29,1.44,1.47,52.88242
LHERZOLITE,43.12,2.68,1.88,49.28718
LHERZOLITE,42.26,1.31,1.88,52.56476
LHERZOLITE,47.38,0.94,1.48,49.73
LHERZOLITE,46.45,0.88,1.49,50.68
LHERZOLITE,46.7,1.95,1.5,48.6788
LHERZOLITE,39.5,1.59,1.5,56.788
LHERZOLITE,43.41,1.33,1.51,51.61059
LHERZOLITE,43.39,1.41,1.71,52.10032
LHERZOLITE,44.58,2.68,1.51,50.92
LHERZOLITE,45.1,1.97,1.52,49.3478
LHERZOLITE,44.49,2.12,1.86,50.71698
LHERZOLITE,45.28,1.74,1.918,50.64
LHERZOLITE,44.17,1.74,1.95,51.05312
LHERZOLITE,44.97,1.38,1.54,51.16
LHERZOLITE,43.76,1.69,1.97,50.06759
LHERZOLITE,42.78,1.75,1.853,51.37
LHERZOLITE,44.23,1.9,1.93,49.74769
LHERZOLITE,44.28,1.51,1.96,50.40749
LHERZOLITE,42.66,2.44,1.91,50.99981
LHERZOLITE,43.91,4.3,1.55,50.38342
LHERZOLITE,43.84,2,1.96,49.70052
LHERZOLITE,43.21,1.2,1.81,52.41151
LHERZOLITE,43.25,1.07,1.91,52.36
LHERZOLITE,43.56,1.42,1.98,51.2888
LHERZOLITE,44.19,1.21,1.57,52.33
LHERZOLITE,48.18,0.81,1.57,49.09
LHERZOLITE,43.65,1.34,1.58,52.349402
LHERZOLITE,46.01,2.5,1.59,47.46081
LHERZOLITE,40.66,0.43,1.63,56.96
LHERZOLITE,38.54,1.45,1.61,43.08553
LHERZOLITE,44.1,1.75,2.01,49.89
LHERZOLITE,43.94,1.08,1.61,51.46
LHERZOLITE,43.85,1.12,1.61,52.81223
LHERZOLITE,43.79,1.34,1.62,52.21292
LHERZOLITE,44.68,1.5,2.02,47.28468
LHERZOLITE,44.1,1.15,2.55,50.26435
LHERZOLITE,43.89,1.58,2.02,51.84
LHERZOLITE,41.75,1.26,2.02,53.95578
LHERZOLITE,43.75,1.39,1.65,52.36817
LHERZOLITE,45.28,2.12,1.65,50.64
LHERZOLITE,48.2,2.17,1.65,47.53
LHERZOLITE,43.58,2,2.02,50.82678
LHERZOLITE,46.54,1.65,1.66,49.57
LHERZOLITE,43.18,1.64,1.66,53.28
LHERZOLITE,43.83,1.61,1.67,51.31
LHERZOLITE,45.06,1.51,1.67,50.64433
LHERZOLITE,44.48,2.48,1.67,50.59
LHERZOLITE,43.65,1.81,2.06,50.48547
LHERZOLITE,43.88,1.64,1.68,51.1215
LHERZOLITE,43.84,1.64,1.68,51.4984
LHERZOLITE,44.48,1.21,2.18,51.1
LHERZOLITE,42.57,1.43,1.99,53.04
LHERZOLITE,44.1,1.39,1.69,50.96503
LHERZOLITE,42.67,2.05,1.69,51.5
LHERZOLITE,43.69,1.41,1.69,52.14322
LHERZOLITE,45.4,1.93,2.14,49.10776
LHERZOLITE,42.52,1.7,1.7,50.91319
LHERZOLITE,43.2,1.84,1.7,52.1586
LHERZOLITE,45.2,1.65,2.115,50.91
LHERZOLITE,44.4,1.57,1.72,50.29999
LHERZOLITE,43.75,1.57,1.72,50.81312
LHERZOLITE,43.04,0.94,1.73,52.65696
LHERZOLITE,44,1.39,1.73,51.42141
LHERZOLITE,42.69,1.91,2.028,53.12
LHERZOLITE,46.05,1.72,1.73,49.98
LHERZOLITE,44.65,1.46,1.74,50.13574
LHERZOLITE,43.5,1.65,1.74,51.8
LHERZOLITE,44.5,0.5,1.75,50.75698
LHERZOLITE,42.92,1.67,2.65,50.92476
LHERZOLITE,44.2,1.58,1.76,49.37
LHERZOLITE,48.14,0.91,1.76,46.99
LHERZOLITE,44.78,2.46,1.76,49.10018
LHERZOLITE,44.71,1.54,1.76,51.44322
LHERZOLITE,43.27,1.77,1.77,50.13717
LHERZOLITE,42.56,1.61,1.77,51.82799
LHERZOLITE,43.8,1.49,1.77,51.42426
LHERZOLITE,44.4,2.49,1.78,49.13473
LHERZOLITE,43.6,1.62,1.79,50.20887
LHERZOLITE,46,2.05,1.79,48.34161
LHERZOLITE,42.31,1.78,1.79,53.14
LHERZOLITE,43.9,2.41,2.28,50.49425
LHERZOLITE,43.06,1.5,2.21,50.51183
LHERZOLITE,43.75,1.81,1.8,50.89951
LHERZOLITE,45.6,2.5,1.8,48.77375
LHERZOLITE,47.96,0.9,1.8,48.73
LHERZOLITE,44.46,2.81,1.8,50.6609
LHERZOLITE,43.8,1.94,1.8,53.2182
LHERZOLITE,44.8,1.59,1.81,50.22424
LHERZOLITE,44.68,1.52,1.81,50.15
LHERZOLITE,43.89,1.26,1.81,52.42
LHERZOLITE,45.06,4.62,1.81,47.79
LHERZOLITE,44.71,1.63,2.26,53.1615
LHERZOLITE,43.75,2.13,1.82,50.67
LHERZOLITE,42.9,2.18,2.19,52.02143
LHERZOLITE,45.02,1.53,1.82,50.53
LHERZOLITE,44.6,1.85,1.83,49.93373
LHERZOLITE,43.87,1.59,1.83,50.88547
LHERZOLITE,38.1,0.61,3.2,43.54705
LHERZOLITE,43.91,2.52,1.84,50.15
LHERZOLITE,43.4,2.28,2.271,49.44433
LHERZOLITE,44.2,1.56,1.85,50.32685
LHERZOLITE,43.88,2.96,1.85,49.55678
LHERZOLITE,53.64,23.43,2.61,20.11
LHERZOLITE,42.26,1.98,1.86,53.27
LHERZOLITE,43.4,1.61,2.153,52.42
LHERZOLITE,56.63,0.67,2.38,40.23
LHERZOLITE,43.23,0.76,1.88,47.2587
LHERZOLITE,44.78,1.35,1.88,50.49412
