ROCK NAME,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MGO,CAO,NA2O,K2O,P2O5,MNO,CR2O3
PERIDOTITE,-25.48,31.52,42.03,0.14,3.32,2.21,,5.8,,32.66,1.11,0.14,0.03,0.006,0.1,0.615
DUNITE,-25.5,31.3,38.5,0.19,2.36,3.61,,4.88,,39.13,1.29,0.09,0.04,,0.14,1
DUNITE,-26,27.78,40.06,0.07,2.7,4.05,,1.74,,38.15,0.25,0,0.1,0.05,0.1,
HARZBURGITE,-26,27.78,40,0.06,2.84,5.45,,1.15,,37.52,0.26,0.26,0.1,0.05,0.09,
DUNITE,34.5,136.8,36.59,0.19,1.75,4.03,,12.12,,39.89,0.89,0,0,0,0.2,0.49
PERIDOTITE,34.5,136.8,38.75,0.22,0.75,2.69,,10.89,,39.04,2.38,0.05,0,0.04,0.19,0.4
PERIDOTITE,34.5,136.8,41.13,0.3,6.49,1.23,,9.28,,30.22,6.27,0.31,0,0.03,0.15,0.44
PERIDOTITE,34.5,136.8,43.67,0.44,9.82,1.44,,7.9,,21.56,11.09,0.93,0.06,0.04,0.14,0.31
LHERZOLITE,-48.5,-70.5,,,1.72,,,,,,2.11,0.29,0.01,0.01,,
HARZBURGITE,-21.72,150.3,38.59,0.01,0.75,,,,6.53,40.2,0.55,0.21,0,0,0.1,
HARZBURGITE,-22.9272,149.953,40.78,0.02,0.88,,,,6.9,42.04,0.99,0.35,0.01,0,0.13,0.29
HARZBURGITE,-22.9273,149.954,40.82,0.01,0.89,,,,7.44,41.16,1.64,0.3,0,0,0.12,0.28
HARZBURGITE,-22.9555,149.901,43.16,0.02,0.84,,,,7.3,33.67,0.08,0,0,0,0.12,0.31
DUNITE,35.3,135.3,34.04,0.17,0.91,3.89,,5.25,,40.5,0.28,0.01,0,,0.1,0.67
HARZBURGITE,35.3,135.3,37.22,0.35,0.62,3.42,,3.84,,40.12,1.53,0.08,0,,0.17,0.18
HARZBURGITE,35.3,135.3,41.49,0.09,0.26,2.62,,5.02,,43.38,1.18,0.04,0,,0.15,0.55
HARZBURGITE,35.3,135.3,38.87,0.21,0.92,3.28,,4.07,,40.03,1.49,0.23,0.02,,0.12,0.59
HARZBURGITE,35.3,135.3,41.07,0.12,1.03,3.39,,3.92,,41.43,1.58,0.03,0.01,,0.18,0.68
HARZBURGITE,45.78,3.08,43.21,0.05,0.64,,,,10.71,43.08,0.54,0.01,0.01,0.01,0.17,
DUNITE,45.78,3.08,39.69,0.04,0.15,,,,13.2,44.39,0.06,0.01,0.01,0.01,0.19,
DUNITE,-18.8051,48.3225,39.18,0.05,0.88,,,,10.52,39.22,0.55,0.09,0.01,0.02,0.16,
DUNITE,-18.8079,48.3352,39.53,0.04,0.9,,,,12.17,38.87,1.86,0.03,0.01,0,0.2,
DUNITE,-18.8079,48.3352,37.56,0.06,0.89,,,,12.4,39.09,0.67,0.02,0.01,0,0.19,
DUNITE,-18.85,48.32,40.12,0.07,0.91,,,,12.78,38.39,1.09,0.04,0.01,0.01,0.2,
DUNITE,-18.8079,48.3352,37.43,0.07,0.92,,,,12.71,38.37,0.85,0.02,0.01,0.01,0.2,
DUNITE,-18.8079,48.3352,39.94,0.08,0.95,,,,12.89,37.68,1.58,0.03,0.01,0.01,0.2,
WEHRLITE,-18.85,48.32,39.92,0.34,1.54,,,,13.72,36.48,3.36,0.04,0.01,0.01,0.25,
WEHRLITE,-18.8079,48.3352,40.89,0.7,1.62,,,,16.01,34,3.24,0.06,0.01,0.01,0.26,
WEHRLITE,-18.8079,48.3352,40.63,0.84,1.93,,,,14.56,33.21,4.23,0.04,0.01,0.01,0.24,
WEHRLITE,-18.83,48.33,42.5,0.22,1.58,,,,14.07,33.44,4.12,0.04,0.01,0.01,0.27,
WEHRLITE,-18.8079,48.3352,42.89,0.3,1.22,,,,15.26,31.74,5.03,0.02,0.01,0,0.35,
WEHRLITE,-18.8062,48.3373,41.95,0.22,1.37,,,,10.1,32.57,6.87,0.03,0.01,0.01,0.15,
WEHRLITE,-18.8062,48.3373,42.5,0.22,1.37,,,,9.72,32.47,7.46,0.02,0.01,0.02,0.14,
WEHRLITE,-18.83,48.33,44.17,0.39,2.19,,,,10.16,31.02,8.71,0.05,0.01,0.01,0.16,
WEHRLITE,-18.8051,48.3225,44.52,0.45,2.45,,,,11.13,29.72,9.42,0.02,0.01,0.02,0.17,
DUNITE,-41.5,145.5,46.3,0.01,0.16,2.91,,3.83,,46.09,0.03,0,0.02,0,0.11,0.21
DUNITE,-41.5,145.5,39.56,0.03,0.1,3.22,,3.13,,44.82,0.07,0,0,0,0.1,0.25
DUNITE,-41.5,145.5,36.65,0.03,0.38,7.48,,4.78,,38.46,0.14,0,0,0.01,0.17,0.32
PERIDOTITE,60.8,-71,40.33,0.07,1.62,,,,8.34,36.28,0.12,0.15,0.02,0.01,0.18,
PERIDOTITE,60.8,-71,37.16,0.07,1.89,,,,10.74,35.45,0.85,0.11,0.01,0.01,0.14,
DUNITE,3,-78.32,41.7,0.21,5.37,12.31,,,11.06,34.2,5.94,0.07,0.01,0.01,0.18,
WEHRLITE,3,-78.32,43.25,0.74,6.52,14.86,,,13.36,27.6,6.5,0.22,0.02,0.04,0.23,
DUNITE,3,-78.32,42.85,0.31,6.81,11.79,,,10.6,31.5,6.28,0.26,0.01,0.01,0.17,
PERIDOTITE,69.48,30.75,36.74,0.86,2.69,7.45,,11.51,,28.86,2.6,0.17,0.29,,0.23,0.56
PERIDOTITE,-26.6,118.5,54.49,0.35,5.71,2.12,,6.62,9.16,16.42,7.56,0.07,0,0.03,0.15,
DUNITE,48.6,-80.5,44.1,0.2,4.3,,,,10.4,37,3,0.2,0.1,,,0.93
DUNITE,48.6,-80.5,45.1,0.2,4.4,,,,9.5,35.7,4.2,0.2,0.1,,,0.58
DUNITE,48.6,-80.5,45.4,0.2,4.1,,,,9.9,36.3,3.7,0.2,0.1,,,0.32
DUNITE,48.6,-80.5,45.7,0.2,4.8,,,,9.3,35.9,3.6,0.2,0.1,,,0.44
DUNITE,48.6,-80.5,43.1,0.2,4.7,,,,10.6,36.8,3.3,0.2,0.1,,,1
PERIDOTITE,48.6,-80.5,44.3,0.2,6.3,,,,11.1,30.5,6.4,0.2,0.1,,,0.67
DUNITE,7.95,-11.19,36.3,0.06,0.7,,,,5.55,45.7,1.2,0.03,0.02,0.06,0.09,
DUNITE,65,176,34.32,0.03,2.03,5.39,,3.02,,41.8,0.38,0,0,0.03,0.19,0.29
DUNITE,65,176,38.98,0.01,1.8,2.92,,3.84,,42.89,1.17,0,0.1,0.02,0.07,0.17
HARZBURGITE,65,176,40.46,0.03,1.48,5.26,,1.37,,38.94,0.08,0,0,0.02,0.1,0.29
HARZBURGITE,65,176,40.89,0.02,1.65,5.22,,2.12,,38.42,0,0,0,0.02,0.06,0.32
HARZBURGITE,65,176,40.07,0.03,1.73,6.03,,1.51,,37.72,0,0.2,0.1,0.02,0.06,0.38
DUNITE,38.79,15.21,40.4,0.11,0.52,,,,8.93,47.82,0.36,0.08,0.11,0.1,0.14,
WEHRLITE,38.79,15.21,44.85,0.25,3.63,,,,10.54,28.61,9.17,0.43,0.24,0.14,0.19,
HARZBURGITE,17.7,147.5,46.6,0.29,3.74,4.17,,10.64,,24.68,5.97,0.23,0.13,0.03,0.25,
HARZBURGITE,12.1,143.9,42.64,0.08,2.78,3.86,,4.29,,36.84,2.87,0.1,0.01,0.02,0.13,
PERIDOTITE,35.1,138.3,40.63,0,3.37,3.21,,4.13,,36.09,2.15,0.24,0.05,,0.09,
PERIDOTITE,35.1,138.3,38.7,0.26,4.39,3.19,,3.87,,32.88,5.46,0.14,0.05,,0.09,
PERIDOTITE,35.1,138.3,39.71,0,2.75,4.81,,3.73,,35.19,1.54,0.21,0.05,,0.12,
WEHRLITE,2.5,-76.4,42.12,0.4,6.26,3.49,,6.34,,27.49,6.1,0.43,0.14,0.05,0.17,
WEHRLITE,2.5,-76.4,39.96,0.34,4.73,4.3,,6.49,,30.92,5.5,0.12,0.03,0.04,0.17,
WEHRLITE,2.5,-76.4,40.57,0.35,5.59,4.04,,6.39,,29.66,5.47,0.05,0.05,0.03,0.16,
PERIDOTITE,48.2,-80.1,36.88,0.11,0.72,,,,11.24,35.5,,,,,0.15,0.68
PERIDOTITE,48.2,-80.1,43.25,0.22,2.4,4.24,,6.97,,26.7,8.4,,,,0.2,1
PERIDOTITE,48.2,-80.1,37.9,0.21,1.05,,,,10.12,35,1.76,,,,0.22,1.1
PERIDOTITE,48.2,-80.1,36.2,0.21,1.1,,,,13.59,33.5,0,0,0.1,,0.21,1
PERIDOTITE,48.2,-80.1,34.5,0.18,0.88,,,,15.3,34.5,0,,,,0.16,1.15
PERIDOTITE,48.2,-80.1,35.5,0.21,1.04,,,,11.56,35.8,0.24,,,,0.17,0.8
HARZBURGITE,-46.65,-75.45,38.5,0.02,0.9,,,,6.79,36.4,0.1,0.09,0,0.02,0.08,
HARZBURGITE,-46.65,-75.45,38,0.02,0.9,,,,7.27,37.85,0.11,0.02,0,0.02,0.11,
HARZBURGITE,56.6108,-102.826,41.95,0.12,1.9,8.86,,3.8,,34.25,0.28,0.14,0.02,0.01,0.1,
DUNITE,70,100,39.69,0.17,0.16,,,,13.63,45.33,0.58,0.11,0.02,0.08,0.22,
PERIDOTITE,53,-121.5,43.54,0.54,6.87,,,,13.56,29.39,4.09,0.19,0,0.1,0.21,
HARZBURGITE,54.82,-125.17,55.23,0,0.54,,,,5.49,35.67,0.75,0,0,0,0.12,
HARZBURGITE,54.82,-125.17,44.69,0,0.64,,,,8.15,45.23,0.24,0,0,0,0.13,
HARZBURGITE,54.82,-125.17,44.31,0,0.37,,,,8.04,45.81,0.37,0.02,0.004,0.06,0.12,
HARZBURGITE,54.82,-125.17,43.89,0,0.6,,,,8.14,45.71,0.56,0.02,0.005,0.06,0.12,
LHERZOLITE,54.4,-124,46.23,,0.45,,,,6.84,33.15,0.75,,,,0.11,
PERIDOTITE,38.2,141,40.47,0.68,20.48,4.67,,6.01,,9.37,13.17,0.97,0.3,0.14,0.11,
DUNITE,61.56,-73.47,38.2,0.19,4,,,,13.44,29.77,2.31,0.07,0.02,0.01,0.17,
DUNITE,61.5,-73.7,38.85,0.26,5.65,,,,12.36,26.66,5.45,0.08,0,0.02,0.18,
DUNITE,61.5,-73.7,38.29,0.39,4.13,,,,14.8,27.46,3.67,0.08,0.01,0.03,0.2,
DUNITE,61.5,-73.7,38,0.32,4.69,,,,14.45,26.62,3.95,0.07,0,0.02,0.18,
DUNITE,61.5,-73.7,39.69,0.28,5.73,,,,12.02,26.48,5.82,0.08,0,0.02,0.17,
PERIDOTITE,61.5,-73.7,38.79,0.38,4.57,,,,14.6,26.24,4.29,0.13,0.02,0.02,0.19,
