ROCK NAME,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5
HARZBURGITE,37.58,0,0.34,0.19,6.50876,0.46,39.63,0.11,0,0,0
HARZBURGITE,36.46,0,0.21,0.19,6.93129,0.22,40.18,0.09,0.02,0,0
HARZBURGITE,37.78,0,0.35,0.2,6.41886,0.54,39.67,0.11,0,0,0
HARZBURGITE,35.35,0,0.29,0.21,6.48179,0.07,39.15,0.13,0,0,0
HARZBURGITE,36.01,0,0.47,0.21,6.86836,0.66,39.35,0.12,0,0,0
HARZBURGITE,39.21,0,0.59,0.21,6.62563,1.66,38.19,0.11,0,0,0
HARZBURGITE,36.81,0,0.19,0.21,6.7425,0.33,41.5,0.1,0.01,0,0
HARZBURGITE,35.45,0,0.28,0.22,6.71553,0.36,41.32,0.1,0.01,0,0
HARZBURGITE,33.64,0,0.2,0.24,6.32896,0.07,40.13,0.14,0,0,0
HARZBURGITE,35.12,0,0.21,0.24,6.49977,0.08,39.87,0.1,0,0,0
HARZBURGITE,37.09,0,0.63,0.24,6.36492,0.58,39.5,0.1,0,0,0
HARZBURGITE,36.49,0,0.41,0.24,6.293,0.5,39.14,0.1,0.01,0,0
HARZBURGITE,35.53,0,0.19,0.25,6.35593,0.35,39.32,0.1,0,0,0
HARZBURGITE,36.84,0,0.45,0.25,7.07513,0.63,39.91,0.11,0,0,0
HARZBURGITE,36.37,0,0.3,0.26,6.27502,0.29,39.47,0.09,0.01,0,0
HARZBURGITE,37.57,0,0.77,0.26,6.94028,0.55,39.61,0.11,0.01,0,0
HARZBURGITE,38.62,0,0.66,0.27,6.98523,0.79,40.03,0.11,0,0,0
HARZBURGITE,38.56,0,0.63,0.28,7.0122,0.86,39.13,0.11,0,0,0
HARZBURGITE,40.2,0,0.37,0.28,6.61664,0.35,42.69,0.1,0.01,0,0
HARZBURGITE,36.97,0,0.51,0.29,6.77846,0.41,38.3,0.16,0,0,0
HARZBURGITE,39.61,0,0.69,0.29,7.29089,0.8,40.95,0.11,0,0,0
HARZBURGITE,37.57,0,0.52,0.3,6.73351,0.55,39.28,0.11,0,0,0
HARZBURGITE,38.42,0,0.6,0.31,6.69755,0.79,39.04,0.11,0.02,0,0
HARZBURGITE,38.7,0,0.64,0.32,6.63462,0.62,39.33,0.11,0.03,0,0
HARZBURGITE,32.18,0,0.25,0.33,7.32685,0.32,40.35,0.12,0,0,0
HARZBURGITE,37.46,0,0.76,0.33,7.06614,0.03,39.15,0.13,0.05,0,0
HARZBURGITE,34.61,0,0.68,0.37,7.192,0.08,39.21,0.16,0,0,0
HARZBURGITE,40.93,0,1.09,0.37,6.48179,0.74,36.85,0.1,0.01,0,0
HARZBURGITE,38.35,0,0.49,0.37,6.91331,0.53,40,0.11,0.01,0,0
HARZBURGITE,38.92,0,0.62,0.38,6.40987,0.58,37.93,0.13,0,0,0
HARZBURGITE,29.39,0,0.57,0.41,8.12696,0.14,41.22,0.17,0,0,0
HARZBURGITE,38.61,0,0.17,0.42,6.71553,0.23,41.84,0.11,0.01,0,0
HARZBURGITE,38.08,0,0.88,0.43,6.60765,0.81,37.34,0.11,0.02,0,0
HARZBURGITE,43.28,0,0.74,0.46,7.93,0.53,46.73,0.12,0.01,0,0
HARZBURGITE,41.39,0.01,0.32,0.49,8.29777,0.62,47.08,0.13,0,0,0
HARZBURGITE,45.1,0,0.21,0.55,8.53,0.74,42.2,0.09,0,0,0
HARZBURGITE,29.13,0,0.29,0.57,8.31575,0.16,41.26,0.17,0,0,0
HARZBURGITE,46.61,0.014,1.34,0.33,5.94,1.03,44.38,0.104,0.15,0.02,0
HARZBURGITE,46.59,0.01,1.4,0.355,5.89,0.99,43.81,0.103,0.17,0.03,0
HARZBURGITE,43.55,0,0.68,0.3,7.94716,0.68,45.87,0.13,0,0.05,0
HARZBURGITE,35.26,0,0.72,0.1,6.87742,0.33,40.02,0.07,0.02,0.07,0
