ROCK NAME,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5
LHERZOLITE,44.81,0.07,1.91,0.38,7.43473,1.54,42.11,0.13,0.007,0.11,0.007
LHERZOLITE,44.3,0.03,2.16,0.39,8.13052,2.01,40.86,0.13,0.02,0.14,0.007
LHERZOLITE,44.03,0.05,2.21,0.37,8.26618,1.98,40.92,0.13,0.03,0.15,0.007
LHERZOLITE,45.41,0.09,2.71,0.39,7.47069,2.52,40.04,0.13,0.007,0.17,0.007
LHERZOLITE,44.64,0.144,3.84,0.387,8.23,2.88,39.24,0.13,0.01,0.25,0.007
LHERZOLITE,43.44,0.06,1.96,0.39,8.86598,1.69,41.19,0.14,0.01,0.07,0.008
LHERZOLITE,43.56,0.09,1.57,0.41,8.3088,1.42,42.98,0.13,0.02,0.12,0.009
LHERZOLITE,43.58,0.06,1.66,0.36,8.02678,2,42.8,0.13,0.03,0.12,0.009
LHERZOLITE,44.75,0.06,2.64,0.38,8.12497,2.58,39.02,0.13,0.02,0.15,0.009
LHERZOLITE,44.2,0.05,2.07,0.39,7.72334,1.98,42.8,0.12,0.004,0.16,0.009
LHERZOLITE,44.55,0.137,3.23,0.36,8.12,2.87,40.37,0.13,0.01,0.28,0.009
LHERZOLITE,46.34,0.11,3.67,0.38,7.48,3.47,36.68,0.13,0.006,0.38,0.009
LHERZOLITE,44.17,0,1.54,0.41,7.98312,1.74,43.07,0.13,0,0.05,0.01
LHERZOLITE,43.91,0.071,1.21,0.351,8.38,1.46,44.44,0.123,0.19,0.09,0.01
LHERZOLITE,42.15,0.08,0.59,0.295877419,9.780958714,1.78,44.12,0.16,0.05,0.13,0.01
LHERZOLITE,43.67,0.37,2.52,0.3,10.5578,1.75,39.52,0.14,0.06,0.13,0.01
LHERZOLITE,42.24,0.14,0.76,0.35893685,12.68735215,1.83,40.87,0.24,0.06,0.14,0.01
LHERZOLITE,44.34,0.06,1.96,0.37,7.41,1.56,42.47,0.12,0.02,0.16,0.01
LHERZOLITE,44.44,0.164,2.28,0.426,7.99,1.36,42.67,0.12,0.03,0.17,0.01
LHERZOLITE,42.23,0.15,2.81,0.41,9.19677,3.76,38.84,0.17,0.13,0.17,0.01
LHERZOLITE,44.7,0.09,2.76,0.34,10.88999,1.85,40.6,0.13,0,0.18,0.01
LHERZOLITE,44.79,0.08,2.66,0.34,8.41,2.26,40.73,0.14,0,0.18,0.01
LHERZOLITE,43.92,0.06,2.71,0.45,8.03,2.34,41.31,0.13,0.01,0.18,0.01
LHERZOLITE,44.54,0.09,2.91,0.38,10.74908,2.89,39.78,0.13,0,0.19,0.01
LHERZOLITE,44.83,0.03,1.91,0.34,7.07,1.8,40.74,0.12,0.025,0.19,0.01
LHERZOLITE,44.69,0.16,4.77,0.38,7.34483,3.77,37.04,0.13,0.09,0.19,0.01
LHERZOLITE,42.13,0.08,1.41,0.38,8.67264,1.4,42.4,0.16,0.17,0.2,0.01
LHERZOLITE,44.84,0.13,3.91,0.4,8.32,3.45,38.41,0.14,0.02,0.23,0.01
LHERZOLITE,44.13,0.11,3.06,0.35,10.81898,2.87,39.98,0.13,0,0.24,0.01
LHERZOLITE,45.09,0.1,3.14,0.36,10.56534,3,38.96,0.13,0,0.24,0.01
LHERZOLITE,44.2,0.09,2.94,0.45,10.97292,2.69,40.01,0.13,0.01,0.25,0.01
LHERZOLITE,44.15,0.13,2.83,0.36,7.53,2.18,41.55,0.13,0.02,0.26,0.01
LHERZOLITE,44.96,0.12,4.56,0.5,6.88634,3.64,36.67,0.13,0.05,0.26,0.01
LHERZOLITE,45.1,0.103,3.34,0.37,8.01,3.08,39.5,0.134,0.02,0.27,0.01
LHERZOLITE,45.1,0.13,3.92,0.31,8.189,2.66,38.81,0.14,0.02,0.27,0.01
LHERZOLITE,44.7,0.141,3.76,0.385,8.23,3.04,38.58,0.14,0.02,0.27,0.01
LHERZOLITE,44.59,0.16,3.73,0.34,7.84,3.03,38.47,0.13,0.02,0.28,0.01
LHERZOLITE,44.45,0.11,3.08,0.37,7.7,2.31,41.05,0.13,0.02,0.28,0.01
LHERZOLITE,45.14,0.14,4.6,0.35,8.8582,3.66,36.87,0.14,0.04,0.28,0.01
LHERZOLITE,44.73,0.13,3.86,0.46,8.32,3.29,37.66,0.14,0.01,0.29,0.01
LHERZOLITE,45.09,0.121,3.23,0.51,7.94,3.33,39.04,0.14,0.01,0.3,0.01
LHERZOLITE,44.23,0.14,3.29,0.34,8.01,2.47,40.29,0.14,0.023,0.32,0.01
LHERZOLITE,45.5,0.156,3.96,0.414,7.91,3.33,38.52,0.135,0.17,0.33,0.01
LHERZOLITE,45.45,0.182,4.09,0.374,8.38,3.53,37.18,0.14,0.02,0.35,0.01
LHERZOLITE,43.56,0.12,3.06,0.29,7.86625,2.49,40.11,0.14,0.2,0.61,0.01
LHERZOLITE,44.53,0.163,2.31,0.432,8.02,1.37,42.73,0.12,0.03,0.16,0.011
LHERZOLITE,44.5,0.1,2.9,0.35,7.90698,2.53,41.2,0.13,0.002,0.22,0.011
LHERZOLITE,44.75,0.06,2.76,0.4,7.74,2.12,40.15,0.13,0.004,0.27,0.011
LHERZOLITE,45.03,0.166,4.14,0.39,8.12,2.96,38.64,0.14,0.02,0.28,0.011
LHERZOLITE,45.29,0.07,3.37,0.36,7.57486,3.1,38.13,0.13,0.06,0.3,0.011
LHERZOLITE,44.2,0.12,3.51,0.39,7.98274,3.22,38.7,0.13,0.003,0.32,0.011
LHERZOLITE,45.53,0.151,4.76,0.411,8.16,3.43,37.05,0.15,0.02,0.33,0.011
LHERZOLITE,45.54,0.155,3.96,0.418,7.91,3.35,38.39,0.139,0.17,0.33,0.011
LHERZOLITE,44.23,0.05,1.55,0.38,7.92769,1.9,41.82,0.12,0.03,0.09,0.012
LHERZOLITE,45.24,0.035,0.95,0.422,7.36,1.45,43.5,0.122,0.29,0.15,0.012
LHERZOLITE,45.26,0.153,4.28,0.385,8.2,2.84,38.62,0.14,0.02,0.24,0.012
LHERZOLITE,45.28,0.07,1.53,0.388,7.52,1.74,43.12,0.123,0.17,0.06,0.013
LHERZOLITE,44.41,0.133,3.35,0.367,8.29,2.76,40.17,0.13,0.03,0.26,0.014
LHERZOLITE,45.19,0.171,4.43,0.373,8.11,3.49,37.7,0.14,0.02,0.34,0.014
LHERZOLITE,43.48,0.69,3.37,0.37,8.32103,3.17,36.51,0.12,0.43,0.34,0.014
LHERZOLITE,43.23,0.076,1.25,0.225,9.83,0.56,43.94,0.12,0.01,0.08,0.015
LHERZOLITE,43.65,0.03,1.68,0.38,7.91547,1.81,42.57,0.12,0.02,0.14,0.015
LHERZOLITE,44.6,0.08,2.88,0.41,7.8489,2.57,40.6,0.13,0.003,0.23,0.015
LHERZOLITE,44.87,0.155,3.73,0.386,8.41,2.95,39.18,0.13,0.03,0.27,0.015
LHERZOLITE,45.92,0.14,3.9,0.39,7.41,3.24,37.2,0.13,0.02,0.35,0.015
LHERZOLITE,43.76,0.04,1.55,0.42,8.03759,1.69,42.03,0.12,0.04,0.09,0.017
LHERZOLITE,45.07,0.116,2.87,0.37,7.98,2.07,40.65,0.12,0.03,0.23,0.018
LHERZOLITE,44.6,0.09,2.75,0.37,7.22,2.42,40.9,0.13,0.002,0.23,0.019
LHERZOLITE,43.99,0.06,2.58,0.4,7.99,2.43,40.38,0.13,0.007,0.27,0.019
LHERZOLITE,44.35,0.147,3.42,0.4,8.29,3.05,39.46,0.13,0.01,0.3,0.019
LHERZOLITE,44.05,0.08,2.62,0.4,10.76019,2.13,41.8,0.13,0,0.1,0.02
LHERZOLITE,43.21,0.07,1.56,0.25,8.53151,1.2,43.88,0.13,0,0.12,0.02
LHERZOLITE,44.26,0,0.86,0.36,7.45162,0.76,46.08,0.13,0.02,0.12,0.02
LHERZOLITE,42.5,0.04,1.42,0.87,7.93789,1.49,45.2,0.11,0,0.16,0.02
LHERZOLITE,44.58,0.07,3.46,0.4,8.04,2.96,38.9,0.13,0.01,0.16,0.02
LHERZOLITE,44.1,0.06,1.63,0.92,7.19435,1.15,43.07,0.11,0.08,0.18,0.02
LHERZOLITE,44.34,0.09,2.26,0.43,9.64574,2.15,41.85,0.12,0,0.19,0.02
LHERZOLITE,44.65,0.17,2.87,0.37,11.47807,4.25,37.74,0.13,0.01,0.2,0.02
LHERZOLITE,44.58,0.1,3.12,0.33,11.07797,2.7,39.65,0.13,0.02,0.2,0.02
LHERZOLITE,43.86,0.045,0.9,0.38,8.96,1.19,44.09,0.137,0.02,0.2,0.02
LHERZOLITE,44.69,0.11,3.5,0.4,10.56423,3.16,39.26,0.13,0,0.21,0.02
LHERZOLITE,44.53,0.11,3.19,0.41,8.13,2.69,39.91,0.13,0,0.21,0.02
LHERZOLITE,44.22,0.11,3.16,0.4142,8.68434,2.6,40.21,0.13,0.02,0.21,0.02
LHERZOLITE,46.71,0.053,2.47,0.41,7.33,2.36,39.98,0.129,0.03,0.21,0.02
LHERZOLITE,42.35,0.05,0.89,0.93,11.32,1.5,42.6,0.25,0.04,0.21,0.02
LHERZOLITE,43.87,0.17,3.45,0.36,7.89322,3.05,38.86,0.14,0.2,0.21,0.02
LHERZOLITE,44.96,0.09,3.16,0.41,10.85312,2.97,39.23,0.13,0,0.22,0.02
LHERZOLITE,44.44,0.09,3.12,0.44,10.88898,2.85,39.54,0.13,0,0.22,0.02
LHERZOLITE,45.09,0.08,1.09,0.68,8.82,2.92,40.95,0.15,0.09,0.22,0.02
LHERZOLITE,44.5,0.11,3.23,0.37,12.05919,3.16,38.59,0.14,0,0.24,0.02
LHERZOLITE,45.48,0.15,3.91,0.37,11.06221,4.49,36.46,0.14,0,0.24,0.02
LHERZOLITE,46.62,0.048,2.42,0.38,7.39,2.41,40.31,0.131,0.04,0.24,0.02
LHERZOLITE,44.23,0.09,2.39,0.38,8.48,1.93,41.2,0.14,0.04,0.24,0.02
LHERZOLITE,43.69,0.136,3.11,0.381,8.05,3.04,40.56,0.14,0.116,0.24,0.02
LHERZOLITE,44.38,0.12,2.98,0.46,10.58463,2.48,40.92,0.12,0,0.25,0.02
LHERZOLITE,44.18,0.11,2.92,0.39,10.43938,2.69,40.25,0.13,0,0.27,0.02
LHERZOLITE,44.5,0.09,3.11,0.4,7.31627,3.1,40,0.13,0.003,0.27,0.02
LHERZOLITE,44.03,0.07,2.11,0.48,8.05425,1.57,42.84,0.12,0.01,0.28,0.02
LHERZOLITE,45.37,0.177,4.58,0.408,7.94,3.53,37.51,0.14,0.05,0.28,0.02
LHERZOLITE,44.7,0.09,3.12,0.44,7.97486,2.92,39.7,0.13,0.002,0.29,0.02
LHERZOLITE,44.46,0.16,3.49,0.4,12.82697,3.16,38.53,0.14,0.02,0.29,0.02
LHERZOLITE,44,0.2,3.78,0.42,8.39,2.88,37.81,0.14,0.26,0.3,0.02
LHERZOLITE,45.82,0.129,2.74,0.331,7.8,2.82,39.34,0.12,0.03,0.31,0.02
LHERZOLITE,43.53,0.02,3.12,0.3,7.95992,1.41,42.77,0.15,0.12,0.31,0.02
LHERZOLITE,45.07,0.162,3.94,0.33,8.32,3.55,38.02,0.137,0.01,0.33,0.02
LHERZOLITE,43.55,0.13,1.03,0.53,9.01,1.61,42.08,0.14,0.11,0.34,0.02
LHERZOLITE,44.24,0.15,3.71,0.3699,8.51353,3.22,39.08,0.13,0.02,0.35,0.02
LHERZOLITE,45.14,0.163,3.98,0.33,8.27,3.62,37.89,0.137,0.02,0.35,0.02
LHERZOLITE,44.7,0.14,3.58,0.36,8.35,3.2,38.92,0.136,0.03,0.35,0.02
LHERZOLITE,44.48,0.19,2.73,0.42,8.58688,2.12,40.46,0.13,0.03,0.42,0.02
LHERZOLITE,43.4,0.146,1.85,0.421,7.79433,2.28,41.65,0.139,0.02,0.2,0.021
LHERZOLITE,44.6,0.08,3.07,0.42,7.56799,2.62,40.1,0.13,0.002,0.23,0.021
LHERZOLITE,44.83,0.167,3.85,0.396,8.28,3.29,38.51,0.13,0.04,0.29,0.021
LHERZOLITE,43.9,0.17,1.89,0.39,8.14668,1,42.44,0.13,0.12,0.16,0.022
LHERZOLITE,44.61,0.159,3.73,0.389,8.28,2.95,38.93,0.13,0.04,0.32,0.023
LHERZOLITE,43.9,0.03,1.97,0.46,7.95597,1.96,42.8,0.13,0.004,0.12,0.025
LHERZOLITE,42.26,0.06,1.48,0.4,9.16476,1.31,43.4,0.14,0.06,0.08,0.029
LHERZOLITE,45.04,0.12,3.35,0.35,8.47174,3.13,35.34,0.15,0.02,0.22,0.029
LHERZOLITE,44.71,0,1.81,0.45,10.3615,1.63,42.8,0.12,0,0.04,0.03
LHERZOLITE,44.48,0.05,1.68,0.5,8.61,1.21,42.49,0.14,0.01,0.1,0.03
LHERZOLITE,43.42,0.03,1.12,0.5,8.35416,1.51,44.32,0.12,0.02,0.13,0.03
LHERZOLITE,43.84,0.11,3.07,0.28,8.41092,2.16,41.57,0.13,0.03,0.16,0.03
LHERZOLITE,46.17,0.09,1.44,0.59,9.59,5.04,37.67,0.17,0.02,0.17,0.03
LHERZOLITE,44.1,0.09,2.58,0.36,11.12292,2.36,41.68,0.13,0,0.18,0.03
LHERZOLITE,43.89,0.057,1.64,0.38,8.39,1.58,43.45,0.133,0.07,0.18,0.03
LHERZOLITE,43.94,0.12,2.71,0.33,11.23343,2.49,40.28,0.14,0.04,0.23,0.03
LHERZOLITE,44.48,0.088,2.6,0.35,8.26,2.27,41.23,0.135,0.03,0.24,0.03
LHERZOLITE,44.22,0.1,2.32,0.42,7.77,1.64,41.25,0.13,0.1,0.24,0.03
LHERZOLITE,43.29,0.2,2.36,0.27,8.30577,2.84,40.91,0.14,0.05,0.33,0.03
LHERZOLITE,43.82,0.03,2.55,0.28,8.09092,1.18,43.52,0.13,0.14,0.35,0.03
LHERZOLITE,44.99,0.162,3.92,0.35,8.29,3.6,37.75,0.137,0.05,0.37,0.03
LHERZOLITE,43.09,0.05,1.45,0.18,10.99719,1.1,41.45,0.18,0.19,0.38,0.03
LHERZOLITE,44.18,0.13,3.4,0.35,8.35,2.98,38.36,0.14,0.095,0.33,0.034
LHERZOLITE,44.16,0,1.45,0.41,8.2994,2.87,42.72,0.11,0.014,0.29,0.039
LHERZOLITE,43.66,0.05,2.08,0.55,5.69233,0.09,46.94,0.09,0.07,0.06,0.04
LHERZOLITE,43.47,0.22,0.95,0.64,8.16292,1.54,43.74,0.13,0.02,0.1,0.04
LHERZOLITE,41.54,0.15,1.88,0.26,12.48711,1.83,41.02,0.17,0.05,0.1,0.04
LHERZOLITE,41.64,0.21,3.26,0.48,14.33905,1.96,36.66,0.21,0.18,0.11,0.04
LHERZOLITE,43.74,0.08,2.85,0.71,8.95144,2.18,40.85,0.13,0.03,0.15,0.04
LHERZOLITE,44.61,0.052,1.25,0.4,9.38,1.35,41.58,0.146,0.06,0.16,0.04
LHERZOLITE,42.92,0.03,1.75,0.9,7.63476,1.67,43.29,0.12,0.05,0.18,0.04
LHERZOLITE,43.9,0.05,1.79,0.49,7.59425,2.41,42.9,0.12,0.017,0.22,0.04
LHERZOLITE,45.38,0.25,4.18,0.34,8.5405,3.71,36.82,0.14,0.11,0.32,0.04
LHERZOLITE,44.94,0.46,2.84,0.18,10.99274,1.16,38.44,0.15,0.16,0.4,0.04
LHERZOLITE,43.66,0.27,3.36,0.35,9.42446,3.59,37.7,0.17,0.15,0.5,0.04
LHERZOLITE,44.82,0.52,8.21,0.2,9.77093,8.12,26.53,0.19,0.03,0.89,0.04
LHERZOLITE,43.25,0.05,0.9,0.41,8.56628,0.76,44.3,0.13,0.05,0.08,0.044
LHERZOLITE,43.17,0.11,2.04,0.41,8.07153,2.53,40.98,0.13,0.19,0.17,0.044
LHERZOLITE,43.2,0.03,1.28,0.33,8.26718,1.02,45.2,0.14,0.03,0.15,0.047
LHERZOLITE,42.57,0.1,1.68,0.31,9.22,1.43,43.82,0.15,0.01,0.07,0.05
LHERZOLITE,41.38,0.13,1.4,0.194,10.5,1.78,44.74,0.17,0.01,0.08,0.05
LHERZOLITE,43.52,0.19,2.66,0.344,8.5,2.8,41.14,0.15,0.03,0.14,0.05
LHERZOLITE,43.72,0.04,0.82,0.39,8.09,1.14,45.19,0.131,0.03,0.16,0.05
LHERZOLITE,44.18,0.016,1.26,0.37,8.23,1.31,43.99,0.131,0.03,0.17,0.05
LHERZOLITE,44.38,0.065,1.3,0.38,8.57,1.47,42.74,0.154,0.04,0.17,0.05
LHERZOLITE,44.56,0.07,2.45,0.65,8.21315,2.69,39.89,0.13,0.02,0.18,0.05
LHERZOLITE,43.42,0.17,5.65,1.21,8.38356,2.84,37.29,0.13,0.13,0.2,0.05
LHERZOLITE,44.37,0.08,2.44,0.48,7.18415,1.45,42.14,0.09,0.08,0.25,0.05
LHERZOLITE,44.34,0.11,2.96,1.09,7.99658,2.54,40.54,0.13,0.07,0.26,0.05
LHERZOLITE,45.19,0.09,3.53,0.38,8.15,3.18,38.35,0.13,0.01,0.27,0.05
LHERZOLITE,42.66,0.2,1.55,0.36,9.94981,2.44,41.05,0.18,0.1,0.34,0.05
LHERZOLITE,49.76,0.26,5.35,0.3,9.8377,1.94,30.51,0.15,0.04,0.41,0.05
LHERZOLITE,42.27,0.18,1.38,0.36,9.35223,2.89,41.87,0.18,0.09,0.43,0.05
LHERZOLITE,42.48,0.11,1.47,0.38,8.33304,2.54,42.33,0.14,0.09,0.29,0.052
LHERZOLITE,44.82,0.22,2.41,0.91,8.80821,1.79,40.53,0.13,0.01,0.06,0.06
LHERZOLITE,41.72,0.26,0.95,0.38,9.12861,1.43,44.47,0.13,0.02,0.06,0.06
LHERZOLITE,42.48,0.23,2.09,0.77,8.3476,2.38,42.9,0.12,0.01,0.14,0.06
LHERZOLITE,42.6,0.05,1.9,0.19,7.83526,0.78,45.82,0.12,0,0.18,0.06
LHERZOLITE,43.98,0.07,1.94,0.68,8.35224,1.83,42.25,0.13,0.05,0.2,0.06
LHERZOLITE,44.29,0.2,3.49,0.363,8.74,3.3,38.47,0.15,0.01,0.21,0.06
LHERZOLITE,42.69,0.18,1.73,0.298,9.01,1.91,44.11,0.15,0.03,0.13,0.07
LHERZOLITE,43.41,0.22,2.46,0.47,8.91255,2.39,41.08,0.13,0.04,0.19,0.07
LHERZOLITE,42.84,0.16,2.4,0.422,10.24,3.45,38.74,0.18,0.1,0.36,0.07
LHERZOLITE,43.81,0.19,2.59,0.419,9,3.41,40.63,0.17,0.05,0.37,0.07
LHERZOLITE,48.02,0.22,4.88,0.25,9.89406,2.97,32.35,0.14,0.07,0.66,0.07
LHERZOLITE,43.71,0.13,2.19,0.41,8.26587,1.8,41.24,0.13,0.2,0.3,0.075
LHERZOLITE,41.55,0.09,0.98,0.42,9.41469,1.31,43.81,0.14,0.07,0.18,0.08
LHERZOLITE,44.01,0.21,2.86,0.333,8.92,2.68,39.89,0.15,0.05,0.22,0.08
LHERZOLITE,44.19,0.19,3.04,0.384,8.48,3.38,40.24,0.14,0.07,0.26,0.08
LHERZOLITE,43.25,0.09,1.56,0.35,12.34,1.07,40.02,0.17,0.07,0.31,0.08
LHERZOLITE,44.24,0.23,2.94,0.411,9.08,4.19,38.79,0.16,0.03,0.39,0.08
LHERZOLITE,44.06,0.2,3.08,0.39,8.57,3.57,40.08,0.14,0.05,0.29,0.09
LHERZOLITE,42.97,0.23,3.25,0.396,10.19,3.53,38.72,0.17,0.05,0.29,0.09
LHERZOLITE,44.25,0.26,3.38,0.348,8.82,3.72,39.02,0.14,0.1,0.23,0.1
LHERZOLITE,41.6,0.35,2.62,0.1,8.37981,4.61,39.89,0.08,0.1,0.4,0.1
LHERZOLITE,49.23,0.06,3.31,0.86,5.96627,1.72,37.68,0.13,0.07,0.16,0.11
LHERZOLITE,44.08,0.013,1.25,0.35,8.34,2.01,42.53,0.132,0.03,0.25,0.11
LHERZOLITE,43.4,0.1,2,0.35,11.98598,1.93,39.08,0.14,0.07,0.69,0.11
LHERZOLITE,44.39,0.13,3.26,0.46,8.87598,0.94,40.79,0.13,0.04,0.35,0.15
LHERZOLITE,45.9,0.25,0.36,3.4,8.4,3.4,37,0.14,0.02,0.4,0.18
LHERZOLITE,42.93,0.45,4.08,0.14,13.03669,7.88,29.77,0.15,0.05,0.74,0.18
LHERZOLITE,42.13,0.05,0.82,0.35,14.38,1.57,39.09,0.21,0.07,0.2,0.23
LHERZOLITE,43.12,0.04,1.48,0.4,7.55718,2.68,41.73,0.15,0.18,0.27,0.39
