ROCK NAME,SIO2,AL2O3,MGO,CAO,MNO
DUNITE,36.81,0.92,39.1,0.02,0.156
DUNITE,34.31,1.42,34.54,0.05,0.111
DUNITE,37.03,1.25,37.52,0.06,0.149
DUNITE,35.79,1.28,38.2,0.04,0.159
DUNITE,33.9,3.11,33.9,1.89,0.22
DUNITE,41.21,0.67,46.46,1.46,0.17
DUNITE,40.78,0.7,45.78,1.31,0.19
DUNITE,39.09,0.61,44.44,1.07,0.17
DUNITE,40.7,1.6,45.79,1.07,0.17
DUNITE,41.07,0.74,41.37,0.1,0.25
DUNITE,39.26,2.8,30.09,7.33,0.17
DUNITE,40.74,0.33,48.3,0.51,0.15
DUNITE,40.84,0.32,48.43,0.48,0.15
DUNITE,41.53,0.44,47.98,0.28,0.16
DUNITE,40.78,0.29,49.14,0.3,0.15
DUNITE,41.05,0.3,49.05,0.33,0.15
DUNITE,40.78,1.05,47.49,0.61,0.132
DUNITE,41.45,0.11,49.59,0.07,0.1
DUNITE,39.58,1.16,47.37,0.64,0.17
DUNITE,38.71,1.2,45.58,2.18,0.18
DUNITE,46.8,17.04,15.9,14.71,0.09
DUNITE,46.35,19.65,12.97,15.85,0.07
DUNITE,45.54,15.69,20.36,12.67,0.09
DUNITE,44.34,17.89,19.65,11.5,0.1
DUNITE,45.46,14.87,23.34,10.8,0.1
DUNITE,44.28,16.95,18.74,12.9,0.08
DUNITE,48.49,17.84,13.12,18.33,0.06
DUNITE,44.75,21.36,12.72,15.36,0.06
DUNITE,44.16,12.4,27.44,9.8,0.11
DUNITE,45.25,18.5,18.01,11.03,0.12
DUNITE,46.59,14.88,17.12,13.25,0.11
DUNITE,43.82,21.02,12.82,15.24,0.08
DUNITE,45.45,21.67,11.2,17.26,0.06
DUNITE,40.52,0.1,49.0,0.2,0.21
DUNITE,39.67,0.28,48.71,0.21,0.11
DUNITE,39.99,1.05,47.8,0.64,0.1
DUNITE,42.47,1.17,45.88,0.64,0.1
DUNITE,43.4,0.86,45.49,0.8,0.12
DUNITE,38.7,1.5,41.53,1.21,0.19
DUNITE,37.37,0.41,44.03,0.38,0.18
DUNITE,41.35,0.21,47.9,0.27,0.13
DUNITE,39.33,0.85,44.9,0.18,0.19
DUNITE,41.55,1.78,39.1,3.26,0.18
DUNITE,39.92,1.11,46.06,0.07,0.16
DUNITE,39.44,1.19,45.22,0.08,0.18
DUNITE,40.31,0.93,45.07,0.64,0.17
DUNITE,36.6,5.13,28.3,2.41,0.25
DUNITE,35.5,0.69,41.6,0.35,0.1
DUNITE,35.5,0.54,41.6,0.25,0.09
DUNITE,35.1,0.5,42.8,0.7,0.1
DUNITE,38.8,0.77,38.8,0.5,0.1
DUNITE,38.4,0.66,43.1,0.88,0.17
DUNITE,37.9,0.2,45.4,0.11,0.13
DUNITE,36.5,0.32,43.2,0.32,0.16
DUNITE,37.4,0.27,43.0,0.08,0.14
DUNITE,38.8,0.1,46.4,0.12,0.14
DUNITE,37.9,0.14,43.9,0.13,0.16
DUNITE,37.8,0.54,44.1,0.11,0.15
DUNITE,37.5,0.34,38.7,1.29,0.2
DUNITE,39.1,0.76,43.9,0.03,0.17
DUNITE,39.7,0.11,47.8,0.51,0.2
DUNITE,39.3,0.11,48.0,0.35,0.17
DUNITE,39.1,0.6,45.7,0.5,0.12
DUNITE,25.2,6.8,29.3,0.1,0.1
DUNITE,33.8,0.2,41.6,0.2,0.09
DUNITE,32.9,2.9,35.8,0.04,0.09
DUNITE,31.0,2.5,39.8,0.16,0.08
DUNITE,31.5,4.2,37.1,0.12,0.13
DUNITE,36.9,0.25,44.7,0.21,0.1
DUNITE,37.8,1.9,47.1,0.27,0.08
DUNITE,34.2,0.77,41.9,0.09,0.08
DUNITE,35.5,0.97,44.0,0.34,0.13
DUNITE,35.7,1.2,43.2,0.28,0.17
DUNITE,9.8,9.9,19.2,0.63,0.11
DUNITE,35.7,1.5,42.6,0.45,0.14
DUNITE,33.4,3.4,38.1,0.63,0.13
DUNITE,14.5,7.2,24.3,0.07,0.09
DUNITE,37.0,0.73,47.2,0.15,0.11
DUNITE,35.2,1.6,42.4,0.04,0.13
DUNITE,37.6,0.81,45.0,0.14,0.16
DUNITE,33.0,1.5,38.0,1.2,0.12
DUNITE,48.8,2.34,21.5,17.7,0.11
DUNITE,38.1,0.38,45.4,0.5,0.15
DUNITE,38.1,0.34,45.1,0.43,0.15
DUNITE,38.3,0.39,46.1,0.42,0.15
DUNITE,44.7,1.22,34.8,9.41,0.13
DUNITE,39.5,0.91,41.4,2.9,0.16
DUNITE,48.1,2.85,23.6,16.7,0.13
DUNITE,33.8,0.38,40.6,0.03,0.12
DUNITE,39.7,0.75,45.8,0.74,0.18
DUNITE,34.9,0.44,40.9,0.3,0.18
DUNITE,29.7,2.91,35.9,0.16,0.15
DUNITE,34.3,0.94,40.2,0.99,0.14
DUNITE,31.9,1.08,39.3,0.12,0.13
DUNITE,40.2,0.73,40.2,4.42,0.14
DUNITE,36.1,0.63,40.4,1.69,0.15
DUNITE,42.6,20.4,8.48,16.6,0.1
DUNITE,50.2,2.64,20.4,20.1,0.09
DUNITE,48.1,3.65,20.3,18.2,0.13
DUNITE,37.8,0.59,43.7,0.42,0.21
DUNITE,51.1,3.51,16.9,23.0,0.1
DUNITE,48.0,13.8,7.97,8.88,0.17
DUNITE,33.8,13.4,5.97,25.0,0.4
DUNITE,48.5,15.7,3.38,8.7,0.31
DUNITE,40.0,11.6,6.66,23.0,0.22
DUNITE,5.33,1.22,0.73,51.4,0.15
DUNITE,51.4,16.1,2.36,9.04,0.09
DUNITE,37.6,0.59,41.5,1.23,0.18
DUNITE,35.2,0.49,40.7,0.13,0.1
DUNITE,35.3,0.48,40.6,0.12,0.13
DUNITE,35.6,1.21,41.9,0.13,0.12
DUNITE,37.6,0.25,41.5,0.14,0.11
DUNITE,35.6,0.97,41.4,0.09,0.13
DUNITE,36.3,0.72,44.4,0.21,0.13
DUNITE,31.9,2.74,39.3,0.12,0.15
DUNITE,34.1,2.94,40.9,0.32,0.16
DUNITE,35.1,1.18,40.6,0.24,0.14
DUNITE,40.5,1.3,44.4,1.4,0.16
DUNITE,38.8,0.81,43.8,0.7,0.16
DUNITE,37.1,0.5,42.6,0.67,0.11
DUNITE,36.6,0.76,42.9,0.26,0.11
DUNITE,48.9,4.1,17.3,19.2,0.11
DUNITE,37.4,0.42,43.7,0.22,0.11
DUNITE,38.1,0.34,40.8,0.45,0.16
DUNITE,37.1,0.46,43.4,0.29,0.11
DUNITE,37.8,0.76,37.6,1.6,0.22
DUNITE,37.8,0.34,44.4,0.35,0.11
DUNITE,37.7,0.42,42.7,0.26,0.19
DUNITE,37.8,0.42,43.9,0.26,0.11
DUNITE,38.1,0.42,44.0,0.29,0.11
DUNITE,39.4,1.7,34.0,3.6,0.22
DUNITE,37.8,0.86,42.1,0.83,0.11
DUNITE,43.7,15.6,9.1,11.8,0.16
DUNITE,51.4,1.7,20.2,20.2,0.08
DUNITE,37.4,2.6,36.8,0.12,0.11
DUNITE,35.1,0.5,39.6,0.93,0.11
DUNITE,37.1,0.64,42.9,0.19,0.23
DUNITE,37.7,0.74,43.0,0.09,0.31
DUNITE,37.1,0.64,42.8,0.12,0.26
DUNITE,36.6,0.46,43.4,0.09,0.23
DUNITE,37.1,0.54,42.9,0.32,0.26
DUNITE,36.6,0.64,42.4,0.12,0.23
DUNITE,39.0,0.64,36.8,2.6,0.26
DUNITE,37.7,0.46,41.6,0.06,0.18
DUNITE,37.7,0.5,41.2,0.51,0.23
DUNITE,36.1,0.74,40.5,0.32,0.26
DUNITE,37.4,0.54,42.8,0.38,0.26
DUNITE,36.6,0.54,42.3,0.06,0.23
DUNITE,36.7,0.5,43.2,0.34,0.21
DUNITE,35.9,0.59,38.3,0.31,0.21
DUNITE,38.1,0.59,43.1,0.43,0.21
DUNITE,37.0,0.5,41.3,0.71,0.21
DUNITE,37.4,0.59,43.5,0.34,0.18
DUNITE,40.0,4.8,32.5,1.3,0.18
DUNITE,39.9,0.2,47.3,0.17,0.13
DUNITE,39.9,0.2,48.5,0.18,0.12
DUNITE,38.7,0.11,46.3,0.25,0.11
DUNITE,39.3,0.25,44.8,1.5,0.15
DUNITE,39.6,0.07,47.4,0.3,0.14
DUNITE,37.9,0.29,44.4,0.21,0.09
DUNITE,39.3,0.5,45.1,0.45,0.09
DUNITE,39.4,0.2,44.7,0.21,0.06
DUNITE,41.4,0.58,43.5,1.0,0.07
DUNITE,32.2,3.5,40.1,0.34,0.15
DUNITE,33.1,1.9,41.4,0.13,0.12
DUNITE,38.6,1.9,45.1,0.26,0.04
DUNITE,43.4,0.82,43.4,0.73,0.07
DUNITE,52.3,2.0,20.9,15.8,0.13
DUNITE,40.1,6.6,43.2,1.2,0.17
DUNITE,44.1,1.2,46.4,0.69,0.15
DUNITE,34.1,0.58,38.4,1.4,0.14
DUNITE,41.6,0.95,34.8,0.61,0.14
DUNITE,43.1,1.4,42.9,1.2,0.1
DUNITE,39.2,0.6,41.1,0.7,0.11
DUNITE,39.6,0.93,41.9,1.5,0.22
DUNITE,35.2,1.2,40.8,0.6,0.18
DUNITE,35.7,0.93,42.5,0.8,0.18
DUNITE,36.1,1.1,42.6,0.7,0.18
DUNITE,35.8,0.97,43.3,0.15,0.14
DUNITE,35.0,0.87,41.7,0.15,0.14
DUNITE,35.1,1.2,41.5,0.2,0.19
DUNITE,37.7,1.1,43.5,0.15,0.16
DUNITE,37.6,1.2,46.2,0.88,0.17
DUNITE,35.8,0.89,42.6,1.0,0.16
DUNITE,35.7,0.8,42.7,0.2,0.16
DUNITE,35.2,0.86,42.7,0.15,0.15
DUNITE,37.4,1.2,45.5,1.9,0.17
DUNITE,35.2,1.1,42.4,0.63,0.18
DUNITE,37.1,1.4,45.0,0.32,0.13
DUNITE,36.6,0.06,44.8,0.24,0.11
DUNITE,36.7,3.2,43.5,0.24,0.16
DUNITE,36.9,0.01,45.6,0.27,0.11
DUNITE,33.1,0.65,38.2,0.3,0.16
DUNITE,39.9,2.3,44.2,0.75,0.14
DUNITE,43.2,1.1,46.4,0.52,0.12
DUNITE,40.8,1.0,46.9,0.58,0.15
DUNITE,40.3,0.7,46.0,0.31,0.16
DUNITE,39.5,1.2,40.1,0.06,0.18
DUNITE,40.2,0.37,46.0,0.14,0.147
DUNITE,48.5,14.5,4.7,23.0,0.13
DUNITE,40.6,0.69,49.2,0.19,0.06
DUNITE,41.6,1.9,42.2,2.8,0.08
DUNITE,39.2,0.2,45.1,0.16,0.151
DUNITE,41.1,0.32,49.1,0.2,0.11
DUNITE,35.2,1.83,44.2,0.19,0.354
DUNITE,43.1,0.64,45.4,0.28,0.14
DUNITE,35.2,0.2,41.7,0.2,0.133
DUNITE,37.4,0.46,40.1,0.81,0.138
DUNITE,38.5,0.23,43.4,0.01,0.117
DUNITE,38.11,0.96,45.02,0.26,0.122
DUNITE,40.4,1.96,33.2,6.0,0.2
DUNITE,42.7,2.2,29.0,5.24,0.19
DUNITE,42.5,0.8,36.0,0.19,0.17
DUNITE,35.6,1.07,28.1,3.88,0.31
DUNITE,36.3,0.26,34.7,0.2,0.26
DUNITE,41.7,0.49,33.1,6.42,0.2
DUNITE,45.7,19.1,9.9,15.7,0.13
DUNITE,38.4,0.28,46.8,0.12,0.14
DUNITE,37.6,0.2,41.8,0.22,0.16
DUNITE,38.9,0.41,46.9,0.12,0.14
DUNITE,35.6,0.31,43.2,0.23,0.17
DUNITE,38.5,0.35,43.2,1.75,0.19
DUNITE,35.9,0.25,44.3,0.2,0.14
DUNITE,36.4,0.17,41.5,1.03,0.18
DUNITE,38.3,0.39,44.6,0.24,0.26
DUNITE,43.6,0.53,44.6,0.89,0.14
DUNITE,40.1,0.46,43.3,0.87,0.21
DUNITE,40.3,0.21,46.9,0.25,0.17
DUNITE,40.0,0.34,47.1,0.32,0.16
DUNITE,39.8,0.15,44.2,0.3,0.22
DUNITE,39.2,0.81,35.6,3.9,0.19
DUNITE,39.3,0.2,46.7,0.27,0.14
DUNITE,38.5,0.22,46.7,0.15,0.14
DUNITE,37.2,0.4,42.1,0.09,0.18
DUNITE,36.4,1.5,40.3,0.1,0.19
DUNITE,38.1,2.2,34.4,3.2,0.24
DUNITE,35.7,0.56,41.3,0.6,0.22
DUNITE,39.1,0.56,43.2,1.3,0.27
DUNITE,37.2,1.0,45.0,0.5,0.22
DUNITE,35.0,0.63,39.4,0.76,0.2
DUNITE,35.0,1.2,37.6,0.52,0.32
DUNITE,37.2,0.19,40.5,1.2,0.23
DUNITE,26.6,3.0,32.4,0.12,0.24
DUNITE,38.0,0.16,39.1,2.3,0.26
DUNITE,37.4,0.32,41.7,0.58,0.26
DUNITE,36.3,0.27,42.6,0.33,0.22
DUNITE,36.7,0.18,42.5,0.35,0.24
DUNITE,36.3,0.3,43.6,0.13,0.08
DUNITE,36.3,0.3,43.8,0.06,0.11
DUNITE,39.2,0.5,45.6,0.19,0.11
DUNITE,41.3,2.5,43.4,1.7,0.11
DUNITE,45.7,1.2,43.0,1.2,0.09
DUNITE,38.7,0.49,45.0,0.35,0.1
DUNITE,37.3,1.9,34.4,0.58,0.14
DUNITE,42.6,1.1,45.3,0.87,0.09
DUNITE,42.0,0.61,43.1,0.16,0.1
DUNITE,42.7,0.6,43.4,0.15,0.12
DUNITE,40.3,1.0,46.0,0.27,0.16
DUNITE,37.9,0.88,39.5,0.04,0.29
DUNITE,37.9,0.34,46.31,0.56,0.14
DUNITE,25.5,6.24,28.84,0.2,0.12
DUNITE,34.24,0.13,41.85,0.28,0.1
DUNITE,32.4,2.29,35.39,0.1,0.1
DUNITE,30.36,2.25,38.08,0.2,0.13
DUNITE,34.67,3.8,36.74,0.19,0.14
DUNITE,37.52,0.18,45.64,0.24,0.13
DUNITE,37.16,1.14,47.4,0.3,0.12
DUNITE,33.42,0.5,41.72,0.09,0.13
DUNITE,30.9,2.06,38.23,0.07,0.11
DUNITE,35.84,0.58,44.18,0.32,0.12
DUNITE,36.62,1.16,42.76,0.26,0.17
DUNITE,8.16,9.64,18.04,0.8,0.11
DUNITE,32.98,3.18,36.94,0.75,0.14
DUNITE,8.74,8.36,21.62,0.22,0.14
DUNITE,37.62,0.34,46.56,0.22,0.12
DUNITE,34.92,1.02,41.38,0.14,0.15
DUNITE,37.54,0.38,45.37,0.2,0.17
DUNITE,33.55,1.0,38.57,1.27,0.16
DUNITE,38.01,0.83,37.96,0.0,0.06
DUNITE,38.01,0.83,37.96,0.0,0.06
DUNITE,38.01,0.83,37.96,0.0,0.06
DUNITE,36.92,3.65,34.25,0.64,0.1
DUNITE,37.0,0.92,39.42,1.8,0.08
DUNITE,38.2,1.03,38.0,0.8,0.1
DUNITE,38.26,1.1,38.64,0.5,0.21
DUNITE,38.04,1.21,38.07,0.98,0.14
DUNITE,36.74,0.39,40.31,0.14,0.1
DUNITE,39.47,0.28,41.21,0.15,0.11
DUNITE,38.14,0.63,41.19,0.6,0.12
DUNITE,38.3,0.38,41.71,0.44,0.1
DUNITE,35.25,0.07,41.35,0.1,0.09
DUNITE,35.54,0.07,42.14,0.21,0.08
DUNITE,40.8,0.6,43.43,0.54,0.1
DUNITE,39.21,0.19,44.36,0.25,0.12
DUNITE,39.47,0.4,40.95,0.15,0.1
DUNITE,34.5,0.46,38.94,0.37,0.11
DUNITE,34.44,0.12,43.4,0.2,0.09
DUNITE,38.43,0.65,39.78,0.5,0.11
DUNITE,33.62,0.07,42.04,0.03,0.1
DUNITE,43.7,0.63,44.64,2.06,0.129
DUNITE,34.44,3.67,39.81,1.53,0.14
DUNITE,36.98,0.53,43.24,0.64,0.12
DUNITE,32.71,0.31,41.42,0.06,0.14
DUNITE,33.33,0.25,42.98,0.11,0.11
DUNITE,32.7,0.23,42.54,0.07,0.12
DUNITE,33.01,0.2,40.31,0.14,0.13
HARZBURGITE,42.92,0.81,45.65,0.8,0.12
HARZBURGITE,43.65,0.5,46.21,0.41,0.131
HARZBURGITE,44.09,0.46,45.72,0.61,0.132
HARZBURGITE,43.54,0.56,46.54,0.44,0.13
HARZBURGITE,43.95,0.76,45.9,0.82,0.128
HARZBURGITE,43.95,1.07,44.51,0.8,0.132
HARZBURGITE,43.74,0.75,46.14,0.96,0.13
HARZBURGITE,39.53,3.11,33.23,0.17,0.07
HARZBURGITE,36.59,2.91,35.81,0.15,0.07
HARZBURGITE,36.57,3.78,29.23,3.51,0.17
HARZBURGITE,42.59,2.77,32.12,2.65,0.13
HARZBURGITE,42.96,0.73,46.19,0.54,0.13
HARZBURGITE,43.36,0.65,47.08,0.57,0.13
HARZBURGITE,40.0,2.84,37.52,0.26,0.09
HARZBURGITE,38.59,0.75,40.2,0.55,0.1
HARZBURGITE,40.78,0.88,42.04,0.99,0.13
HARZBURGITE,40.82,0.89,41.16,1.64,0.12
HARZBURGITE,43.16,0.84,33.67,0.08,0.12
HARZBURGITE,37.22,0.62,40.12,1.53,0.17
HARZBURGITE,41.49,0.26,43.38,1.18,0.15
HARZBURGITE,38.87,0.92,40.03,1.49,0.12
HARZBURGITE,41.07,1.03,41.43,1.58,0.18
HARZBURGITE,43.21,0.64,43.08,0.54,0.17
HARZBURGITE,40.46,1.48,38.94,0.08,0.1
HARZBURGITE,40.89,1.65,38.42,0.0,0.06
HARZBURGITE,40.07,1.73,37.72,0.0,0.06
HARZBURGITE,46.6,3.74,24.68,5.97,0.25
HARZBURGITE,42.64,2.78,36.84,2.87,0.13
HARZBURGITE,38.5,0.9,36.4,0.1,0.08
HARZBURGITE,38.0,0.9,37.85,0.11,0.11
HARZBURGITE,41.95,1.9,34.25,0.28,0.1
HARZBURGITE,55.23,0.54,35.67,0.75,0.12
HARZBURGITE,44.69,0.64,45.23,0.24,0.13
HARZBURGITE,44.31,0.37,45.81,0.37,0.12
HARZBURGITE,43.89,0.6,45.71,0.56,0.12
HARZBURGITE,38.55,0.42,38.01,0.35,0.11
HARZBURGITE,39.23,0.95,36.81,0.32,0.12
HARZBURGITE,41.89,0.85,37.63,0.48,0.13
HARZBURGITE,36.66,0.7,38.26,0.32,0.11
HARZBURGITE,38.02,0.86,35.47,0.05,0.11
HARZBURGITE,38.23,0.7,40.62,0.28,0.11
HARZBURGITE,37.45,0.57,38.24,0.0,0.11
HARZBURGITE,38.19,0.34,39.09,0.17,0.11
HARZBURGITE,39.11,0.33,40.34,0.57,0.11
HARZBURGITE,39.67,0.52,37.63,0.03,0.08
HARZBURGITE,44.63,0.43,40.82,0.04,0.11
HARZBURGITE,41.16,0.44,35.95,0.07,0.09
HARZBURGITE,39.93,0.27,35.4,0.02,0.1
HARZBURGITE,39.39,0.19,35.23,0.17,0.11
HARZBURGITE,39.24,0.17,33.71,0.04,0.11
HARZBURGITE,39.71,0.12,36.13,0.06,0.11
HARZBURGITE,40.92,0.53,38.13,0.12,0.12
HARZBURGITE,42.77,1.67,36.94,0.03,0.15
HARZBURGITE,37.81,1.59,37.29,0.12,0.14
HARZBURGITE,37.04,0.6,36.68,0.72,0.16
HARZBURGITE,37.45,0.62,34.58,1.87,0.14
HARZBURGITE,36.17,0.51,37.71,0.66,0.13
HARZBURGITE,36.76,0.58,36.5,0.79,0.15
HARZBURGITE,36.65,0.72,36.57,0.96,0.15
HARZBURGITE,43.87,0.53,46.65,0.52,0.132
HARZBURGITE,43.99,0.45,46.36,0.48,0.127
HARZBURGITE,43.98,0.78,45.46,0.7,0.127
HARZBURGITE,43.91,0.56,45.88,0.61,0.131
HARZBURGITE,41.13,0.4,48.23,0.82,0.14
HARZBURGITE,43.57,0.87,46.34,0.72,0.13
HARZBURGITE,43.93,1.03,44.86,1.22,0.13
HARZBURGITE,44.12,0.38,48.38,0.3,0.13
HARZBURGITE,42.5,0.38,48.38,0.59,0.13
HARZBURGITE,44.18,0.52,47.71,0.52,0.12
HARZBURGITE,43.99,0.82,46.2,0.59,0.12
HARZBURGITE,44.23,0.86,46.52,1.13,0.12
HARZBURGITE,40.79,0.59,48.09,1.05,0.14
HARZBURGITE,40.46,0.47,47.59,0.85,0.14
HARZBURGITE,36.78,0.88,50.43,0.38,0.14
HARZBURGITE,37.2,0.34,48.41,0.6,0.16
HARZBURGITE,39.78,0.61,46.64,0.85,0.15
HARZBURGITE,39.41,0.45,47.78,0.53,0.15
HARZBURGITE,39.97,0.41,47.21,0.63,0.15
HARZBURGITE,39.78,0.31,47.89,0.56,0.15
HARZBURGITE,38.84,0.21,49.44,0.35,0.13
HARZBURGITE,40.62,0.41,48.15,0.38,0.13
HARZBURGITE,42.61,0.64,45.94,0.33,0.12
HARZBURGITE,43.53,0.74,46.01,0.69,0.12
HARZBURGITE,43.81,0.55,46.53,0.6,0.12
HARZBURGITE,44.45,0.54,46.41,0.7,0.12
HARZBURGITE,43.92,0.56,47.17,0.53,0.12
HARZBURGITE,44.3,1.3,43.0,1.9,0.13
HARZBURGITE,42.0,1.06,39.4,1.95,0.13
HARZBURGITE,39.8,2.18,38.9,2.0,0.12
HARZBURGITE,41.7,2.28,39.0,2.86,0.14
HARZBURGITE,42.7,1.91,40.7,2.07,0.13
HARZBURGITE,41.8,2.22,39.7,2.21,0.13
HARZBURGITE,41.7,2.0,38.9,2.09,0.12
HARZBURGITE,41.9,1.84,40.3,1.76,0.14
HARZBURGITE,41.7,1.58,40.8,1.72,0.13
HARZBURGITE,40.7,0.86,41.7,1.37,0.12
HARZBURGITE,39.7,0.78,41.3,0.46,0.12
HARZBURGITE,41.9,1.0,41.0,1.21,0.12
HARZBURGITE,39.6,0.85,38.3,1.65,0.13
HARZBURGITE,40.9,0.93,40.6,1.49,0.13
HARZBURGITE,40.0,0.68,40.2,0.81,0.12
HARZBURGITE,40.5,0.72,41.4,0.95,0.12
HARZBURGITE,40.1,1.52,37.5,1.71,0.12
HARZBURGITE,40.6,1.65,38.6,1.88,0.12
HARZBURGITE,38.3,0.6,37.8,0.62,0.13
HARZBURGITE,40.5,0.71,39.3,0.78,0.13
HARZBURGITE,43.4,0.25,45.3,0.91,0.14
HARZBURGITE,43.6,0.52,44.0,0.95,0.13
HARZBURGITE,43.4,0.82,42.8,0.94,0.14
HARZBURGITE,41.6,0.29,44.9,0.56,0.11
HARZBURGITE,41.7,1.0,45.4,0.8,0.12
HARZBURGITE,45.2,0.7,41.5,0.8,0.09
HARZBURGITE,46.1,2.7,39.2,1.2,0.11
HARZBURGITE,43.8,0.78,45.1,0.38,0.116
HARZBURGITE,43.9,0.44,45.9,0.14,0.11
HARZBURGITE,42.7,0.72,43.2,1.04,0.12
HARZBURGITE,40.1,0.69,36.3,1.23,0.16
HARZBURGITE,41.41,0.58,39.09,0.79,0.11
HARZBURGITE,42.43,0.53,37.88,0.2,0.12
HARZBURGITE,39.91,1.22,37.2,0.42,0.12
HARZBURGITE,39.91,1.22,37.2,0.42,0.12
HARZBURGITE,39.91,1.22,37.2,0.42,0.12
HARZBURGITE,39.63,0.76,38.07,2.92,0.12
HARZBURGITE,38.47,1.22,38.43,0.42,0.08
HARZBURGITE,38.21,2.15,38.11,0.82,0.14
HARZBURGITE,39.86,1.36,38.13,0.77,0.14
HARZBURGITE,39.22,2.36,37.88,0.63,0.21
HARZBURGITE,39.2,2.53,37.81,0.58,0.18
HARZBURGITE,39.1,1.86,37.15,0.35,0.1
HARZBURGITE,37.84,1.43,36.96,1.5,0.13
HARZBURGITE,39.26,1.44,37.4,1.12,0.13
HARZBURGITE,39.74,1.86,37.35,0.58,0.12
HARZBURGITE,38.52,1.02,36.7,0.6,0.16
HARZBURGITE,41.9,1.18,37.85,1.4,0.18
HARZBURGITE,41.7,1.7,38.12,1.46,0.15
HARZBURGITE,39.82,2.62,36.1,2.6,0.17
HARZBURGITE,39.94,2.48,36.38,2.04,0.27
