1	36.41	0.43	0.57	46.72472
2	35.9	0.31	0.53	46.06058
3	38.09	0.13	0.28	49.93624
4	37.58	0.46	0.53	46.13876
5	36.46	0.22	0.4	47.11129
6	37.78	0.54	0.55	46.08886
7	35.35	0.07	0.5	45.63179
8	36.01	0.66	0.68	46.21836
9	39.21	1.66	0.8	44.81563
10	36.81	0.33	0.4	48.2425
11	35.45	0.36	0.5	48.03553
12	33.64	0.07	0.44	46.45896
13	35.12	0.08	0.45	46.36977
14	37.09	0.58	0.87	45.86492
15	36.49	0.5	0.65	45.433
16	35.53	0.35	0.44	45.67593
17	36.84	0.63	0.7	46.98513
18	36.37	0.29	0.56	45.74502
19	37.57	0.55	1.03	46.55028
20	38.62	0.79	0.93	47.01523
21	38.56	0.86	0.91	46.1422
22	40.2	0.35	0.65	49.30664
23	36.97	0.41	0.8	45.07846
24	39.61	0.8	0.98	48.24089
25	37.57	0.55	0.82	46.01351
26	38.42	0.79	0.91	45.73755
27	38.7	0.62	0.96	45.96462
28	32.18	0.32	0.58	47.67685
29	37.46	0.03	1.09	46.21614
30	34.61	0.08	1.05	46.402
31	40.93	0.74	1.46	43.33179
32	38.35	0.53	0.86	46.91331
33	38.92	0.58	1	44.33987
34	29.39	0.14	0.98	49.34696
35	38.61	0.23	0.59	48.55553
36	38.08	0.81	1.31	43.94765
37	43.28	0.53	1.2	54.66
38	41.39	0.62	0.81	55.37777
39	45.1	0.74	0.76	50.73
40	29.13	0.16	0.86	49.57575
41	46.61	1.03	1.67	50.32
42	46.59	0.99	1.755	49.7
43	43.55	0.68	0.98	53.81716
44	35.26	0.33	0.82	46.89742
45	38.17	0.07	1.1	42.64027
46	34.14	0.02	1.26	47.10534
47	38.19	0	1.29	44.24964
48	43.19	0.76	2.51	51.88022
49	43.81	0.57	1.165	54.41
50	43.39	0.54	0.766	54.24
51	43.63	0.55	0.768	54.37
52	45.25	0.9	1.234	51.8
53	43.8	0.83	0.794	53.99
54	43.75	0.71	0.891	53.92
55	43.51	0.55	1.07	54.27
56	43.35	0.58	0.952	54.39
57	44.24	0.87	1.024	52.92
58	44.12	0.89	0.975	53.5
59	43.65	0.53	0.91	54.34
60	43.97	0.73	1.003	53.75
61	44.21	1.28	1.098	52.8
