,0,1,2,3,4,5,6,7,8,9,10,11
78,ROCK NAME,TIO2,K2O,NA2O,0.69973673771142,,,,,,,
79,ROCK NAME,TIO2,K2O,P2O5,0.6989197530864184,,,,,,,
80,ROCK NAME,TIO2,NA2O,P2O5,0.6990139870798293,,,,,,,
81,ROCK NAME,AL2O3,CR2O3,FEOT,0.699603919116113,,,,,,,
82,ROCK NAME,AL2O3,CR2O3,CAO,0.7003627043787671,,,,,,,
83,ROCK NAME,AL2O3,CR2O3,MGO,0.7004024781802543,,,,,,,
84,ROCK NAME,AL2O3,CR2O3,MNO,0.7007318026925854,,,,,,,
85,ROCK NAME,AL2O3,CR2O3,K2O,0.7010424258486259,,,,,,,
86,ROCK NAME,AL2O3,CR2O3,NA2O,0.7018589470696737,,,,,,,
87,ROCK NAME,AL2O3,CR2O3,P2O5,0.7016424933091587,,,,,,,
88,ROCK NAME,AL2O3,FEOT,CAO,0.702700683974091,,,,,,,
89,ROCK NAME,AL2O3,FEOT,MGO,0.7033027329323613,,,,,,,
90,ROCK NAME,AL2O3,FEOT,MNO,0.7040063450319849,,,,,,,
91,ROCK NAME,AL2O3,FEOT,K2O,0.7042817622527756,,,,,,,
92,ROCK NAME,AL2O3,FEOT,NA2O,0.7049392927529117,,,,,,,
93,ROCK NAME,AL2O3,FEOT,P2O5,0.705623244630336,,,,,,,
94,ROCK NAME,AL2O3,CAO,MGO,0.7058429549657609,,,,,,,
95,ROCK NAME,AL2O3,CAO,MNO,0.705949271921493,,,,,,,
96,ROCK NAME,AL2O3,CAO,K2O,0.706454802674733,,,,,,,
97,ROCK NAME,AL2O3,CAO,NA2O,0.7069597069597062,,,,,,,
98,ROCK NAME,AL2O3,CAO,P2O5,0.7075695223843365,,,,,,,
99,ROCK NAME,AL2O3,MGO,MNO,0.7078537511870835,,,,,,,
100,ROCK NAME,AL2O3,MGO,K2O,0.7078220642577069,,,,,,,
101,ROCK NAME,AL2O3,MGO,NA2O,0.7084706627190279,,,,,,,
102,ROCK NAME,AL2O3,MGO,P2O5,0.7084336016374844,,,,,,,
103,ROCK NAME,AL2O3,MNO,K2O,0.7083972532690475,,,,,,,
104,ROCK NAME,AL2O3,MNO,NA2O,0.7085877085877078,,,,,,,
105,ROCK NAME,AL2O3,MNO,P2O5,0.709222526832589,,,,,,,
106,ROCK NAME,AL2O3,K2O,NA2O,0.7093307062154406,,,,,,,
107,ROCK NAME,AL2O3,K2O,P2O5,0.7096391263057922,,,,,,,
108,ROCK NAME,AL2O3,NA2O,P2O5,0.7095759603404855,,,,,,,
109,ROCK NAME,CR2O3,FEOT,CAO,0.7102823102823095,,,,,,,
