Rock Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,CaO
"PERIDOTITE",41.94,0.17,18.99,,6.85,0.33,5.37
"PERIDOTITE",41.53,,0.01,,7.89,0.13,0.04
"PERIDOTITE",40.99,0.01,0.01,,8.14,0.11,0.04
"PERIDOTITE",41.26,,0.01,,8.2,0.11,0.04
"PERIDOTITE",41.44,0.01,0.01,,8.25,0.09,0.04
"PERIDOTITE",40.95,,0.01,,8.31,0.13,0.04
"PERIDOTITE",41.49,0.01,0.01,,8.44,0.11,0.04
"PERIDOTITE",40.72,0.01,0.02,,8.22,0.11,0.04
"PERIDOTITE",58.26,0.04,0.48,,4.97,0.13,0.73
"PERIDOTITE",58.08,0.04,0.48,,5,0.14,0.73
"PERIDOTITE",58.18,0.04,0.48,,5.13,0.14,0.72
"PERIDOTITE",40.32,0.45,12.21,,6.97,0.36,7.99
"PERIDOTITE",40.43,0.46,12.36,,7.05,0.35,8.01
"PERIDOTITE",40.35,0.47,12.45,,7.03,0.37,8.01
"PERIDOTITE",40.39,0.46,12.51,,7.08,0.39,7.97
"PERIDOTITE",41.37,0.01,0.01,,8.2,0.1,0.03
"PERIDOTITE",41.38,0.01,0.01,,8.2,0.11,0.04
"PERIDOTITE",41.43,0.01,0.01,,8.24,0.11,0.03
"PERIDOTITE",41.55,,0.01,,8.24,0.13,0.04
"PERIDOTITE",41.29,,0.01,,8.26,0.09,0.04
"PERIDOTITE",41.27,0.01,0.01,,8.29,0.11,0.03
"PERIDOTITE",41.37,0.01,0.01,,8.3,0.09,0.04
"PERIDOTITE",41.47,0.01,0.01,,8.3,0.12,0.04
"PERIDOTITE",41.59,,0.01,,8.42,0.13,0.04
"PERIDOTITE",41.24,,0.01,,8.51,0.12,0.04
"PERIDOTITE",41.38,0.01,0.02,,8.46,0.1,0.04
"PERIDOTITE",58.39,0.03,0.58,,4.66,0.11,0.69
"PERIDOTITE",58.02,0.04,0.59,,4.76,0.11,0.69
"PERIDOTITE",58.1,0.04,0.59,,4.77,0.12,0.67
"PERIDOTITE",57.95,0.04,0.59,,4.8,0.1,0.69
"PERIDOTITE",58.43,0.04,0.59,,4.88,0.12,0.68
"PERIDOTITE",57.89,0.04,0.59,,4.93,0.12,0.67
"PERIDOTITE",57.73,0.04,0.6,,4.65,0.13,0.68
"PERIDOTITE",58.45,0.04,0.6,,4.89,0.12,0.69
"PERIDOTITE",54.77,0.07,1.78,,2.47,0.09,19.01
"PERIDOTITE",55.31,0.07,1.78,,2.47,0.09,19.12
"PERIDOTITE",55.15,0.07,1.78,,2.51,0.09,19.21
"PERIDOTITE",55.29,0.06,1.78,,2.52,0.09,19.15
"PERIDOTITE",55.23,0.06,1.79,,2.49,0.09,19.12
"PERIDOTITE",55.26,0.07,1.79,,2.51,0.09,19.24
"PERIDOTITE",55.21,0.07,1.79,,2.52,0.09,19.13
"PERIDOTITE",55.53,0.07,1.79,,2.52,0.1,19.01
"PERIDOTITE",55.34,0.07,1.79,,2.52,0.1,19.34
"PERIDOTITE",55.26,0.07,1.8,,2.47,0.09,19.2
"PERIDOTITE",55.11,0.07,1.8,,2.48,0.09,18.98
"PERIDOTITE",32.93,0.2,17.56,,6.42,0.28,4.55
"PERIDOTITE",42.25,0.21,20.28,,7.11,0.3,4.77
"PERIDOTITE",42.05,0.22,20.31,,7.04,0.34,4.8
"PERIDOTITE",42.32,0.22,20.36,,7.03,0.32,4.77
"PERIDOTITE",42.56,0.22,20.37,,7.05,0.33,4.76
"PERIDOTITE",42.25,0.21,20.49,,6.97,0.29,4.7
"PERIDOTITE",42.36,0.22,20.51,,6.97,0.32,4.73
"PERIDOTITE",42.43,0.22,20.56,,6.96,0.32,4.77
"PERIDOTITE",42.11,0.21,20.58,,6.98,0.29,4.73
"PERIDOTITE",42.19,0.21,20.61,,7.02,0.33,4.76
"PERIDOTITE",42.57,0.21,20.66,,7.02,0.31,4.71
"PERIDOTITE",42.56,0.21,20.67,,6.93,0.33,4.76
"PERIDOTITE",41.53,0.01,0.01,,8.29,0.11,0.04
"PERIDOTITE",41.2,0.01,0.01,,8.34,0.11,0.04
"PERIDOTITE",41.24,0.01,0.01,,8.37,0.09,0.04
"PERIDOTITE",41.82,0.02,0.01,,8.4,0.11,0.04
"PERIDOTITE",40.54,0.01,0.01,,8.49,0.1,0.03
"PERIDOTITE",41.54,0.01,0.01,,8.5,0.13,0.04
"PERIDOTITE",40.55,0.01,0.01,,8.52,0.11,0.04
"PERIDOTITE",40.91,0.01,0.01,,8.58,0.09,0.04
"PERIDOTITE",41.27,0.01,0.01,,8.79,0.09,0.04
"PERIDOTITE",41.63,0.02,0.02,,8.66,0.11,0.04
"PERIDOTITE",58.59,0.04,0.57,,5.13,0.12,0.7
"PERIDOTITE",58,0.04,0.57,,5.18,0.13,0.7
"PERIDOTITE",57.98,0.04,0.58,,4.96,0.1,0.7
"PERIDOTITE",58.37,0.05,0.58,,4.97,0.13,0.7
"PERIDOTITE",58.83,0.04,0.58,,4.99,0.13,0.69
"PERIDOTITE",58.61,0.05,0.58,,5.2,0.13,0.69
"PERIDOTITE",58.32,0.04,0.59,,5.23,0.13,0.7
"PERIDOTITE",57.64,0.06,0.6,,4.78,0.13,0.7
"PERIDOTITE",58.25,0.05,0.61,,4.94,0.11,0.69
"PERIDOTITE",55.22,0.1,1.76,,2.66,0.1,18.95
"PERIDOTITE",55.24,0.1,1.76,,2.68,0.1,18.86
"PERIDOTITE",55.26,0.09,1.77,,2.57,0.1,18.68
"PERIDOTITE",55.12,0.12,1.77,,2.75,0.11,18.88
"PERIDOTITE",54.98,0.11,1.78,,2.72,0.11,18.91
"PERIDOTITE",55.24,0.12,1.78,,2.77,0.11,18.67
"PERIDOTITE",55.64,0.12,1.79,,2.74,0.09,18.72
"PERIDOTITE",55.69,0.11,1.83,,2.77,0.11,18.81
"PERIDOTITE",42.38,0.29,19.21,,7.28,0.33,5.02
"PERIDOTITE",41.67,0.29,19.31,,7.2,0.32,5.1
"PERIDOTITE",42.08,0.28,19.42,,7.19,0.34,5.03
"PERIDOTITE",42.05,0.28,19.48,,7.26,0.31,5.04
"PERIDOTITE",41.89,0.28,19.52,,7.23,0.32,5.02
"PERIDOTITE",42.16,0.28,19.59,,7.32,0.31,4.98
"PERIDOTITE",41.04,0.27,19.62,,7.26,0.34,5.01
"PERIDOTITE",42.2,0.27,19.7,,7.2,0.35,4.95
"PERIDOTITE",42.61,0.27,20.02,,7.22,0.32,4.89
"PERIDOTITE",41.88,,,,7.18,0.09,0.05
"PERIDOTITE",41.79,,0.01,,6.93,0.1,0.04
"PERIDOTITE",41.73,0.01,0.01,,7.02,0.11,0.05
"PERIDOTITE",41.28,,0.01,,7.07,0.09,0.05
"PERIDOTITE",41.73,0.01,0.01,,7.13,0.1,0.04
"PERIDOTITE",41.84,,0.01,,7.14,0.11,0.04
"PERIDOTITE",41.9,,0.01,,7.17,0.1,0.04
"PERIDOTITE",41.68,,0.01,,7.2,0.1,0.06
"PERIDOTITE",41.72,,0.01,,7.23,0.1,0.04
"PERIDOTITE",41.6,0.01,0.01,,7.27,0.11,0.04
"PERIDOTITE",58.54,0.04,0.49,,4.15,0.11,0.65
"PERIDOTITE",59.03,0.03,0.49,,4.16,0.11,0.67
"PERIDOTITE",58.8,0.03,0.49,,4.23,0.09,0.66
"PERIDOTITE",58.38,0.03,0.49,,4.23,0.11,0.65
"PERIDOTITE",59.04,0.04,0.49,,4.38,0.09,0.66
"PERIDOTITE",58.93,0.03,0.5,,4.03,0.12,0.66
"PERIDOTITE",58.53,0.03,0.5,,4.35,0.1,0.66
"PERIDOTITE",58.93,0.03,0.5,,4.45,0.13,0.67
"PERIDOTITE",58.47,0.03,0.51,,4.14,0.11,0.66
"PERIDOTITE",58.7,0.03,0.51,,4.23,0.11,0.66
"PERIDOTITE",41.32,0.26,16.18,,6.13,0.33,6.28
"PERIDOTITE",41.19,0.27,16.19,,6.13,0.29,6.33
"PERIDOTITE",41.5,0.26,16.25,,6.21,0.32,6.3
"PERIDOTITE",41.76,0.25,16.32,,6.2,0.31,6.29
"PERIDOTITE",41.62,0.25,16.34,,6.17,0.32,6.27
"PERIDOTITE",41.64,0.25,16.35,,6.23,0.3,6.34
"PERIDOTITE",41.7,0.25,16.41,,6.2,0.33,6.28
"PERIDOTITE",41.69,0.02,,,7.23,0.12,0.02
"PERIDOTITE",41.63,0.02,0.01,,7.22,0.1,0.04
"PERIDOTITE",41.48,0.02,0.01,,7.23,0.11,0.03
"PERIDOTITE",41.67,0.01,0.01,,7.24,0.11,0.03
"PERIDOTITE",41.5,0.02,0.01,,7.3,0.09,0.02
"PERIDOTITE",41.69,0.02,0.01,,7.3,0.11,0.03
"PERIDOTITE",41.7,,0.01,,7.36,0.08,0.03
"PERIDOTITE",41.78,0.03,0.01,,7.36,0.09,0.03
"PERIDOTITE",41.53,0.02,0.01,,7.44,0.1,0.04
"PERIDOTITE",41.73,0.02,0.01,,7.58,0.13,0.03
"PERIDOTITE",58.38,0.02,0.55,,4.3,0.12,0.38
"PERIDOTITE",58.43,0.03,0.56,,4.25,0.08,0.37
"PERIDOTITE",58.75,0.02,0.56,,4.3,0.12,0.36
"PERIDOTITE",58.18,0.04,0.56,,4.3,0.12,0.4
"PERIDOTITE",57.78,0.02,0.56,,4.31,0.12,0.37
"PERIDOTITE",58.03,0.04,0.56,,4.32,0.11,0.36
"PERIDOTITE",58.07,0.05,0.56,,4.37,0.12,0.41
"PERIDOTITE",58.21,0.06,0.57,,4.18,0.12,0.39
"PERIDOTITE",58.44,0.03,0.57,,4.27,0.12,0.37
"PERIDOTITE",58.1,0.05,0.58,,4.49,0.12,0.37
"PERIDOTITE",41.13,0.09,14.5,,6.44,0.34,4.22
"PERIDOTITE",41.07,0.1,14.59,,6.52,0.36,4.22
"PERIDOTITE",41.45,0.09,14.66,,6.53,0.35,4.21
"PERIDOTITE",41.4,0.08,14.69,,6.57,0.35,4.14
"PERIDOTITE",41.17,0.09,14.75,,6.53,0.35,4.22
"PERIDOTITE",41.36,0.09,14.77,,6.53,0.34,4.17
"PERIDOTITE",41.12,0.1,14.81,,6.59,0.36,4.25
"PERIDOTITE",40.99,0.1,14.84,,6.52,0.35,4.2
"PERIDOTITE",41,0.1,14.9,,6.56,0.33,4.2
"PERIDOTITE",41.47,0.1,14.92,,6.53,0.36,4.22
"PERIDOTITE",40.91,,,,10.01,,0.03
"PERIDOTITE",54.91,0.32,3.92,,6.64,,0.85
"PERIDOTITE",0.06,0.39,45.1,,13.64,,
"PERIDOTITE",52.21,0.61,5.86,,3.11,,19.28
"PERIDOTITE",41.01,0.01,0.04,,10.13,,0.1
"PERIDOTITE",42.49,0.21,22.92,,7.44,,4.79
"PERIDOTITE",55.07,0.17,4.33,,6.45,,0.94
"PERIDOTITE",0.11,0.36,45.98,,13.36,,0.02
"PERIDOTITE",52.36,0.54,6.56,,3.51,,17.25
"PERIDOTITE",40.97,0.01,0.06,,9.82,,0.09
"PERIDOTITE",43.06,0.21,22.67,,7.36,,4.79
"PERIDOTITE",54.73,0.17,5.27,,6.47,,1.23
"PERIDOTITE",52.09,0.59,6.75,,3.63,,16.88
"PERIDOTITE",40.5,,0.01,,9.84,,0.05
"PERIDOTITE",41.71,0.16,23.33,,7.17,,4.92
"PERIDOTITE",54.94,0.12,4.01,,6.1,,0.96
"PERIDOTITE",0.02,0.35,43.97,,13.26,,
"PERIDOTITE",51.88,0.42,5.59,,3,,18.88
"PYROXENITE",39.99,0.05,0.03,,12.77,,0.05
"PYROXENITE",41.76,4.38,13.76,,5.88,,8.41
"PYROXENITE",35.66,6.57,16.21,,6.53,,0.04
"PYROXENITE",54,0.46,4.69,,8.59,,0.81
"PERIDOTITE",40.99,,0.05,,10.26,,0.06
"PERIDOTITE",42.87,3.41,13.24,,4.45,,9.78
"PERIDOTITE",38.08,4.6,15.11,,4.57,,0.3
"PERIDOTITE",54.82,0.18,3.72,,6.16,,0.73
"PERIDOTITE",0.07,1.09,37.64,,16.1,,0.04
"PERIDOTITE",52.07,0.95,6.58,,3.47,,17.25
"PERIDOTITE",40.94,0.01,0.02,,9.43,,0.07
"PERIDOTITE",38.46,4.62,15.88,,4.31,,0.03
"PERIDOTITE",42.4,0.18,22.57,,7.17,,4.95
"PERIDOTITE",55.37,0.17,4.02,,6.02,,0.83
"PERIDOTITE",0.08,0.47,43.74,,13.71,,0.02
"PERIDOTITE",52.55,0.57,5.7,,3.02,,19.05
"PERIDOTITE",41.25,,,,,0.17,0.17
"PERIDOTITE",41.11,0.27,14.81,,,0.08,0.05
"PERIDOTITE",0.07,0.59,15.51,,,0.32,
"PERIDOTITE",0.05,0.23,34.61,,,0.19,
"PERIDOTITE",51.68,0.65,4.43,,,0.04,24.09
"PERIDOTITE",0.02,,48.61,,,0.17,
"PERIDOTITE",41.23,,,,,0.19,0.07
"PERIDOTITE",58.69,0.01,0.49,,,0.08,0.09
"PERIDOTITE",40.19,0.08,14.94,,,,0.02
"PERIDOTITE",0.03,0.14,34.38,,,0.33,
"PERIDOTITE",0.05,0.44,8.75,,,0.35,
"PERIDOTITE",41.16,,,,,0.1,0.27
"PERIDOTITE",57.49,,1.67,,,0.17,0.07
"PERIDOTITE",0.07,0.1,36.99,,,0.16,
"PERIDOTITE",40.89,,,,,0.18,0.06
"PERIDOTITE",46.13,0.51,13.02,,,0.1,11.18
"PERIDOTITE",39.69,0.26,17.68,,,0.04,0.01
"PERIDOTITE",0.03,0.42,27.01,,,0.26,
"PERIDOTITE",0.01,0.24,36.93,,,0.26,
"PERIDOTITE",54.86,0.05,4.11,,,0.17,0.21
"PERIDOTITE",,0.01,63.53,,,0.2,
"PERIDOTITE",,,64.13,,,0.15,
"PERIDOTITE",40.99,,,,,0.15,0.31
"PERIDOTITE",45.32,0.21,13.56,,,0.13325,11.6
"PERIDOTITE",40.19,0.14,16.93,,,0.09,0.02
"PERIDOTITE",0.2,0.17,31.16,,,0.18,
"PERIDOTITE",0.05,0.09,39.73,,,0.15,
"PERIDOTITE",54.73,0.07,4.51,,,0.16,0.19
"PERIDOTITE",41.55,,,,,0.09,0.04
"PERIDOTITE",54.61,0.03,1.8,,,0.06,23.52
"PERIDOTITE",44.5,0.21,12.82,,,0.03,12
"PERIDOTITE",57.41,0.01,2.19,,,0.17,0.23
"PERIDOTITE",0.06,0.08,35.02,,,0.22,
"PERIDOTITE",41.39,,,,,0.09,0.03
"PERIDOTITE",57.91,0.36,0.41,,,0.17,1.14
"PERIDOTITE",54.48,,1.87,,,0.05,23.21
"PERIDOTITE",0.05,0.05,31.3,,,0.16,
"PERIDOTITE",41.54,,,,,0.13,0.02
"PERIDOTITE",54.21,0.01,2.29,,,0.09,22.96
"PERIDOTITE",56.61,,2.3,,,0.12,0.51
"PERIDOTITE",0.05,0.04,33.68,,,0.13,
"PERIDOTITE",41.4,,,,,0.16,0.02
"PERIDOTITE",43.19,1.08,13.42,,,0.05,11.49
"PERIDOTITE",56.77,0.06,2.3,,,0.07,0.22
"PERIDOTITE",0.02,0.19,39.64,,,0.16,
"PERIDOTITE",52.43,0.59,5.31,,,0.08,21.32
"PERIDOTITE",41.44,,,,,0.13,
"PERIDOTITE",56.1,,3.2,,,0.08,0.55
"PERIDOTITE",53.72,0.01,3.47,,,0.11,21.96
"PERIDOTITE",0.07,,36.19,,,0.06,
"PERIDOTITE",41.1,,,,,0.05,0.03
"PERIDOTITE",57.26,0.18,1.36,,,0.145,0.825
"PERIDOTITE",0.07,0.13,39.9,,,0.11,
"PERIDOTITE",53.52,0.16,4.22,,,0.04,21.2
"ECLOGITE",42.32,,23.48,,9.28,,5.57
"ECLOGITE",55.03,0.15,5.71,,3.09,,17.01
"ECLOGITE",42,,22.82,,8.31,,10.35
"ECLOGITE",54.62,,5.61,,3.4,,18.35
"ECLOGITE",,53.74,0.76,,31.01,0.24,
"ECLOGITE",55.1,,2.05,,3.74,,20.3
"ECLOGITE",41.23,0.42,21.98,,14.35,,4.62
"ECLOGITE",55.04,,4.82,,5.97,,15.42
"PERIDOTITE",40.6,0.03,0.02,,6.91,0.09,0.02
"PERIDOTITE",57.7,0.14,0.84,,4.16,0.1,0.53
"PERIDOTITE",38.5,2.1,13.5,,3.58,0.09,
"PERIDOTITE",41.7,0.3,18,,6.24,0.35,3.87
"PERIDOTITE",41.6,0.4,18.09,,6.09,0.34,4.91
"PERIDOTITE",42.72,0.58,18.47,,5.58,0.23,2.82
"PERIDOTITE",40.7,0.03,0.02,,6.16,0.08,0.03
"PERIDOTITE",57.4,0.11,0.85,,3.61,0.07,0.46
"PERIDOTITE",38,2.43,13.5,,3.49,0.02,
"PERIDOTITE",41.7,0.2,18.13,,5.5,0.17,2.6
"PERIDOTITE",41.2,0.41,18.54,,5.37,0.15,4.29
"PERIDOTITE",40.6,0.01,,,6.34,0.09,0.02
"PERIDOTITE",57.6,0.1,0.85,,3.81,0.11,0.52
"PERIDOTITE",37.8,3.01,13.8,,4.11,0.04,
"PERIDOTITE",41.5,0.51,18,,5.37,0.17,2.85
"PERIDOTITE",42.4,0.09,18.59,,5.96,0.27,1.82
"PERIDOTITE",42.9,0.36,18.86,,5.74,0.3,4.72
"PERIDOTITE",40.8,0.01,0.01,,5.95,0.08,0.03
"PERIDOTITE",57.6,0.05,0.79,,3.53,0.1,0.41
"PERIDOTITE",38.8,2.82,13.4,,3.69,0.06,
"PERIDOTITE",41.2,0.03,17.51,,5.7,0.14,3.45
"PERIDOTITE",40.8,0.18,17.72,,5.54,0.31,4.63
"PERIDOTITE",41.7,0.16,18.21,,5.44,0.22,3.73
"PERIDOTITE",40.8,0.03,0.01,,5.7,0.06,0.02
"PERIDOTITE",57.6,0.06,0.87,,3.44,0.11,0.36
"PERIDOTITE",42.2,0.01,18.94,,5.27,0.35,2.62
"PERIDOTITE",42.3,0.42,19.24,,5.16,0.31,4.8
"PERIDOTITE",40.8,0.03,0.02,,5.77,0.07,0.02
"PERIDOTITE",58.2,0.03,0.88,,3.46,0.08,0.28
"PERIDOTITE",42.8,0.39,19.21,,5.44,0.25,4.76
"PERIDOTITE",43.4,0.01,19.53,,5.32,0.29,2.21
"PERIDOTITE",57.26,0.04,0.76,,7.16,0.12,0.69
"PERIDOTITE",53.82,,1.01,,2.69,0.07,24.13
"PERIDOTITE",0.04,0.06,14.49,,23.18,0.21,
"PERIDOTITE",0.04,0.01,14.51,,19.88,0.22,
"PERIDOTITE",40.65,0.01,0.02,,8.97,,0.04
"PERIDOTITE",53.82,0.03,0.7,,2.47,0.07,23.22
"PERIDOTITE",56.95,0.02,0.99,,6.98,0.17,0.54
"PERIDOTITE",55.88,,1.12,,6.36,0.12,0.74
"PERIDOTITE",56.13,,1.14,,6.11,0.13,0.58
"PERIDOTITE",40.91,,,,9.69,0.15,0.018
"PERIDOTITE",41.35,0.01,0.01,,9.27,0.17,0.018
"PERIDOTITE",54.97,0.04,0.92,,2.13,0.08,22.93
"PERIDOTITE",57.66,0.01,0.95,,6.47,0.21,0.58
"PERIDOTITE",54.57,0.04,1.02,,2.28,0.11,23.4
"PERIDOTITE",57.8,0.01,1.21,,6.04,0.18,0.67
"PYROXENITE",57.72,,0.79,,4.31,0.02,0.7
"PYROXENITE",56.96,0.03,1.19,,6.54,0.09,0.62
"PYROXENITE",56.61,0.02,1.48,,6.63,0.07,0.49
"PYROXENITE",53.82,0.03,1.72,,2.2,0.06,23.41
"PYROXENITE",53.21,0.03,1.94,,2.48,0.06,23.07
"PYROXENITE",0.03,0.07,17.36,,17.89,0.22,0.01
"PYROXENITE",0.02,0.01,18.7,,18.78,0.19,
"PYROXENITE",56.65,0.01,2.53,,5.93,0.09,0.24
"PYROXENITE",48.91,0.1,9.43,,3.47,0.03,12.36
"PYROXENITE",48.14,0.12,9.77,,3.26,0.02,12.37
"PYROXENITE",40.66,,,,8.36,0.04,0.03
"PYROXENITE",40.97,,0.01,,8.46,0.1,0.03
"PYROXENITE",40.82,0.02,0.02,,8.92,0.1,0.023
"PYROXENITE",54.89,,0.92,,2.07,0.11,23.35
"PYROXENITE",54.58,0.06,1.2,,2.39,0.12,23.2
"PYROXENITE",57.15,0.01,1.21,,6.28,0.15,0.5
"PYROXENITE",57.27,0.02,1.28,,6.04,0.14,0.62
"PERIDOTITE",41.24,0,0.02,,9.86,0.14,0.05
"PERIDOTITE",56.3,0.09,3.58,,6.29,0.15,0.64
"PERIDOTITE",52.17,0.45,6.52,,2.61,0.08,20.4
"PERIDOTITE",,0.12,6.52,,2.61,0.13,0
"PERIDOTITE",40.94,0.02,0.03,,9.73,0.12,0.1
"PERIDOTITE",40.67,0.01,0.02,,11.84,0.16,0.08
"PERIDOTITE",54.6,0.12,4.36,,7.78,0.16,0.9
"PERIDOTITE",51.23,0.68,6.42,,4.16,0.11,19.35
"PERIDOTITE",0.01,0.38,6.42,,4.16,0.16,0
"PERIDOTITE",41.27,0.01,0.01,,9.05,0.13,0.06
"PERIDOTITE",55.8,0.08,4.08,,5.97,0.14,0.78
"PERIDOTITE",52.24,0.39,5.99,,3.04,0.08,20.32
"PERIDOTITE",,0.12,5.99,,3.04,0.13,0
"PERIDOTITE",40.74,0.01,0.02,,10.42,0.15,0.07
"PERIDOTITE",55.4,0.13,3.92,,6.73,0.14,0.74
"PERIDOTITE",52.04,0.56,6.16,,3.46,0.1,19.53
"PERIDOTITE",0,0.24,6.16,,3.46,0.14,
"PERIDOTITE",40.8,,0.01,,9.02,0.13,0.05
"PERIDOTITE",56.4,0.1,2.97,,5.85,0.13,0.57
"PERIDOTITE",51.76,0.48,5.51,,2.38,0.07,20.15
"PERIDOTITE",,0.19,5.51,,2.38,0.16,0
"PERIDOTITE",41.34,0,0.02,,8.93,0.12,0.06
"PERIDOTITE",56.5,0.09,3.25,,5.82,0.13,0.58
"PERIDOTITE",52.41,0.4,5.38,,2.93,0.09,20.12
"PERIDOTITE",0.02,0.21,5.38,,2.93,0.16,
"PERIDOTITE",41.2,0.01,0.02,,11.31,0.16,0.07
"PERIDOTITE",55.2,0.15,4.31,,7.38,0.16,0.8
"PERIDOTITE",51.49,0.72,6.8,,3.71,0.1,19.74
"PERIDOTITE",,0.2,6.8,,3.71,0.14,
"PERIDOTITE",41.18,0.01,0.02,,9.59,0.13,0.06
"PERIDOTITE",55.9,0.1,3.89,,6.14,0.13,0.58
"PERIDOTITE",52.09,0.6,6.83,,2.63,0.07,19.94
"PERIDOTITE",0.01,0.18,6.83,,2.63,0.11,0.01
"PERIDOTITE",41.53,0,0.02,,9.54,0.13,0.06
"PERIDOTITE",56,0.1,3.93,,6.19,0.14,0.67
"PERIDOTITE",52.07,0.62,6.57,,3.03,0.09,20.06
"PERIDOTITE",,0.12,6.57,,3.03,0.12,0.01
"PERIDOTITE",41.09,,,,9.2,0.19,0.13
"PERIDOTITE",55.19,0.07,4.03,,5.98,0.03,0.73
"PERIDOTITE",41.1,0,0.03,,11.01,0.14,0.07
"PERIDOTITE",55,0.14,4.77,,7.02,0.15,0.98
"PERIDOTITE",51.72,0.55,6.71,,3.59,0.1,19.55
"PERIDOTITE",0.01,0.2,6.71,,3.59,0.14,
"PERIDOTITE",41.43,0,0,,9.35,0.13,0.04
"PERIDOTITE",56,0.11,3.82,,6.06,0.14,0.66
"PERIDOTITE",52.36,0.58,6.76,,2.45,0.08,20.39
"PERIDOTITE",,0.08,6.76,,2.45,0.11,
"PERIDOTITE",41.49,0.02,0.04,,9.79,0.16,0.05
"PERIDOTITE",52.06,0.6,6.44,,2.8,0.09,20.36
"PERIDOTITE",41.44,0.01,0.02,,9.09,0.13,0.05
"PERIDOTITE",55.9,0.09,3.75,,5.99,0.13,0.58
"PERIDOTITE",52.19,0.4,5.72,,2.88,0.08,20.74
"PERIDOTITE",,0.09,5.72,,2.88,0.12,0
"PERIDOTITE",52.18,0.44,5.63,,2.82,0.21,20.63
"PERIDOTITE",40.93,0.01,0.02,,10.16,0.14,0.07
"PERIDOTITE",54.3,0.13,4.74,,6.57,0.14,0.85
"PERIDOTITE",51.55,0.5,6.56,,3.34,0.1,19.53
"PERIDOTITE",,0.16,6.56,,3.34,0.14,
"PERIDOTITE",40.73,0.01,0.02,,9.86,0.27,0.08
"PERIDOTITE",40.58,0,0,,10.35,0.15,0.04
"PERIDOTITE",55.5,0.1,3.86,,6.61,0.15,0.51
"PERIDOTITE",51.52,0.63,6.68,,2.79,0.08,20.57
"PERIDOTITE",,0.09,6.68,,2.79,0.12,0
"PERIDOTITE",40.99,0,0.01,,9.09,0.12,0.05
"PERIDOTITE",56.4,0.06,2.76,,5.89,0.14,0.58
"PERIDOTITE",52.36,0.28,5.17,,2.68,0.07,20.77
"PERIDOTITE",,0.11,5.17,,2.68,0.18,0
"PERIDOTITE",41.24,0.01,0.01,,9.24,0.13,0.04
"PERIDOTITE",56,0.08,3.51,,5.96,0.13,0.48
"PERIDOTITE",52.47,0.4,5.96,,2.57,0.07,20.21
"PERIDOTITE",,0.09,5.96,,2.57,0.14,0
"PERIDOTITE",40.67,,0.01,,10.01,0.14,0.04
"PERIDOTITE",55.8,0.09,3.59,,6.44,0.14,0.53
"PERIDOTITE",51.76,0.52,6.71,,2.84,0.08,20.67
"PERIDOTITE",0,0.08,6.71,,2.84,0.13,0
"PERIDOTITE",40.87,0.02,0.04,,9.72,0.1,0.08
"PERIDOTITE",51.81,0.51,6,,2.85,0.08,20.51
"PERIDOTITE",41,0,0.02,,9.83,0.14,0.06
"PERIDOTITE",55.2,0.1,4.29,,6.47,0.15,0.78
"PERIDOTITE",51.37,0.55,6.61,,3.27,0.1,20.13
"PERIDOTITE",,0.13,6.61,,3.27,0.12,
"PERIDOTITE",40.75,0.01,0.01,,9.43,0.14,0.04
"PERIDOTITE",57.05,0.06,1.18,,5.73,0.18,0.93
"PERIDOTITE",54.82,0.07,2.06,,2.74,0.1,19.24
"PERIDOTITE",0.1,0.68,9.26,,20.42,0.33,0.01
"PERIDOTITE",41.11,0.01,0.01,,7.7,0.11,0.03
"PERIDOTITE",57.58,0.05,1.78,,4.7,0.1,0.72
"PERIDOTITE",57.52,0.05,1.82,,4.54,0.12,0.69
"PERIDOTITE",57.61,0.04,1.85,,4.74,0.12,0.68
"PERIDOTITE",0.11,0.58,15.73,,16.51,0.28,0.02
"PERIDOTITE",0.1,0.57,15.91,,16.66,0.28,
"PERIDOTITE",0.12,0.54,15.93,,17.02,0.3,0.04
"PERIDOTITE",41.68,0.13,20.13,,6.58,0.32,5.36
"PERIDOTITE",54.56,0.12,3.63,,2.68,0.09,17.13
"PERIDOTITE",54.56,0.12,3.63,,2.68,0.09,17.13
"PERIDOTITE",55.07,0.13,3.93,,2.55,0.07,16.71
"PERIDOTITE",54.63,0.15,4.22,,2.61,0.09,16.51
"PERIDOTITE",54.79,0.14,4.24,,2.57,0.11,16.2
"PERIDOTITE",40.94,0.01,0.02,,7.52,0.11,0.04
"PERIDOTITE",57.31,0.05,1.9,,4.66,0.11,0.8
"PERIDOTITE",0.1,0.4,14.53,,16.34,0.27,
"PERIDOTITE",41.84,0.14,19.51,,6.05,0.27,4.21
"PERIDOTITE",54.78,0.11,5.72,,2.96,0.1,12.5
"PERIDOTITE",41.3,,0.01,,6.29,0.12,0.04
"PERIDOTITE",0.11,0.24,18.27,,13.17,0.23,
"PERIDOTITE",0.1,0.23,18.53,,13.4,0.27,0.01
"PERIDOTITE",57.63,0.04,2.11,,3.88,0.1,0.25
"PERIDOTITE",42.5,0.05,21.59,,5.48,0.29,1.97
"PERIDOTITE",41.61,0.01,0.01,,7.09,0.11,0.06
"PERIDOTITE",57.59,0.04,1.83,,4.5,0.12,0.85
"PERIDOTITE",49.37,0.05,10.8,,3.86,0.34,15.73
