Rock Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,CaO
"PERIDOTITE",42.67,0.27,18.91,,,0.21,5.18
"PERIDOTITE",40.86,,,,,0.11,0.05
"PERIDOTITE",57.67,0.12,0.73,,,0.12,1
"PERIDOTITE",55.01,0.21,1.79,,,0.1,17.46
"PERIDOTITE",42.01,0.79,19.35,,,0.21,4.81
"PERIDOTITE",42.09,0.75,20.1,,,0.22,4.61
"PYROXENITE",0.1,97.5,0.16,,0.34,,0.07
"PYROXENITE",0.13,54.94,0.3,,32.87,0.75,0.21
"PYROXENITE",56.75,,2.47,,,0.11,0.2
"PYROXENITE",41.45,,23,,,0.46,5.16
"PYROXENITE",54.14,0.28,4.25,,,,22.52
"PYROXENITE",53.8,0.33,4.88,,,,22.09
"PERIDOTITE",41.49,,,,,0.11,
"PERIDOTITE",53.56,0.45,1.96,,,,24.1
"PERIDOTITE",57.04,,2.43,,,0.14,0.45
"PERIDOTITE",56.05,,2.63,,,0.14,0.44
"PERIDOTITE",54.29,0.11,2.99,,,,23.51
"PERIDOTITE",53.07,0.09,3.35,,,,22.42
"PERIDOTITE",0.24,0.19,30.02,7.49,8.85,0.19,
"PERIDOTITE",0.07,0.15,35.81,6.23,9.76,0.15,
"PERIDOTITE",,0.11,36.26,4.82,11.74,0.19,
"PYROXENITE",55.56,,2.66,,,0.09,0.22
"PYROXENITE",40.68,,22.86,,,0.52,5.47
"PYROXENITE",52.83,0.25,3.4,,,,23.21
"PYROXENITE",52.42,0.28,4.17,,,,22.88
"PERIDOTITE",41.09,,,,,0.12,
"PERIDOTITE",54.21,,1.84,,,,23.88
"PERIDOTITE",53.64,,2.31,,,,23.27
"PERIDOTITE",56.75,,2.31,,,0.12,0.42
"PERIDOTITE",53.72,,2.34,,,,23.82
"PERIDOTITE",56.48,,2.48,,,0.12,0.56
"PERIDOTITE",56.48,,2.53,,,0.13,0.62
"PERIDOTITE",0.16,0.1,30.15,6.68,11.25,0.16,
"PERIDOTITE",0.11,,33.65,2.28,13.63,0.2,
"PERIDOTITE",0.12,,33.68,2.92,12.43,0.18,
"PERIDOTITE",40.89,,,,,0.11,
"PERIDOTITE",0.5,53.77,0.83,1.17,27.81,0.5,0.19
"PERIDOTITE",57.62,,1.4,,,0.11,0.18
"PERIDOTITE",54.64,0.11,1.66,,,,23.62
"PERIDOTITE",56.85,0.16,1.67,,,0.11,0.3
"PERIDOTITE",53.65,0.11,1.84,,,,23.54
"PERIDOTITE",41.83,,21.7,,,0.51,5.87
"PERIDOTITE",0.12,1.33,26.99,4.04,17.8,0.27,
"PERIDOTITE",0.1,0.27,27.24,5.62,14.78,0.45,
"PERIDOTITE",0.08,0.27,27.33,4.83,16.05,0.19,
"PERIDOTITE",0.1,0.26,33.11,5.07,14.86,0.16,
"PERIDOTITE",40.97,,,,,0.11,
"PERIDOTITE",54.59,0.19,0.75,,,,21.95
"PYROXENITE",41.02,,22.91,,,0.45,5.61
"PYROXENITE",52.81,0.31,4.06,,,,23.12
"PERIDOTITE",40.77,,,,,0.13,
"PERIDOTITE",53.53,0.07,2.08,,,,22.91
"PERIDOTITE",53.81,,2.15,,,,24.16
"PERIDOTITE",56.34,,2.55,,,0.14,0.42
"PERIDOTITE",53.38,,2.63,,,,23.43
"PERIDOTITE",55.61,,2.72,,,0.12,4.17
"PERIDOTITE",0.1,0.1,35.07,5.06,9.29,0.17,
"PERIDOTITE",0.09,,36.2,4.54,9.54,0.15,
"PERIDOTITE",0.07,,36.28,3.63,11.72,0.19,
"PYROXENITE",40.09,,22.69,,,0.45,5.29
"PYROXENITE",53.01,0.23,3.95,,,0.13,13.7
"PYROXENITE",52.32,0.34,4.72,,,,22.23
"PERIDOTITE",41.19,,,,,0.12,
"PERIDOTITE",56.68,,2.75,,,0.15,0.47
"PERIDOTITE",40.38,,,,,0.11,
"PERIDOTITE",53.62,0.07,1.75,,,,24.28
"PERIDOTITE",56.06,,2.2,,,0.13,0.3
"PERIDOTITE",53.57,0.08,2.3,,,,23.71
"PERIDOTITE",56.13,,2.69,,,0.13,0.39
"PERIDOTITE",0.11,0.19,33.91,5.49,8.76,0.18,
"PERIDOTITE",,,39.26,3.7,11.79,0.2,
"PERIDOTITE",,,39.6,4.05,10.4,0.15,
"PYROXENITE",,98.58,0.25,,0.59,,0.07
"PYROXENITE",0.05,56.87,0.6,,31.36,0.58,0.1
"PYROXENITE",55.79,,1.7,,,,0.14
"PYROXENITE",56.45,,2.32,,,,0.21
"PYROXENITE",52.87,0.15,2.71,,,,22.03
"PYROXENITE",41.32,,22.85,,,0.19,5.25
"PYROXENITE",41.14,,22.89,,,0.25,4.82
"PYROXENITE",41.66,,23.02,,,0.22,5.4
"PYROXENITE",41.62,,23.06,,,0.19,4.84
"PYROXENITE",41.32,,23.08,,,0.31,4.97
"PYROXENITE",42.22,,23.1,,,0.23,4.69
"PYROXENITE",42.34,,23.24,,,0.24,4.83
"PYROXENITE",42.19,0.08,23.26,,,0.25,5.84
"PYROXENITE",41.47,,23.28,,,0.36,5.05
"PYROXENITE",42.45,0.07,23.43,,,0.25,4.97
"PYROXENITE",57.05,0.08,3.12,,,0.14,0.58
"PYROXENITE",54.32,0.51,4.23,,,,22.5
"PYROXENITE",55.27,1.83,5.03,,,,24.06
"PYROXENITE",52.9,0.34,5.25,,,,18.06
"PYROXENITE",54.45,0.47,5.61,,,,20.78
"PYROXENITE",55.06,0.57,6.02,,,,21.5
"PYROXENITE",53.59,0.06,5.24,,,0.19,0.23
"PYROXENITE",51.39,0.47,6.11,,,,22.28
"PYROXENITE",50.68,0.45,6.3,,,0.13,19.41
"PERIDOTITE",40.09,,,,,0.12,
"PERIDOTITE",53.14,0.07,2.09,,,,24.13
"PERIDOTITE",55.27,,2.68,,,0.15,0.23
"PERIDOTITE",56.05,,2.76,,,0.14,0.46
"PERIDOTITE",52.74,,2.84,,,,23.06
"PERIDOTITE",0.11,0.06,35.46,6.1,9.46,0.18,
"PERIDOTITE",,,37.73,4.74,10.73,0.19,
"PERIDOTITE",0.11,2.34,8.69,9.3,15.09,0.35,0.09
"PYROXENITE",40.62,,22.5,,,0.55,5.27
"PYROXENITE",40.58,,22.52,,,0.58,5.9
"PYROXENITE",40.72,,22.53,,,0.53,5.84
"PYROXENITE",54.88,0.07,3.1,,,0.11,0.24
"PYROXENITE",54.55,0.08,3.63,,,0.1,0.3
"PYROXENITE",52.18,0.28,3.66,,,0.05,23.34
"PYROXENITE",51.41,0.27,4.61,,,0.04,23.2
"PYROXENITE",51.73,0.27,4.63,,,0.05,22.54
"PYROXENITE",52.34,0.07,7.09,,,0.18,1.32
"PERIDOTITE",41.02,,,,,0.12,
"PERIDOTITE",56.79,,2.51,,,0.13,0.43
"PERIDOTITE",40.29,,,,,0.12,
"PERIDOTITE",55.93,,2.43,,,0.14,0.42
"PERIDOTITE",53.42,,2.56,,,,23.38
"PERIDOTITE",52.94,,2.63,,,,23.79
"PERIDOTITE",56.32,,2.66,,,0.15,0.52
"PERIDOTITE",0.15,0.1,32.52,4.77,11.39,0.18,
"PERIDOTITE",0.08,0.07,38.08,2.41,11.87,0.2,
"PERIDOTITE",0.09,0.06,38.57,1.81,12.51,0.19,
"PERIDOTITE",41.2,,,,,0.09,
"PERIDOTITE",53.81,0.15,2.11,,,,23
"PERIDOTITE",56.59,0.06,2.26,,,0.13,0.32
"PERIDOTITE",56.45,,2.32,,,0.12,0.4
"PERIDOTITE",53.63,0.17,2.78,,,,23.59
"PERIDOTITE",53.34,0.19,3.1,,,,22.96
"PERIDOTITE",40.75,,,,,0.12,
"PERIDOTITE",55.9,0.06,2.87,,,0.16,0.4
"PERIDOTITE",53.55,0.16,2.98,,,,22.95
"PERIDOTITE",55.7,0.07,3.07,,,0.13,0.53
"PERIDOTITE",55.89,0.06,3.28,,,0.13,0.61
"PERIDOTITE",53.24,0.15,3.34,,,,23.47
"PERIDOTITE",53.21,0.14,3.62,,,,22.39
"PERIDOTITE",2,0.21,34.09,4.07,9.58,0.15,0.05
"PERIDOTITE",0.07,0.11,40.88,4.01,9.2,0.15,
"PERIDOTITE",,0.1,41.07,3.05,10.25,0.16,
"PERIDOTITE",41.64,,,,,0.12,
"PERIDOTITE",54.37,,2.37,,,,23.65
"PERIDOTITE",56.99,,2.66,,,0.11,0.6
"PERIDOTITE",0.11,0.12,30.75,3.79,11.64,0.19,
"PERIDOTITE",,0.07,36.83,1.54,13.66,0.19,
"PERIDOTITE",40.97,,,,,0.12,
"PERIDOTITE",53.5,0.1,1.98,,,0.11,24.3
"PERIDOTITE",0.09,2.64,13.65,11.73,13.49,0.33,0.05
"PERIDOTITE",0.1,3.43,17.88,16.75,12.77,0.37,
"PERIDOTITE",53.6,,2.52,,,,23.95
"PERIDOTITE",56.61,,2.73,,,0.14,0.63
"PERIDOTITE",,,35.09,3.32,12.05,0.2,0.05
"PERIDOTITE",40.6,,,,,0.12,
"PERIDOTITE",40.94,,,,,0.12,
"PERIDOTITE",0.38,2.65,11.87,11.88,14.06,0.34,0.09
"PERIDOTITE",53.78,,2.08,,,,23.91
"PERIDOTITE",53.31,,2.54,,,,23.28
"PERIDOTITE",53.55,,2.55,,,,23.73
"PERIDOTITE",56.15,,2.66,,,0.11,0.57
"PERIDOTITE",56.12,,2.68,,,0.14,0.61
"PERIDOTITE",0.57,0.09,28.68,4.87,10.51,0.19,
"PERIDOTITE",0.16,,35.62,2.99,11.21,0.19,0.06
"PERIDOTITE",0.1,,35.78,2.74,12.17,0.23,
"PYROXENITE",56.28,,2.07,,,,0.15
"PYROXENITE",56.11,,2.31,,,0.1,0.17
"PYROXENITE",40.93,,23.01,,,0.47,5.27
"PERIDOTITE",41.98,,,,,0.13,
"PERIDOTITE",55.07,,2.28,,,,24.15
"PERIDOTITE",53.61,,2.33,,,,23.53
"PERIDOTITE",57.52,,2.46,,,0.13,0.31
"PERIDOTITE",56.32,,2.66,,,0.15,0.51
"PERIDOTITE",,,36.81,1.74,13.29,0.22,
"PERIDOTITE",,,36.91,2.1,12.57,0.21,
"PERIDOTITE",41.91,,,,,0.13,
"PERIDOTITE",57.71,,2.46,,,0.12,0.35
"PERIDOTITE",54.63,,2.72,,,,23.04
"PERIDOTITE",54.95,,2.76,,,,23.6
"PERIDOTITE",56.28,,2.78,,,0.14,0.56
"PERIDOTITE",53.41,,2.93,,,,22.53
"PERIDOTITE",0.15,0.06,33.02,4.31,9.62,0.14,
"PERIDOTITE",0.1,,35.73,3.54,10.13,0.2,
"PERIDOTITE",,,37.58,2.15,11.92,0.19,
"PERIDOTITE",41.63,,,,,0.12,
"PERIDOTITE",57.37,,2.82,,,0.14,1.1
"PERIDOTITE",54.8,0.17,2.96,,,,23.42
"PERIDOTITE",,1.16,28.7,10.54,9.86,0.24,
"PERIDOTITE",,0.28,34.03,5.54,8.4,0.22,
"PERIDOTITE",,0.1,41.96,3.58,10.53,0.17,
"PYROXENITE",55.02,,4.6,,,0.22,0.25
"PYROXENITE",52.89,0.42,5.68,,,,22.11
"ECLOGITE",41.31,0.41,22.38,,,0.3,7.69
"ECLOGITE",41.14,0.46,22.46,,,0.23,8.39
"ECLOGITE",54.24,0.31,5.04,,,,18.68
"ECLOGITE",40.21,0.36,22.3,,,0.23,11.44
"ECLOGITE",54.48,0.21,7.82,,,,16.89
"ECLOGITE",54.35,0.1,2.63,,,,20.21
"ECLOGITE",40.24,0.18,22.24,,,0.33,4.18
"ECLOGITE",40.17,0.12,22.59,,,0.36,5.72
"ECLOGITE",54.38,0.09,3.27,,,,20.52
"PYROXENITE",41.28,0.19,23.09,,,0.31,3.66
"PYROXENITE",54.98,0.32,5.32,,,,17.45
"PYROXENITE",40.95,0.16,22.93,,,0.28,4.71
"PYROXENITE",54.8,0.15,3.65,,,,20.17
"ECLOGITE",38.4,0.12,21.87,,,0.38,8.98
"ECLOGITE",0.14,0.01,0.004,,,0.02,55.05
"ECLOGITE",39.18,2.49,15.23,,,,
"ECLOGITE",38.52,,21.97,,,2.26,7.47
"ECLOGITE",38.74,,22,,,2.21,7.47
"ECLOGITE",52.31,0.14,3.01,,,0.24,23.4
"PYROXENITE",55.01,0.07,0.82,,,,20.61
"PYROXENITE",54.5,0.17,1.49,,,0.11,20.38
"PYROXENITE",42,0.3,21.89,,,0.26,4.99
"PYROXENITE",58.42,,0.32,,,,0.2
"PYROXENITE",42.17,0.14,23.3,,,0.27,4.05
"ECLOGITE",40.12,0.08,22.63,,,0.39,5.67
"ECLOGITE",53.6,0.23,3.99,,,0.09,20.43
"ECLOGITE",55.7,0.17,7.73,,,,16.14
"ECLOGITE",53.85,0.29,2.75,,,,21.49
"ECLOGITE",39.19,0.36,21.8,,,0.43,8.43
"ECLOGITE",54.95,0.29,6.36,,,,17.24
"ECLOGITE",53.76,0.82,2.93,,,,21.15
"ECLOGITE",41,0.15,22.92,,,0.27,4.98
"ECLOGITE",54.61,0.29,3.38,,,,21.65
"ECLOGITE",55.2,0.21,5.39,,,,18.03
"ECLOGITE",40.87,0.08,22.91,,,0.32,5.07
"ECLOGITE",51.39,0.41,7.38,,,0.14,19.29
"ECLOGITE",55.64,0.19,8.1,,,,16.17
"PYROXENITE",57.28,,0.33,,,0.12,0.37
"PYROXENITE",54.5,,0.37,,,0.11,23.12
