,0,1,2,3,4,5
82,ROCK NAME,SIO2,CR2O3,K2O,NA2O,0.7339099989702396
83,ROCK NAME,SIO2,CR2O3,K2O,P2O5,0.7323180934292041
84,ROCK NAME,SIO2,CR2O3,NA2O,P2O5,0.7315680688229703
85,ROCK NAME,SIO2,FEOT,CAO,MGO,0.7323041586607474
86,ROCK NAME,SIO2,FEOT,CAO,MNO,0.733132484090338
87,ROCK NAME,SIO2,FEOT,CAO,K2O,0.733736942070275
88,ROCK NAME,SIO2,FEOT,CAO,NA2O,0.7344025096834081
89,ROCK NAME,SIO2,FEOT,CAO,P2O5,0.7348739052442751
90,ROCK NAME,SIO2,FEOT,MGO,MNO,0.7354079918182477
91,ROCK NAME,SIO2,FEOT,MGO,K2O,0.7364465915190546
92,ROCK NAME,SIO2,FEOT,MGO,NA2O,0.7370033391538761
93,ROCK NAME,SIO2,FEOT,MGO,P2O5,0.7373663898486587
94,ROCK NAME,SIO2,FEOT,MNO,K2O,0.7366621682411151
95,ROCK NAME,SIO2,FEOT,MNO,NA2O,0.7363188509021837
96,ROCK NAME,SIO2,FEOT,MNO,P2O5,0.7348860888379782
97,ROCK NAME,SIO2,FEOT,K2O,NA2O,0.7344322344322338
98,ROCK NAME,SIO2,FEOT,K2O,P2O5,0.7340930674264002
99,ROCK NAME,SIO2,FEOT,NA2O,P2O5,0.7337606837606834
100,ROCK NAME,SIO2,CAO,MGO,MNO,0.7342717177700675
101,ROCK NAME,SIO2,CAO,MGO,K2O,0.7346144535687019
102,ROCK NAME,SIO2,CAO,MGO,NA2O,0.7352455766695248
103,ROCK NAME,SIO2,CAO,MGO,P2O5,0.7356454087223316
104,ROCK NAME,SIO2,CAO,MNO,K2O,0.7359652692986026
105,ROCK NAME,SIO2,CAO,MNO,NA2O,0.7364493182103244
106,ROCK NAME,SIO2,CAO,MNO,P2O5,0.7365870543440636
107,ROCK NAME,SIO2,CAO,K2O,NA2O,0.7369508634940731
108,ROCK NAME,SIO2,CAO,K2O,P2O5,0.737351559981529
109,ROCK NAME,SIO2,CAO,NA2O,P2O5,0.7375205041871703
110,ROCK NAME,SIO2,MGO,MNO,K2O,0.7375238486349593
111,ROCK NAME,SIO2,MGO,MNO,NA2O,0.737382987382987
112,ROCK NAME,SIO2,MGO,MNO,P2O5,0.7373790854616811
113,ROCK NAME,SIO2,MGO,K2O,NA2O,0.7378167641325531
