ROCK NAME,SIO2,MGO,CAO,MNO
HARZBURGITE,40.7,42.94,0.6,0.11
HARZBURGITE,40.7,42.94,0.6,0.11
HARZBURGITE,38.42,39.04,0.79,0.11
HARZBURGITE,37.76,39.97,0.69,0.11
HARZBURGITE,38.56,39.13,0.86,0.11
HARZBURGITE,36.41,40.18,0.43,0.09
HARZBURGITE,39.21,38.19,1.66,0.11
HARZBURGITE,35.9,39.39,0.31,0.11
HARZBURGITE,36.01,39.35,0.66,0.12
HARZBURGITE,36.84,39.91,0.63,0.11
HARZBURGITE,37.84,40.24,0.03,0.1
HARZBURGITE,37.75,39.99,0.03,0.1
HARZBURGITE,37.45,40.3,0.03,0.09
HARZBURGITE,37.11,40.14,0.03,0.1
HARZBURGITE,36.97,40.48,0.03,0.09
HARZBURGITE,37.17,38.56,0.02,0.1
HARZBURGITE,36.81,39.64,0.06,0.1
HARZBURGITE,36.78,39.93,0.05,0.09
HARZBURGITE,37.48,40.11,0.2,0.1
HARZBURGITE,34.82,41.08,0.03,0.1
HARZBURGITE,39.04,40.88,0.65,0.11
HARZBURGITE,35.65,37.64,0.52,0.1
HARZBURGITE,37.78,39.04,0.31,0.09
HARZBURGITE,35.53,40.89,0.18,0.1
HARZBURGITE,37.58,39.99,0.51,0.1
HARZBURGITE,37.52,40.69,0.24,0.09
HARZBURGITE,38.66,39.93,0.74,0.12
HARZBURGITE,38.78,40.62,1.03,0.11
HARZBURGITE,37.93,40.62,0.39,0.1
HARZBURGITE,38.81,41.88,0.54,0.11
HARZBURGITE,37.82,40.45,0.5,0.11
HARZBURGITE,39.54,40.72,0.71,0.11
HARZBURGITE,37.8,39.99,0.46,0.11
HARZBURGITE,40.2,40.71,0.86,0.11
HARZBURGITE,40.32,40.28,0.84,0.11
HARZBURGITE,34.37,42.24,0.13,0.11
HARZBURGITE,44.61,44.6,0.01,0.14
HARZBURGITE,43.97,43.95,0.08,0.13
HARZBURGITE,45.01,43.05,0.74,0.14
HARZBURGITE,44.96,43.07,0.23,0.11
HARZBURGITE,43.88,45.33,0.23,0.13
HARZBURGITE,45.76,43.63,0.51,0.11
HARZBURGITE,44.1,40.96,0.85,0.13
HARZBURGITE,44.3,43.44,0.37,0.13
HARZBURGITE,44.23,43.72,1.17,0.13
HARZBURGITE,45.4,42.31,1.23,0.13
HARZBURGITE,44.14,42.54,1.04,0.13
HARZBURGITE,43.81,43.55,1.01,0.14
HARZBURGITE,43.49,43.68,0.7,0.13
HARZBURGITE,44.69,43.13,1.15,0.13
HARZBURGITE,42.63,45.98,0.88,0.13
HARZBURGITE,44.33,45.19,0.35,0.14
HARZBURGITE,44.23,43.45,0.87,0.18
HARZBURGITE,44.14,44.01,0.1,0.13
HARZBURGITE,43.74,44.72,0.01,0.14
HARZBURGITE,44.97,42.82,0.42,0.13
HARZBURGITE,44.29,44.37,0.18,0.14
HARZBURGITE,46.16,43.34,0.33,0.12
HARZBURGITE,44.49,44.17,0.21,0.11
HARZBURGITE,44.02,46.21,0.06,0.14
HARZBURGITE,44.86,44.12,0.33,0.14
HARZBURGITE,44.22,44.49,0.06,0.12
HARZBURGITE,44.61,44.41,0.13,0.13
HARZBURGITE,43.87,45.0,0.14,0.12
HARZBURGITE,44.71,44.37,0.04,0.13
HARZBURGITE,44.39,30.19,5.07,0.19
HARZBURGITE,44.81,43.94,0.18,0.11
HARZBURGITE,44.11,44.09,0.29,0.14
HARZBURGITE,43.7,43.54,0.03,0.15
HARZBURGITE,44.48,43.87,0.29,0.14
HARZBURGITE,44.97,42.82,1.38,0.13
HARZBURGITE,43.68,43.83,0.23,0.12
HARZBURGITE,47.22,41.47,1.06,0.14
HARZBURGITE,43.8,44.29,0.26,0.15
HARZBURGITE,44.63,43.39,0.51,0.12
HARZBURGITE,44.31,43.79,0.42,0.13
HARZBURGITE,44.25,43.411,1.3,0.13
HARZBURGITE,43.26,43.52,1.55,0.14
HARZBURGITE,43.28,43.19,1.05,0.13
HARZBURGITE,42.85,44.05,0.58,0.16
HARZBURGITE,43.0,44.23,0.99,0.14
HARZBURGITE,43.79,43.97,1.15,0.15
HARZBURGITE,44.02,44.39,0.12,0.13
HARZBURGITE,43.98,43.9,0.39,0.14
HARZBURGITE,46.64,38.02,1.05,0.16
HARZBURGITE,44.1,40.55,0.32,0.16
HARZBURGITE,43.63,42.74,0.14,0.15
HARZBURGITE,44.38,40.63,0.79,0.16
HARZBURGITE,44.27,43.33,0.25,0.14
HARZBURGITE,43.79,44.14,0.23,0.14
HARZBURGITE,44.29,43.49,0.26,0.15
HARZBURGITE,43.9,43.85,0.39,0.14
HARZBURGITE,43.55,43.95,0.73,0.14
HARZBURGITE,43.32,42.61,0.17,0.14
HARZBURGITE,44.05,41.83,1.42,0.12
HARZBURGITE,43.58,42.93,1.41,0.13
HARZBURGITE,44.39,42.77,1.25,0.13
HARZBURGITE,44.32,42.9,1.33,0.13
HARZBURGITE,44.72,43.22,0.57,0.14
HARZBURGITE,43.64,43.55,0.32,0.12
HARZBURGITE,45.44,17.41,14.55,0.25
HARZBURGITE,43.37,44.19,0.1,0.1
HARZBURGITE,43.94,43.22,1.39,0.14
HARZBURGITE,45.74,34.17,4.19,0.26
HARZBURGITE,44.75,43.56,0.33,0.12
HARZBURGITE,45.55,40.49,0.77,0.13
HARZBURGITE,44.09,44.17,0.07,0.12
HARZBURGITE,46.54,40.54,1.3,0.13
HARZBURGITE,45.09,42.74,0.39,0.12
HARZBURGITE,43.93,44.19,0.42,0.14
HARZBURGITE,43.83,44.48,0.02,0.12
HARZBURGITE,43.51,43.99,0.1,0.14
HARZBURGITE,44.64,43.6,0.01,0.15
HARZBURGITE,44.65,43.85,0.04,0.13
HARZBURGITE,44.94,42.46,0.15,0.12
HARZBURGITE,44.81,43.66,0.02,0.13
HARZBURGITE,45.77,35.79,2.26,0.18
HARZBURGITE,43.71,43.61,0.08,0.14
HARZBURGITE,44.92,42.59,0.38,0.13
HARZBURGITE,35.31,41.27,0.5,0.12
HARZBURGITE,35.05,41.36,0.22,0.11
HARZBURGITE,35.58,41.92,0.41,0.11
HARZBURGITE,41.52,39.61,0.06,0.08
HARZBURGITE,40.02,40.34,0.47,0.11
HARZBURGITE,40.36,40.34,0.81,0.11
HARZBURGITE,38.85,38.87,0.89,0.11
HARZBURGITE,38.85,38.87,0.89,0.11
HARZBURGITE,36.23,38.85,0.06,0.12
HARZBURGITE,38.41,38.86,0.56,0.1
HARZBURGITE,35.72,42.19,0.16,0.11
HARZBURGITE,43.46,45.64,0.75,0.12
HARZBURGITE,44.28,45.48,0.27,0.09
HARZBURGITE,45.31,43.74,0.06,0.06
HARZBURGITE,45.85,43.95,0.1,0.08
HARZBURGITE,61.86,30.61,0.34,0.06
LHERZOLITE,59.1,2.95,5.98,0.04
LHERZOLITE,58.8,3.26,6.42,0.06
LHERZOLITE,62.6,0.99,1.86,0.01
LHERZOLITE,39.55,42.14,1.95,0.18
LHERZOLITE,39.95,35.85,4.62,0.18
LHERZOLITE,44.94,38.81,2.97,0.15
LHERZOLITE,44.34,42.65,1.99,0.137
LHERZOLITE,44.26,44.43,1.24,0.13
LHERZOLITE,43.82,42.56,1.98,0.13
LHERZOLITE,44.42,42.24,1.98,0.135
LHERZOLITE,44.64,41.97,2.26,0.135
LHERZOLITE,43.93,42.01,2.26,0.13
LHERZOLITE,44.43,41.6,2.27,0.138
LHERZOLITE,45.22,40.39,2.57,0.14
LHERZOLITE,45.54,39.43,2.85,0.14
LHERZOLITE,45.63,38.7,3.07,0.142
LHERZOLITE,44.99,40.06,2.94,0.137
LHERZOLITE,45.08,40.18,2.82,0.141
LHERZOLITE,44.88,39.58,2.99,0.142
LHERZOLITE,45.67,38.96,3.11,0.138
LHERZOLITE,44.19,43.37,1.41,0.12
LHERZOLITE,44.61,43.12,1.41,0.129
LHERZOLITE,44.48,42.53,1.84,0.135
LHERZOLITE,44.64,42.91,1.76,0.132
LHERZOLITE,44.97,43.03,1.67,0.132
LHERZOLITE,45.49,39.31,2.74,0.137
LHERZOLITE,44.1,41.12,2.62,0.13
LHERZOLITE,44.73,41.11,2.64,0.14
LHERZOLITE,44.54,40.94,2.63,0.14
LHERZOLITE,44.63,40.74,2.77,0.141
LHERZOLITE,44.3,41.8,1.95,0.132
LHERZOLITE,44.02,42.56,2.3,0.13
LHERZOLITE,44.95,37.1,3.59,0.145
LHERZOLITE,44.82,38.77,3.91,0.14
LHERZOLITE,45.15,37.55,3.18,0.14
LHERZOLITE,44.41,39.1,3.34,0.14
LHERZOLITE,43.43,42.49,1.61,0.13
LHERZOLITE,43.65,42.45,1.47,0.131
LHERZOLITE,43.63,43.02,1.66,0.13
LHERZOLITE,43.82,38.8,2.84,0.13
LHERZOLITE,44.56,38.66,2.81,0.139
LHERZOLITE,46.23,33.15,0.75,0.11
LHERZOLITE,44.95,41.99,1.88,0.13
LHERZOLITE,43.95,39.01,3.04,0.13
LHERZOLITE,43.11,28.65,3.58,0.19
LHERZOLITE,47.89,15.8,7.78,0.15
LHERZOLITE,41.86,17.52,3.29,0.19
LHERZOLITE,43.47,18.38,5.14,0.19
LHERZOLITE,42.99,18.12,4.58,0.19
LHERZOLITE,38.95,32.67,2.13,0.2
LHERZOLITE,44.91,39.79,3.01,0.15
LHERZOLITE,42.99,46.11,0.82,0.14
LHERZOLITE,44.29,43.63,1.88,0.14
LHERZOLITE,44.13,41.11,2.8,0.15
LHERZOLITE,43.91,44.68,1.44,0.14
LHERZOLITE,44.89,41.17,2.43,0.15
LHERZOLITE,44.73,40.73,2.61,0.14
LHERZOLITE,38.63,23.86,5.78,0.17
LHERZOLITE,43.11,13.46,14.98,0.11
LHERZOLITE,44.27,44.6,1.29,0.138
LHERZOLITE,43.82,44.36,1.32,0.134
LHERZOLITE,44.51,42.47,2.05,0.138
LHERZOLITE,44.45,43.41,1.6,0.134
LHERZOLITE,44.5,43.04,1.38,0.131
LHERZOLITE,44.79,42.7,1.94,0.131
LHERZOLITE,44.25,42.47,2.19,0.137
LHERZOLITE,44.62,42.92,2.0,0.14
LHERZOLITE,44.49,38.5,3.68,0.13
LHERZOLITE,44.28,41.26,2.34,0.13
LHERZOLITE,44.51,39.46,3.31,0.14
LHERZOLITE,44.66,39.94,3.0,0.14
LHERZOLITE,44.73,41.24,2.92,0.14
LHERZOLITE,44.28,41.23,2.75,0.13
LHERZOLITE,43.89,45.65,1.41,0.13
LHERZOLITE,44.36,43.76,1.75,0.13
LHERZOLITE,44.34,43.0,1.63,0.13
LHERZOLITE,44.74,42.65,2.31,0.13
LHERZOLITE,46.26,33.08,5.63,0.14
LHERZOLITE,43.88,38.55,3.58,0.14
LHERZOLITE,44.64,39.18,3.42,0.14
LHERZOLITE,43.7,38.95,3.05,0.14
LHERZOLITE,44.44,39.9,2.96,0.14
LHERZOLITE,44.21,41.64,2.75,0.14
LHERZOLITE,44.87,39.2,3.36,0.14
LHERZOLITE,44.46,44.02,1.77,0.13
LHERZOLITE,44.67,44.52,1.15,0.13
LHERZOLITE,44.13,44.16,1.72,0.13
LHERZOLITE,43.49,44.36,1.59,0.13
LHERZOLITE,44.2,43.68,1.93,0.13
LHERZOLITE,44.53,41.97,2.35,0.14
LHERZOLITE,44.4,44.22,1.92,0.13
LHERZOLITE,44.81,44.69,1.36,0.13
LHERZOLITE,44.8,43.52,2.66,0.13
LHERZOLITE,44.71,43.39,2.03,0.13
LHERZOLITE,43.47,45.84,1.22,0.13
LHERZOLITE,43.17,44.23,1.79,0.13
LHERZOLITE,44.18,43.41,2.36,0.13
LHERZOLITE,44.64,40.91,2.97,0.13
LHERZOLITE,43.95,40.8,3.2,0.13
LHERZOLITE,45.26,38.42,3.77,0.13
LHERZOLITE,46.5,43.19,1.46,0.12
LHERZOLITE,44.91,39.27,4.11,0.14
LHERZOLITE,44.73,40.38,3.14,0.13
LHERZOLITE,44.91,39.79,3.46,0.14
LHERZOLITE,44.93,41.5,3.15,0.13
LHERZOLITE,44.54,41.17,2.78,0.13
LHERZOLITE,44.93,39.55,3.44,0.14
LHERZOLITE,44.08,42.77,2.38,0.13
LHERZOLITE,44.01,43.14,2.15,0.13
LHERZOLITE,44.39,43.14,2.06,0.13
LHERZOLITE,43.93,43.25,2.64,0.13
LHERZOLITE,42.74,27.1,4.0,0.16
LHERZOLITE,42.43,30.38,3.16,0.16
LHERZOLITE,41.84,25.75,6.12,0.1
LHERZOLITE,44.24,26.56,6.37,0.09
LHERZOLITE,43.37,25.93,5.52,0.12
LHERZOLITE,42.69,25.06,6.66,0.11
LHERZOLITE,44.28,26.21,5.38,0.18
LHERZOLITE,42.94,25.94,5.48,0.12
LHERZOLITE,41.84,25.73,5.43,0.14
LHERZOLITE,45.14,25.41,7.8,0.13
LHERZOLITE,45.04,28.24,5.7,0.1
LHERZOLITE,44.73,28.74,5.56,0.11
LHERZOLITE,42.5,38.25,4.16,0.16
LHERZOLITE,40.79,41.65,3.07,0.16
LHERZOLITE,41.53,40.5,3.04,0.15
LHERZOLITE,40.24,40.59,3.15,0.15
LHERZOLITE,42.81,40.46,3.36,0.15
LHERZOLITE,42.88,39.45,3.39,0.15
LHERZOLITE,41.16,41.9,2.96,0.15
LHERZOLITE,43.56,39.67,3.69,0.15
LHERZOLITE,41.24,42.97,2.73,0.15
LHERZOLITE,40.74,43.56,2.22,0.15
LHERZOLITE,43.15,41.73,3.03,0.14
LHERZOLITE,41.8,43.28,2.21,0.15
LHERZOLITE,42.48,42.65,2.77,0.15
LHERZOLITE,41.03,43.9,1.99,0.15
LHERZOLITE,41.26,43.6,2.14,0.14
LHERZOLITE,40.92,45.58,1.48,0.15
LHERZOLITE,41.61,44.6,2.18,0.15
LHERZOLITE,40.63,43.94,2.25,0.15
LHERZOLITE,40.91,46.74,0.93,0.14
LHERZOLITE,41.09,47.37,1.17,0.14
LHERZOLITE,41.42,40.34,3.07,0.16
LHERZOLITE,41.33,38.82,3.69,0.15
LHERZOLITE,42.51,38.58,3.11,0.15
LHERZOLITE,41.63,41.25,2.74,0.15
LHERZOLITE,43.99,38.48,3.86,0.15
LHERZOLITE,41.76,43.17,2.45,0.15
LHERZOLITE,41.99,41.58,2.81,0.15
LHERZOLITE,39.92,43.01,2.52,0.15
LHERZOLITE,39.49,48.21,0.74,0.14
LHERZOLITE,41.36,43.35,2.66,0.15
LHERZOLITE,41.95,44.43,1.94,0.15
LHERZOLITE,40.04,44.01,2.05,0.15
LHERZOLITE,40.86,44.84,2.04,0.15
LHERZOLITE,40.9,45.29,1.82,0.15
LHERZOLITE,40.72,44.99,1.93,0.15
LHERZOLITE,41.21,44.94,1.84,0.15
LHERZOLITE,40.82,47.59,1.09,0.14
LHERZOLITE,42.41,42.77,2.38,0.14
LHERZOLITE,40.7,47.11,0.87,0.15
LHERZOLITE,39.35,47.82,0.37,0.14
LHERZOLITE,41.96,47.38,0.93,0.14
LHERZOLITE,41.68,40.23,3.74,0.15
LHERZOLITE,40.26,42.29,2.85,0.15
LHERZOLITE,43.36,39.31,3.97,0.15
LHERZOLITE,43.87,37.8,3.39,0.13
LHERZOLITE,44.22,42.23,2.02,0.13
LHERZOLITE,42.27,46.34,0.54,0.13
LHERZOLITE,43.22,43.42,1.63,0.13
LHERZOLITE,44.96,39.49,3.19,0.13
LHERZOLITE,44.85,40.47,3.08,0.13
LHERZOLITE,44.37,45.54,0.93,0.12
LHERZOLITE,45.09,43.4,1.78,0.13
LHERZOLITE,44.85,41.99,2.25,0.13
LHERZOLITE,44.6,40.25,2.96,0.14
LHERZOLITE,43.95,45.97,0.94,0.12
LHERZOLITE,45.12,38.7,3.63,0.14
LHERZOLITE,44.53,40.58,2.12,0.13
LHERZOLITE,46.31,36.57,3.41,0.15
LHERZOLITE,41.93,25.91,6.21,0.09
LHERZOLITE,44.28,26.25,6.17,0.09
LHERZOLITE,44.2,24.33,7.41,0.09
LHERZOLITE,47.08,25.27,7.84,0.19
LHERZOLITE,43.5,38.0,2.1,0.13
LHERZOLITE,38.6,34.5,2.37,0.28
LHERZOLITE,39.8,41.0,0.84,0.12
LHERZOLITE,39.0,39.1,0.64,0.11
LHERZOLITE,39.9,41.5,0.91,0.12
LHERZOLITE,44.2,40.7,3.6,0.16
LHERZOLITE,43.5,25.7,6.88,0.23
LHERZOLITE,45.91,45.27,1.457,0.103
LHERZOLITE,44.4,45.07,0.557,0.089
LHERZOLITE,44.15,34.84,5.5,0.1
LHERZOLITE,44.15,34.84,5.5,0.1
LHERZOLITE,46.06,40.38,3.113,0.136
LHERZOLITE,38.73,35.87,1.34,0.16
LHERZOLITE,41.69,35.19,1.71,0.11
LHERZOLITE,42.14,32.15,1.49,0.17
LHERZOLITE,45.13,42.32,1.553,0.104
LHERZOLITE,44.46,41.63,0.122,0.099
LHERZOLITE,42.66,40.32,3.19,0.15
LHERZOLITE,45.07,36.84,3.26,0.15
LHERZOLITE,45.62,36.69,3.28,0.15
LHERZOLITE,44.02,39.19,3.06,0.14
LHERZOLITE,44.4,38.19,3.29,0.14
LHERZOLITE,48.09,25.49,10.53,0.11
LHERZOLITE,44.16,39.1,3.03,0.14
LHERZOLITE,39.65,35.08,2.53,0.29
LHERZOLITE,40.42,35.36,2.33,0.14
LHERZOLITE,40.34,35.19,2.88,0.11
LHERZOLITE,39.62,35.06,2.55,0.29
LHERZOLITE,39.6,35.19,3.26,0.14
LHERZOLITE,40.1,35.61,1.82,0.15
LHERZOLITE,40.9,36.34,4.42,0.14
LHERZOLITE,40.0,34.0,3.3,0.18
LHERZOLITE,40.22,33.75,0.44,0.39
LHERZOLITE,41.75,35.22,1.83,0.12
LHERZOLITE,40.0,32.95,3.5,0.12
LHERZOLITE,41.6,33.3,0.82,0.2
LHERZOLITE,43.77,40.61,1.94,0.13
LHERZOLITE,44.05,38.3,3.0,0.16
LHERZOLITE,45.09,37.97,2.8,0.15
LHERZOLITE,44.87,37.63,3.16,0.15
LHERZOLITE,44.82,36.3,3.86,0.15
LHERZOLITE,44.89,37.3,3.31,0.15
LHERZOLITE,45.01,37.3,3.21,0.15
LHERZOLITE,44.73,36.63,3.51,0.15
LHERZOLITE,46.2,35.8,3.02,0.16
LHERZOLITE,50.87,28.19,5.02,0.15
LHERZOLITE,44.78,36.97,3.35,0.15
LHERZOLITE,44.43,37.13,3.39,0.15
LHERZOLITE,45.1,37.3,3.04,0.15
LHERZOLITE,44.92,36.47,3.47,0.5
LHERZOLITE,45.36,40.61,1.08,0.17
LHERZOLITE,48.58,29.67,5.52,0.15
LHERZOLITE,44.25,37.13,3.4,0.16
LHERZOLITE,38.55,35.88,0.37,0.41
LHERZOLITE,42.36,36.48,2.24,0.1
LHERZOLITE,37.62,37.8,0.5,0.05
LHERZOLITE,43.87,40.45,4.3,0.07
LHERZOLITE,40.52,33.68,0.45,0.48
LHERZOLITE,49.6,7.33,10.92,0.17
WEHRLITE,43.2,45.1,0.04,0.14
WEHRLITE,43.4,41.5,0.36,0.15
WEHRLITE,42.8,40.8,1.17,0.16
WEHRLITE,44.6,30.3,6.77,0.15
WEHRLITE,44.9,38.9,1.11,0.14
WEHRLITE,44.6,40.4,0.37,0.15
WEHRLITE,42.5,38.4,5.94,0.18
WEHRLITE,40.41,31.87,3.85,0.18
WEHRLITE,38.76,30.07,4.12,0.18
WEHRLITE,43.37,23.52,8.0,0.19
WEHRLITE,39.92,36.48,3.36,0.25
WEHRLITE,40.89,34.0,3.24,0.26
WEHRLITE,40.63,33.21,4.23,0.24
WEHRLITE,42.5,33.44,4.12,0.27
WEHRLITE,42.89,31.74,5.03,0.35
WEHRLITE,41.95,32.57,6.87,0.15
WEHRLITE,42.5,32.47,7.46,0.14
WEHRLITE,44.17,31.02,8.71,0.16
WEHRLITE,44.52,29.72,9.42,0.17
WEHRLITE,43.25,27.6,6.5,0.23
WEHRLITE,44.85,28.61,9.17,0.19
WEHRLITE,42.12,27.49,6.1,0.17
WEHRLITE,39.96,30.92,5.5,0.17
WEHRLITE,40.57,29.66,5.47,0.16
WEHRLITE,38.39,30.78,2.84,0.22
WEHRLITE,38.13,36.25,2.53,0.12
WEHRLITE,43.77,26.79,6.15,0.19
WEHRLITE,44.93,23.27,9.59,0.19
WEHRLITE,43.34,27.76,6.72,0.2
WEHRLITE,44.15,24.41,8.88,0.21
WEHRLITE,38.42,27.06,3.08,0.16
WEHRLITE,40.0,20.24,6.86,0.18
WEHRLITE,39.53,20.81,6.71,0.21
WEHRLITE,39.03,30.79,2.66,0.18
WEHRLITE,43.03,29.63,7.21,0.19
WEHRLITE,34.44,30.44,4.84,0.193
WEHRLITE,38.92,32.77,1.07,0.115
WEHRLITE,40.69,34.2,0.63,0.121
WEHRLITE,43.17,26.45,5.67,0.172
WEHRLITE,46.5,21.6,10.8,0.164
WEHRLITE,40.74,32.15,3.44,0.154
WEHRLITE,41.92,28.91,7.07,0.162
WEHRLITE,41.56,27.77,7.22,0.219
WEHRLITE,45.37,25.54,11.42,0.179
WEHRLITE,40.6,28.8,4.55,0.194
WEHRLITE,42.7,26.66,6.09,0.209
WEHRLITE,42.56,26.21,6.74,0.199
WEHRLITE,42.63,26.6,5.89,0.214
WEHRLITE,40.28,32.26,1.73,0.133
WEHRLITE,36.72,32.3,0.81,0.118
WEHRLITE,36.66,30.35,1.52,0.271
WEHRLITE,40.0,32.6,2.52,0.168
WEHRLITE,32.33,31.83,3.88,0.171
WEHRLITE,35.3,34.9,0.08,0.167
WEHRLITE,38.95,34.29,1.18,0.085
WEHRLITE,40.77,29.47,4.64,0.191
WEHRLITE,37.59,36.69,0.53,0.154
WEHRLITE,40.83,28.25,5.22,0.2
WEHRLITE,40.56,32.24,0.99,0.118
WEHRLITE,42.06,31.52,2.14,0.154
WEHRLITE,44.45,29.52,3.57,0.167
WEHRLITE,39.83,32.49,2.93,0.168
WEHRLITE,43.29,26.31,4.92,0.178
WEHRLITE,41.03,31.8,4.3,0.166
WEHRLITE,42.32,26.49,8.31,0.162
WEHRLITE,39.47,34.0,0.52,0.195
WEHRLITE,46.7,23.6,9.23,0.189
WEHRLITE,47.7,17.9,14.7,0.215
WEHRLITE,38.54,35.06,0.23,0.108
WEHRLITE,40.75,33.13,0.46,0.129
WEHRLITE,43.45,31.25,2.9,0.179
WEHRLITE,41.39,27.46,4.42,0.185
WEHRLITE,38.23,32.24,2.2,0.227
WEHRLITE,38.88,32.52,1.12,0.189
WEHRLITE,43.27,29.03,4.22,0.139
WEHRLITE,40.43,32.18,1.6,0.206
WEHRLITE,41.53,29.4,5.23,0.165
WEHRLITE,46.2,23.9,9.53,0.153
WEHRLITE,48.9,17.0,11.9,0.196
WEHRLITE,47.3,17.9,10.4,0.205
WEHRLITE,41.52,29.38,3.06,0.2
WEHRLITE,41.06,30.3,3.02,0.172
WEHRLITE,39.15,33.02,0.98,0.115
WEHRLITE,47.55,15.38,16.48,0.24
WEHRLITE,47.01,24.22,12.39,0.14
WEHRLITE,46.9,25.08,11.91,0.14
WEHRLITE,44.53,30.59,7.51,0.17
WEHRLITE,42.82,32.76,7.3,0.15
WEHRLITE,42.96,32.55,6.12,0.16
WEHRLITE,43.22,34.18,3.35,0.2
WEHRLITE,41.48,37.7,2.62,0.21
WEHRLITE,42.11,33.38,3.07,0.24
WEHRLITE,40.84,28.84,4.59,0.21
WEHRLITE,41.59,34.99,6.94,0.18
WEHRLITE,40.69,33.99,6.97,0.18
WEHRLITE,39.61,30.72,6.98,0.17
WEHRLITE,40.76,31.55,8.12,0.17
WEHRLITE,40.33,33.94,5.02,0.18
WEHRLITE,40.08,34.45,5.4,0.18
WEHRLITE,43.66,24.07,12.5,0.18
WEHRLITE,36.81,30.05,2.02,0.19
WEHRLITE,36.81,30.05,2.02,0.19
WEHRLITE,36.81,30.05,2.02,0.19
WEHRLITE,36.74,28.86,2.8,0.23
WEHRLITE,48.12,14.4,19.82,0.15
WEHRLITE,45.74,23.78,13.62,0.158
WEHRLITE,44.1,31.49,9.65,0.3
WEHRLITE,38.0,38.3,1.7,0.18
WEHRLITE,38.2,38.2,1.84,0.18
WEHRLITE,39.8,40.8,2.82,0.17
WEHRLITE,40.4,29.6,3.76,0.25
WEHRLITE,46.0,28.4,11.5,0.14
WEHRLITE,43.4,24.8,6.85,0.26
WEHRLITE,48.1,23.8,15.1,0.13
WEHRLITE,39.4,38.0,4.5,0.18
WEHRLITE,47.3,17.8,17.2,0.18
WEHRLITE,45.3,21.0,9.4,0.17
WEHRLITE,43.6,45.5,0.69,0.12
WEHRLITE,41.4,34.1,6.9,0.15
WEHRLITE,40.0,33.5,7.0,0.16
WEHRLITE,42.0,34.0,8.4,0.13
WEHRLITE,37.0,34.9,4.8,0.13
WEHRLITE,46.5,10.2,15.9,0.13
WEHRLITE,39.6,45.9,0.59,0.18
WEHRLITE,38.5,42.7,1.32,0.19
WEHRLITE,39.9,28.8,7.25,0.15
WEHRLITE,43.2,25.7,11.4,0.16
WEHRLITE,36.2,34.8,2.7,0.18
WEHRLITE,42.0,26.5,9.72,0.15
WEHRLITE,43.4,9.89,18.1,0.08
WEHRLITE,42.8,27.3,8.1,0.22
WEHRLITE,39.2,38.9,4.17,0.15
WEHRLITE,39.0,41.5,1.17,0.15
WEHRLITE,37.9,37.4,0.19,0.15
WEHRLITE,39.0,37.5,4.52,0.15
WEHRLITE,43.0,17.6,14.0,0.13
WEHRLITE,37.0,24.3,6.36,0.25
WEHRLITE,37.0,39.8,1.39,0.17
WEHRLITE,47.4,10.0,14.9,0.16
WEHRLITE,46.1,27.8,13.1,0.15
WEHRLITE,40.8,36.6,3.44,0.16
WEHRLITE,43.0,33.6,7.98,0.2
WEHRLITE,40.5,39.0,2.6,0.22
WEHRLITE,42.7,36.3,6.54,0.2
WEHRLITE,51.7,21.5,19.8,0.11
WEHRLITE,42.1,39.8,4.72,0.17
WEHRLITE,40.8,27.9,5.3,0.19
WEHRLITE,41.6,28.2,5.8,0.2
WEHRLITE,44.4,27.6,9.74,0.19
WEHRLITE,37.3,38.5,2.81,0.19
WEHRLITE,39.0,41.7,2.34,0.2
WEHRLITE,41.82,33.48,8.5,0.16
WEHRLITE,38.06,30.78,3.51,0.05
