SIO2,CAO,AL2O3,MGO
38.89,0.28,0.34,54.32496
45.9,3.4,3.76,45.4
41.78,0.33,0.45,56.75
44.08,0.76,0.79,53.72971
43.73,1.23,0.55,53.42
42.15,1.78,0.885877419,53.90095871
45.04,1.84,0.6,50.53564
42.63,1.37,0.6,53.73009
42.89,0.43,0.61,55.43
43.72,0.63,0.63,53.3
39.6,0.44,1.05,44.43795
45.82,0.45,0.67,52.72
43.7,0.39,0.97,53.78
39.1,0.54,1.19,44.47635
45.2,0.41,0.7,53.18
43.1,0.59,1.2,54.41
43.2,0.61,0.74,54.10931
43.5,1.13,0.75,53.0202
40.66,2.22,0.76,55.07
42.24,1.83,1.11893685,53.55735215
41.75,0.45,0.81,54.51383
43.45,1.08,0.81,52.74385
42.13,1.57,1.17,53.47
43.72,1.14,1.21,53.28
43.65,1.19,1.24,52.40366
43.73,1.39,0.85,52.15
44.07,1.63,0.85,52.28
43.97,0.5,0.85,54.39
41.57,2.34,0.86,51.61
46.18,0.63,0.86,51.8
44.26,0.76,1.22,53.53162
45.01,0.51,1.34,53.04576
46.64,0.5,0.88,51.51
45.36,0.7,1.4,51.83526
46.36,0.55,0.89,51.88
42.35,1.5,1.82,53.92
41.03,1.03,0.9,48.69133
41.4,5.2,0.9,49.6082
43.25,0.76,1.31,52.86628
44.05,0.75,0.9,52.90719
46.9,0.79,0.9,50.74
43.86,1.19,1.28,53.05
39.75,3.12,0.91,51.72436
42.9,0.54,0.91,53.65
42.59,2.07,0.94,53.57
41.72,1.43,1.33,53.59861
41.78,1.8,0.95,53.76495
43.47,1.54,1.59,51.90292
45.24,1.45,1.372,50.86
45.47,2.41,0.96,50.03011
46.28,0.48,0.96,51.77
44.16,1.61,0.97,52.31
41.55,1.31,1.4,53.22469
49.76,1.02,0.98,45.87646
43.8,1.02,1,54.13817
43.27,0.54,1.02,53.02
43.13,1,1.02,53.47
44.14,1.73,1.02,51.89
43.58,0.97,1.34,53.67819
43.55,1.61,1.56,51.09
44.49,1.74,1.03,52.3
44.15,2.08,1.04,51.51272
42.34,1.22,1.05,53.2955
45.63,1.05,1.05,51.6
39.7,1.13,1.49,42.43451
44.5,0.48,1.57,52.44
42.78,1.31,1.07,53.191
43.24,1.04,1.07,54.11262
47.26,0.79,1.08,50.36
45.09,2.92,1.77,49.77
43.4,0.84,1.1,53.53928
47.36,0.82,1.11,49.7
43.42,1.51,1.62,52.67416
42.14,1.7,1.13,53.827298
45.75,1.43,1.5,50.78
40.78,2.91,1.13,54.91
43.3,0.77,1.14,52.99918
43.8,0.84,1.16,52.47635
45.34,1.22,1.462,50.99
45.18,0.51,1.17,52.62
43.75,1.58,1.18,52.03
44.42,1.8,1.18,51.4
40.81,3.1,1.19,51.39
43.28,1.94,1.2,51.88
42.4,1.3,1.2,53.2
43.91,1.46,1.561,52.82
47.63,0.72,1.22,50.01
42.5,1.72,1.23,51.38868
46.31,0.72,1.23,51.41
41.39,2.13,1.24,53.846898
42.4,3.3,1.24,51.835314
41.74,2.36,1.24,53.6
44.61,1.35,1.65,50.96
44.08,2.01,1.6,50.87
43.23,0.56,1.475,53.77
45.5,2.3,1.25,49.55688
44.18,1.31,1.63,52.22
45.02,1.48,1.26,52.07
43.05,1.61,1.27,52.80001
43.35,1.89,1.28,51.51394
43.2,1.02,1.61,53.46718
43.2,1.16,1.29,52.42363
45,1.49,1.3,50.85
44.38,1.47,1.68,51.31
44.74,0.69,1.3,52.37473
43.08,1.54,1.31,53.099382
44.51,1.64,1.31,52.21
43.78,1.35,1.32,51.40869
40.5,3.03,1.32,53.42578031
45.5,1.65,1.33,49.4314
42.31,2.81,1.33,52.339362
47.16,0.84,1.33,50.13
45.68,2.43,1.36,44.82732
43.26,3.73,1.36,50.4009
43.04,1.1,1.58,52.88589
41.26,1.82,1.37,52.6506
46.79,0.82,1.37,50.24
42.27,2.89,1.74,51.22223
44.99,1.2,1.4,51.30455
41.53,3.32,1.4,52.03397
41.38,1.78,1.594,55.24
42.13,1.4,1.79,51.07264
43.94,1.06,1.41,52.57
42.07,1.85,1.42,52.87
42.5,1.49,2.29,53.13789
44.08,1.53,1.42,52.52686
43.81,1.39,1.86,52.67
42.9,0.5,1.66,53.71
45.58,1.29,1.9,51.01
44.3,1.95,1.44,49.87
43.85,1.65,1.44,52.044312
43.57,1.15,1.689,52.72
44.55,0.89,1.44,52.32
43.84,1.61,1.77,52.59
46.17,5.04,2.03,47.26
43.09,1.1,1.63,52.44719
44.16,2.87,1.86,51.0194
42.7,2.62,1.46,51.22807
46.05,0.91,1.46,51.11
46.67,0.81,1.46,50.6
48.01,0.93,1.46,49.07
42.48,2.54,1.85,50.66304
43.5,1.72,1.47,51.61353
43.29,1.44,1.47,52.88242
43.12,2.68,1.88,49.28718
42.26,1.31,1.88,52.56476
47.38,0.94,1.48,49.73
46.45,0.88,1.49,50.68
46.7,1.95,1.5,48.6788
39.5,1.59,1.5,56.788
43.41,1.33,1.51,51.61059
43.39,1.41,1.71,52.10032
44.58,2.68,1.51,50.92
45.1,1.97,1.52,49.3478
44.49,2.12,1.86,50.71698
45.28,1.74,1.918,50.64
44.17,1.74,1.95,51.05312
44.97,1.38,1.54,51.16
43.76,1.69,1.97,50.06759
42.78,1.75,1.853,51.37
44.23,1.9,1.93,49.74769
44.28,1.51,1.96,50.40749
42.66,2.44,1.91,50.99981
43.91,4.3,1.55,50.38342
43.84,2,1.96,49.70052
43.21,1.2,1.81,52.41151
43.25,1.07,1.91,52.36
43.56,1.42,1.98,51.2888
44.19,1.21,1.57,52.33
48.18,0.81,1.57,49.09
43.65,1.34,1.58,52.349402
46.01,2.5,1.59,47.46081
40.66,0.43,1.63,56.96
38.54,1.45,1.61,43.08553
44.1,1.75,2.01,49.89
43.94,1.08,1.61,51.46
43.85,1.12,1.61,52.81223
43.79,1.34,1.62,52.21292
44.68,1.5,2.02,47.28468
44.1,1.15,2.55,50.26435
43.89,1.58,2.02,51.84
41.75,1.26,2.02,53.95578
43.75,1.39,1.65,52.36817
45.28,2.12,1.65,50.64
48.2,2.17,1.65,47.53
43.58,2,2.02,50.82678
46.54,1.65,1.66,49.57
43.18,1.64,1.66,53.28
43.83,1.61,1.67,51.31
45.06,1.51,1.67,50.64433
44.48,2.48,1.67,50.59
43.65,1.81,2.06,50.48547
43.88,1.64,1.68,51.1215
43.84,1.64,1.68,51.4984
44.48,1.21,2.18,51.1
42.57,1.43,1.99,53.04
44.1,1.39,1.69,50.96503
42.67,2.05,1.69,51.5
43.69,1.41,1.69,52.14322
45.4,1.93,2.14,49.10776
42.52,1.7,1.7,50.91319
43.2,1.84,1.7,52.1586
45.2,1.65,2.115,50.91
44.4,1.57,1.72,50.29999
43.75,1.57,1.72,50.81312
43.04,0.94,1.73,52.65696
44,1.39,1.73,51.42141
42.69,1.91,2.028,53.12
46.05,1.72,1.73,49.98
