,SIO2,CAO,AL2O3,MGO,Classification
530,44.33,2.85,2.9,46.89901,Lherzolite
531,44.5,2.53,3.25,49.10698,Lherzolite
532,44.7,2.91,2.91,47.72,Lherzolite
533,44.54,2.89,3.29,50.52908,Lherzolite
534,44.8,2.76,2.92,47.65637,Lherzolite
535,44.85,7.24,3.31,43.164970000000004,Lherzolite
536,45.8,2.82,2.92,47.58062,Lherzolite
537,43.92,3.56,3.2710000000000004,48.87,Lherzolite
538,44.18,2.69,3.31,50.68938,Lherzolite
539,43.96,2.58,3.3,47.78456,Lherzolite
540,44.9,2.38,2.93,47.46958,Lherzolite
541,45.38,2.36,2.93,47.32614,Lherzolite
542,44.24,4.19,3.3510000000000004,47.87,Lherzolite
543,44.2,2.69,3.39,50.98292,Lherzolite
544,44.7,2.88,2.95,47.48,Lherzolite
545,43.97,2.8,2.96,49.17588,Lherzolite
546,44.34,2.54,4.05,48.53658,Lherzolite
547,45.1,3.29,2.97,46.64849,Lherzolite
548,43.64,2.36,3.398,48.21,Lherzolite
549,45.19,2.5,3.41,48.2085,Lherzolite
550,44.38,2.48,3.44,51.50463,Lherzolite
551,43.6,2.58,3.38,48.32052,Lherzolite
552,46.32,3.96,2.99,45.86,Lherzolite
553,44.63,2.6,3.0,48.04958,Lherzolite
554,44.08,2.23,3.31,48.90162,Lherzolite
555,44.5,2.7,3.0,48.9,Lherzolite
556,43.8,3.18,3.01,47.69252,Lherzolite
557,44.48,2.55,3.45,48.57,Lherzolite
558,42.38,2.64,3.03,49.26,Lherzolite
559,44.64,2.6,3.03,48.01201,Lherzolite
560,45.16,2.96,3.03,48.45,Lherzolite
561,44.19,3.38,3.424,48.72,Lherzolite
562,44.32,2.43,3.46,47.78685,Lherzolite
563,44.49,2.55,3.52,48.5493,Lherzolite
564,43.56,2.49,3.35,47.97625,Lherzolite
565,44.65,2.6,3.06,48.35605,Lherzolite
566,44.13,2.87,3.41,50.79898,Lherzolite
567,44.9,2.36,3.07,45.23706,Lherzolite
568,44.6,2.62,3.49,47.66799,Lherzolite
569,44.74,2.75,3.55,48.09233,Lherzolite
570,43.84,2.16,3.35,49.980920000000005,Lherzolite
571,43.72,2.22,3.08,48.3111,Lherzolite
572,44.5,2.62,3.08,47.23695,Lherzolite
573,44.54,2.69,3.08,47.43564,Lherzolite
574,41.41,1.91,3.08,50.96192,Lherzolite
575,44.69,2.58,3.08,47.70534,Lherzolite
576,44.45,2.31,3.45,48.75,Lherzolite
577,45.7,3.5,3.08,47.38,Lherzolite
578,44.06,3.57,3.47,48.65,Lherzolite
579,44.62,3.1,3.09,46.75517,Lherzolite
580,45.4,3.8,3.44,45.584340000000005,Lherzolite
581,44.38,2.5,3.09,48.5215,Lherzolite
582,43.27,2.7,3.09,50.3,Lherzolite
583,46.68,2.79,3.1,44.2319,Lherzolite
584,43.37,3.17,3.44,49.02385,Lherzolite
585,43.74,3.08,3.58,47.430009999999996,Lherzolite
586,44.5,3.1,3.51,47.31627,Lherzolite
587,43.69,3.04,3.491,48.61,Lherzolite
588,44.95,3.17,3.12,46.42,Lherzolite
589,45.1,2.74,3.12,47.09,Lherzolite
590,44.75,2.7,3.12,47.83231,Lherzolite
591,44.7,2.92,3.56,47.674859999999995,Lherzolite
592,43.53,1.41,3.42,50.72992,Lherzolite
593,44.44,2.85,3.56,50.428979999999996,Lherzolite
594,44.58,2.7,3.45,50.72797,Lherzolite
595,44.99,3.16,3.13,46.71665,Lherzolite
596,44.62,2.66,3.13,49.08,Lherzolite
597,44.15,4.57,3.14,45.62,Lherzolite
598,45.05,2.82,3.14,47.43,Lherzolite
599,44.98,3.26,3.64,47.65,Lherzolite
600,44.69,2.54,3.59,49.29,Lherzolite
601,45.09,3.0,3.5,49.52534,Lherzolite
602,44.66,2.75,3.15,47.21962,Lherzolite
603,44.87,2.76,3.5,46.74,Lherzolite
604,43.22,3.16,3.16,48.52,Lherzolite
605,44.22,2.6,3.5742,48.89434,Lherzolite
606,44.96,2.97,3.57,50.08312,Lherzolite
607,44.97,2.34,3.17,47.47254,Lherzolite
608,45.5,2.39,3.17,47.11919,Lherzolite
609,44.32,3.03,3.64,47.520309999999995,Lherzolite
610,46.55,2.96,3.595,46.26,Harzburgite
611,44.03342667,2.7146265,3.170815482,49.06354237,Lherzolite
612,44.37,2.72,3.18,47.87585,Lherzolite
613,44.57,3.54,3.19,45.98209,Lherzolite
614,44.56,2.81,3.19,47.86837,Lherzolite
615,43.9,2.73,3.19,48.7511,Lherzolite
616,44.53,2.69,3.6,48.04,Lherzolite
617,45.2,3.28,3.2,46.087559999999996,Lherzolite
618,44.22,2.92,3.58,48.4,Lherzolite
619,43.79,3.2,3.2,49.15,Lherzolite
620,44.48,3.23,3.21,46.88,Lherzolite
621,44.79,2.78,3.21,48.19494,Lherzolite
622,45.12,4.47,3.21,46.62,Lherzolite
623,44.4,2.42,3.22,47.93362,Lherzolite
624,43.8,3.08,3.22,48.09717,Lherzolite
625,44.95,3.17,3.64,47.23,Lherzolite
626,45.09,3.33,3.74,46.98,Lherzolite
627,44.55,2.87,3.59,48.49,Lherzolite
628,44.5,3.16,3.6,50.649190000000004,Lherzolite
629,45.8,3.59,3.57,45.16747,Lherzolite
630,45.23,2.71,3.24,46.73,Lherzolite
631,43.82,3.12,3.24,51.17458,Lherzolite
632,45.24,2.78,3.25,47.96,Lherzolite
633,42.97,3.53,3.6460000000000004,48.91,Lherzolite
634,45.27,3.11,3.25,47.79,Lherzolite
635,41.64,1.96,3.74,50.99905,Lherzolite
636,44.39,0.94,3.72,49.66598,Lherzolite
637,44.25,2.54,3.27,48.5292,Lherzolite
638,43.42,3.41,3.29,45.14911,Lherzolite
639,44.3,3.75,3.29,45.05382,Lherzolite
640,44.52,2.97,3.29,47.64,Lherzolite
641,44.23,2.47,3.63,48.3,Lherzolite
642,44.21127874,2.573072425,3.2963993560000002,49.039663700000006,Lherzolite
643,45.08,2.95,3.3,45.61877,Lherzolite
644,44.6,2.9,3.3,48.3,Lherzolite
645,43.8,3.77,3.31,47.044940000000004,Lherzolite
646,44.42,3.25,3.31,47.34901,Lherzolite
647,49.23,1.72,4.17,43.64627,Lherzolite
648,44.94,3.0,3.32,48.09,Lherzolite
649,43.02,2.58,3.33,47.43163,Lherzolite
650,44.94,3.48,3.33,47.7,Lherzolite
651,44.45,3.43,3.33,48.34,Lherzolite
652,44.1,2.83,3.34,47.4597,Lherzolite
653,44.63,2.7,3.34,47.46948,Lherzolite
654,45.1,3.08,3.71,47.51,Lherzolite
655,45.04,3.13,3.7,43.81174,Lherzolite
656,44.48,2.86,3.35,47.97453,Lherzolite
657,44.41,2.76,3.717,48.46,Lherzolite
658,44.65,2.94,3.35,48.89,Lherzolite
659,43.73831126,1.9942962130000002,3.353790702,49.75772858,Lherzolite
660,43.66,3.59,3.71,47.12446,Lherzolite
661,47.1,3.69,3.36,44.73536,Lherzolite
662,43.48,3.17,3.74,44.83103,Lherzolite
663,45.29,3.1,3.73,45.70486,Lherzolite
664,44.14,3.25,3.37,47.622240000000005,Lherzolite
665,44.58,2.51,3.37,47.95433,Lherzolite
666,43.94,3.3,3.37,48.13534,Lherzolite
667,44.76,3.55,3.73,47.79,Lherzolite
668,44.25,3.72,3.728,47.84,Lherzolite
669,43.8,2.83,3.4,46.92241,Lherzolite
670,44.18,2.98,3.75,46.71,Lherzolite
671,44.57,2.8,3.4,47.82737,Lherzolite
672,45.1,2.76,3.78,47.309509999999996,Lherzolite
673,44.4,2.7,3.4,48.4,Lherzolite
674,44.4,2.34,3.4,48.67961,Lherzolite
675,44.45,2.83,3.75,47.07,Lherzolite
676,44.15,2.92,3.41,48.53484,Lherzolite
677,44.7,3.18,3.42,46.61,Lherzolite
678,44.77,2.52,3.42,47.877159999999996,Lherzolite
679,44.26,2.78,3.42,48.386759999999995,Lherzolite
680,44.35,3.05,3.82,47.75,Lherzolite
681,44.82,3.24,3.42,47.96,Lherzolite
682,44.94,3.69,3.43,45.335440000000006,Lherzolite
683,45.67,3.85,3.43,45.597159999999995,Lherzolite
684,45.44,3.22,3.43,47.68,Lherzolite
685,55.64,0.49,3.81,39.83,Lherzolite
686,43.72,1.11,3.8,51.12,Lherzolite
687,43.87,3.05,3.81,46.75322,Lherzolite
688,46.3,2.9,3.45,44.39345,Lherzolite
689,44.6,2.81,3.45,47.16503,Lherzolite
690,44.3,3.02,3.46,46.58312,Lherzolite
691,43.7,3.34,3.46,47.26181,Lherzolite
692,44.58,2.96,3.86,46.94,Lherzolite
693,42.28,4.59,3.47,43.44962,Lherzolite
694,43.8,3.09,3.47,47.20787,Lherzolite
695,43.37,2.72,3.47,48.39969,Lherzolite
696,44.77,2.87,3.47,48.128679999999996,Lherzolite
697,45.61,3.24,3.47,47.34,Lherzolite
698,44.96,2.84,3.48,47.68403,Lherzolite
699,45.53,3.01,3.48,47.65,Lherzolite
700,44.06,3.73,3.49,44.41689,Lherzolite
701,43.07,2.64,3.49,47.78739,Lherzolite
702,44.3,2.85,3.49,47.1799,Lherzolite
703,44.79,3.21,3.84,46.12,Lherzolite
704,44.29,2.68,3.49,47.69574,Lherzolite
705,45.02,3.3,3.49,46.54103,Lherzolite
706,44.29,3.3,3.853,47.21,Lherzolite
707,45.92,6.86,3.49,43.14,Lherzolite
708,44.46,3.16,3.89,51.356970000000004,Lherzolite
709,44.19816512,2.7386104060000003,3.498089802,48.03669716,Lherzolite
710,44.79,3.08,3.5,46.91534,Lherzolite
711,42.6,0.79,3.5,51.79888,Harzburgite
712,46.5,3.43,3.5,44.87697,Lherzolite
713,44.5,3.2,3.5,48.2,Lherzolite
714,44.6,3.2,3.5,48.0,Lherzolite
715,44.69,3.16,3.9,49.82423,Lherzolite
716,44.2,3.22,3.9,46.68274,Lherzolite
717,44.1,2.89,3.51,48.02029,Lherzolite
718,45.16,3.13,3.51,46.8304,Lherzolite
719,42.62,3.19,3.52,45.07103,Lherzolite
720,44.48,3.23,3.52,46.37,Lherzolite
721,44.7,2.96,3.52,47.08909,Lherzolite
722,55.33,0.51,3.98,39.59,Lherzolite
723,45.33,4.63,3.53,42.719879999999996,Lherzolite
724,44.5,2.74,3.53,46.650490000000005,Lherzolite
725,45.36,3.7,3.53,45.79817,Lherzolite
726,45.19,3.18,3.91,46.5,Lherzolite
727,41.9,3.08,3.54,42.89,Lherzolite
728,44.1,3.73,3.54,46.18423,Lherzolite
729,44.5,3.23,3.98,46.2,Lherzolite
730,46.9,3.45,3.89,43.49666,Lherzolite
731,44.1,2.77,3.89,48.23364,Lherzolite
732,43.7,3.66,3.56,46.66514,Lherzolite
733,45.63,3.12,3.56,45.34109,Lherzolite
734,45.0,2.61,3.56,46.79766,Lherzolite
735,44.85,3.1,4.02,48.12,Lherzolite
736,44.25,3.0,3.58,46.33,Lherzolite
737,44.8,3.31,3.58,45.677459999999996,Lherzolite
738,43.83,3.89,3.83,46.40842,Lherzolite
739,54.53,5.0,3.58,36.10255,Lherzolite
740,44.7,3.2,3.94,47.27,Lherzolite
741,44.8,2.99,4.01,48.14,Lherzolite
742,43.57,3.01,3.59,47.860009999999996,Lherzolite
743,45.72,2.75,3.59,46.77,Lherzolite
744,44.67,2.99,3.6,46.8008,Lherzolite
745,44.6,2.47,3.97,47.46051,Lherzolite
746,42.89,3.12,3.98,48.4773,Lherzolite
747,44.84,3.2,3.61,47.57756,Lherzolite
748,44.8,4.03,3.96,45.62474,Lherzolite
749,45.13,2.83,3.63,47.12,Lherzolite
750,39.03,3.15,3.65,50.80953,Lherzolite
751,46.74,3.73,3.65,45.18,Lherzolite
752,49.59,16.66,3.66,27.44748,Lherzolite
753,44.5,2.93,4.1,46.8,Lherzolite
754,44.84,3.97,3.66,46.7,Lherzolite
755,44.86,3.95,3.66,46.7,Lherzolite
756,40.84,3.51,3.67,49.1,Lherzolite
757,44.21,3.11,3.67,46.84898,Lherzolite
758,44.94,2.81,3.67,46.302409999999995,Lherzolite
759,44.67,2.97,3.67,46.44962,Lherzolite
760,44.7,2.59,3.67,47.09877,Lherzolite
761,46.34,3.47,4.05,44.16,Lherzolite
762,44.39,3.83,4.09,47.78,Lherzolite
763,44.0,3.97,3.68,45.86403,Lherzolite
764,45.2,4.4,3.68,44.35494,Lherzolite
765,55.35,0.55,4.14,39.57,Lherzolite
766,46.51,2.6,3.69,45.101729999999996,Lherzolite
767,44.1,3.8,3.69,46.442209999999996,Lherzolite
768,44.99,3.44,3.69,46.45635,Lherzolite
769,44.02,3.06,3.7,47.60002,Lherzolite
770,44.18,3.37,3.98,47.02357,Lherzolite
771,45.0,3.4,3.7,47.1,Lherzolite
772,45.6,3.1,3.7,47.4,Lherzolite
773,44.2,3.55,3.71,45.28989,Lherzolite
774,44.71,3.12,3.71,46.91,Lherzolite
775,44.24,3.22,4.0799,47.59353,Lherzolite
776,44.15,3.29,3.72,46.67342,Lherzolite
777,44.55,3.31,3.72,46.90837,Lherzolite
778,44.72,3.43,3.72,47.06787,Lherzolite
779,44.49,3.35,4.253,45.6219,Lherzolite
780,44.59,3.03,4.07,46.31,Lherzolite
781,44.61,2.95,4.119,47.21,Lherzolite
782,44.87,2.95,4.1160000000000005,47.59,Lherzolite
783,43.85,3.12,3.74,46.59,Lherzolite
784,44.87,3.07,3.74,45.962309999999995,Lherzolite
785,44.22,3.18,4.09,48.83,Lherzolite
786,44.7,3.76,3.76,45.47868,Lherzolite
787,44.7,3.04,4.145,46.81,Lherzolite
788,44.54,3.16,3.77,46.60958,Lherzolite
789,44.93,3.6,3.77,46.03536,Lherzolite
790,44.32,4.53,3.78,43.23,Lherzolite
791,44.0,2.88,4.2,46.2,Lherzolite
792,43.36,3.04,3.78,48.48787,Lherzolite
793,43.73,3.55,3.79,45.31234,Lherzolite
794,43.09,3.37,3.8,46.71363,Lherzolite
795,45.07,3.27,3.81,46.7,Lherzolite
796,55.15,0.51,4.19,40.26,Lherzolite
797,44.0,3.7,3.82,46.29322,Lherzolite
798,44.01,3.36,3.82,47.09624,Lherzolite
799,44.75,3.18,3.82,47.55,Lherzolite
800,44.0,2.85,3.83,46.900209999999994,Lherzolite
801,54.13,0.51,4.19,39.36,Lherzolite
802,43.3,3.42,3.84,43.742340000000006,Lherzolite
803,44.48,3.2,3.84,46.50302,Lherzolite
804,44.64,2.88,4.227,47.47,Lherzolite
805,45.73,2.98,3.84,46.55,Lherzolite
806,43.8,4.22,3.85,45.69999,Lherzolite
807,47.21,3.01,3.85,44.66644,Lherzolite
808,44.83,3.29,4.246,46.79,Lherzolite
809,45.66,3.23,3.85,46.69,Lherzolite
810,44.73,3.29,4.32,45.98,Lherzolite
811,44.95,3.37,3.86,46.254740000000005,Lherzolite
812,44.83,3.71,4.19,47.29,Lherzolite
813,45.62,3.28,3.87,45.52153,Lherzolite
814,44.94,3.49,3.87,47.37,Lherzolite
815,43.95,3.04,4.26,47.25,Lherzolite
816,44.6,2.84,3.89,46.65948,Lherzolite
817,45.7,4.29,4.37,44.9,Lherzolite
818,45.02,3.22,4.32,47.74,Lherzolite
819,45.92,3.24,4.29,44.61,Lherzolite
820,45.74,4.67,3.9,44.61,Lherzolite
821,45.3,3.1,3.9,47.5,Lherzolite
822,47.21,3.02,3.91,42.78058,Lherzolite
823,45.4,3.38,4.36,45.12,Lherzolite
824,44.84,3.45,4.31,46.73,Lherzolite
825,45.72,3.52,4.3,46.42,Lherzolite
826,45.48,4.49,4.28,47.52221,Lherzolite
827,48.93,3.7,3.92,40.668209999999995,Lherzolite
828,44.2,4.04,3.92,45.4203,Lherzolite
829,45.11,3.33,3.92,46.15898,Lherzolite
830,45.1,2.66,4.23,46.998999999999995,Lherzolite
831,44.99,3.6,4.27,46.04,Lherzolite
832,45.07,3.55,4.27,46.34,Lherzolite
833,43.95,3.0,4.32,46.96,Lherzolite
834,45.2,3.08,3.96,45.51453,Lherzolite
835,45.54,3.35,4.378,46.3,Lherzolite
836,45.5,3.33,4.374,46.43,Lherzolite
837,44.2,2.79,3.97,45.91708,Lherzolite
838,46.02,3.88,3.97,45.200590000000005,Lherzolite
839,44.95,3.74,3.97,47.17,Lherzolite
840,45.14,3.62,4.31,46.16,Lherzolite
841,45.8,3.76,3.99,43.8415,Lherzolite
842,47.78,4.48,4.12,40.908,Lherzolite
843,54.42,0.5,4.33,39.67,Lherzolite
844,45.15,4.28,3.99,45.83,Lherzolite
845,44.6,4.01,4.37,45.22,Lherzolite
846,44.6,3.7,4.0,46.5,Lherzolite
847,44.46,2.8,4.33,47.124959999999994,Lherzolite
848,44.8,3.3,4.0,46.9,Lherzolite
849,45.2,3.3,4.0,46.5,Lherzolite
850,45.07,3.26,4.01,45.71648,Lherzolite
851,44.4,3.29,4.01,46.66608,Lherzolite
852,45.25,3.55,4.02,45.4206,Lherzolite
853,44.25,3.35,4.41,46.6,Lherzolite
854,44.13,2.76,4.06,45.63739,Lherzolite
855,45.07,3.68,4.06,45.10382,Lherzolite
856,42.93,7.88,4.22,42.80669,Lherzolite
857,45.45,3.53,4.4639999999999995,45.56,Lherzolite
858,43.98,4.05,4.1,44.01527,Lherzolite
859,44.6,3.42,4.49,46.6,Lherzolite
860,46.01,4.03,4.1,45.41,Lherzolite
861,45.18,3.26,4.12,45.02352,Lherzolite
862,45.46,3.32,4.55,47.13,Lherzolite
863,44.72,3.34,4.14,45.681000000000004,Lherzolite
864,43.8,3.63,4.14,46.29788,Lherzolite
865,53.39,2.09,4.14,38.33,Lherzolite
866,45.03,2.96,4.53,46.76,Lherzolite
867,43.87,2.92,4.56,46.475359999999995,Lherzolite
868,52.1,22.96,5.17,18.94,Lherzolite
869,40.53,3.49,4.18,46.97,Lherzolite
870,42.71,6.13,4.18,43.71,Lherzolite
871,46.33,3.4,4.18,44.2408,Lherzolite
872,45.38,3.71,4.52,45.3605,Lherzolite
873,41.96,3.33,4.49,46.03598,Lherzolite
874,44.65,3.99,4.22,44.95827,Lherzolite
875,43.3,4.92,4.26,43.282340000000005,Lherzolite
876,45.04,3.59,4.26,45.29595,Lherzolite
877,55.08,0.49,4.54,39.97,Lherzolite
878,45.26,2.84,4.665,46.82,Lherzolite
879,46.15,4.05,4.64,43.75,Lherzolite
880,44.7,3.27,4.31,45.64372,Lherzolite
881,44.15,3.0,4.74,46.42,Lherzolite
882,44.18,3.46,4.4,45.317190000000004,Lherzolite
883,45.19,3.49,4.803,45.81,Lherzolite
884,44.7,4.14,4.85,44.848490000000005,Lherzolite
885,43.42,3.04,4.985,47.77,Lherzolite
886,48.2,6.39,4.46,40.14785,Lherzolite
887,45.63,4.18,4.98,44.67223,Lherzolite
888,52.74,3.35,4.49,38.24,Lherzolite
889,44.56,3.87,4.53,45.324529999999996,Lherzolite
890,44.96,3.64,5.06,43.556340000000006,Lherzolite
891,45.37,3.53,4.988,45.45,Lherzolite
892,45.14,3.66,4.95,45.7282,Lherzolite
893,44.11,3.14,4.66,45.25595,Lherzolite
894,46.79,2.45,4.66,45.30688,Lherzolite
895,45.3,4.1,4.7,44.7,Lherzolite
896,47.97,3.84,4.72,40.493759999999995,Lherzolite
897,48.05,2.68,4.74,44.11991,Lherzolite
898,45.53,3.43,5.171,45.21,Lherzolite
899,44.69,3.77,5.15,44.38483,Lherzolite
900,44.55,3.7,5.19,45.2,Lherzolite
901,51.41,22.22,5.7,18.21,Lherzolite
902,51.38,21.96,5.56,18.55,Lherzolite
903,48.02,2.97,5.13,42.24406,Lherzolite
904,43.68,4.74,5.547000000000001,45.37,Lherzolite
905,45.3,4.33,5.25,43.5085,Lherzolite
906,43.86,1.92,4.92,47.29455,Lherzolite
907,44.21,6.62,5.39,42.00497,Lherzolite
908,51.81,14.16,4.96,26.42,Lherzolite
909,47.7,4.04,4.99,41.66,Lherzolite
910,52.09,22.07,6.21,18.15,Lherzolite
911,51.32,2.42,5.17,38.462309999999995,Lherzolite
912,49.76,1.94,5.65,40.3477,Lherzolite
913,45.8,5.34,5.76,41.52,Lherzolite
914,41.44,2.96,5.4,46.25306,Lherzolite
915,46.0,4.9,5.46,42.0,Lherzolite
916,52.06,20.78,5.73,17.68,Lherzolite
917,52.41,5.43,5.58,34.77,Lherzolite
918,43.42,2.84,6.86,45.673559999999995,Lherzolite
919,42.65,3.47,5.98,43.46709,Lherzolite
920,51.85,20.78,6.99,17.63,Lherzolite
921,41.02,3.43,6.33,47.36322,Lherzolite
922,44.6,3.34,7.36,43.73,Lherzolite
923,51.55,20.94,7.3,17.87,Lherzolite
924,41.44,4.45,6.75,44.69972,Lherzolite
925,48.09,10.53,7.02,31.3981,Wehrlite
926,48.67,15.25,7.55,25.31,Lherzolite
927,44.25,8.14,7.88,35.54356,Wehrlite
928,44.82,8.12,8.41,36.30093,Wehrlite
929,48.93,8.98,8.69,31.051440000000003,Wehrlite
930,38.77,11.03,9.31,28.695,Lherzolite
931,41.33,9.01,10.84,24.79267,Lherzolite
932,41.85,8.57,11.01,25.0351,Lherzolite
933,44.5,9.03,11.22,22.95426,Lherzolite
934,42.56,8.72,11.28,24.4362,Lherzolite
935,43.49,8.6,11.88,23.67417,Lherzolite
936,44.34,10.53,12.04,19.70166,Lherzolite
937,44.34,10.53,12.04,19.70166,Lherzolite
938,44.11,9.64,12.55,21.59306,Lherzolite
939,43.78,8.92,14.06,22.33094,Lherzolite
940,43.31,9.15,14.17,21.56186,Lherzolite
941,46.1,8.18,14.42,20.06,Lherzolite
942,33.32,0.14,0.07,48.45008,Dunite
943,39.8,0.05,0.04,56.43829,Dunite
944,36.3,0.21,0.06,51.56725,Dunite
945,33.54,0.21,0.26,47.22834,Dunite
946,35.25,0.1,0.28,47.76886,Harzburgite
947,41.79,0.58,0.09,57.52,Dunite
948,41.3,0.16,0.1,58.14,Dunite
949,40.6,0.66,0.11,58.53,Dunite
950,34.44,0.2,0.44,49.71098,Dunite
951,41.47,0.48,0.12,57.7,Dunite
952,40.2,0.21,0.3,57.697669999999995,Dunite
953,46.26,0.49,0.12,51.522729999999996,Lherzolite
954,46.6,0.32,0.13,50.60172,Dunite
955,34.17,0.14,0.41,47.397059999999996,Harzburgite
956,40.12,0.34,0.15,57.80356999999999,Dunite
957,43.92,0.08,0.16,53.9494,Harzburgite
958,41.12,0.69,0.18,56.31998000000001,Dunite
959,39.21,0.25,0.41,51.68685,Dunite
960,41.87,0.14,0.68,55.91463,Harzburgite
961,42.27,0.41,0.38,55.3413,Dunite
962,43.28,0.17,0.19,56.09636999999999,Harzburgite
963,38.7,3.48,0.19,56.360569999999996,Dunite
964,33.01,0.14,0.2,48.3111,Dunite
965,33.01,0.14,0.47,48.3111,Dunite
966,39.0,0.05,0.2,51.61575,Dunite
967,40.0,0.03,0.43,58.61059,Dunite
968,41.03,0.28,0.22,58.54,Dunite
969,40.4,0.24,0.23,58.04,Dunite
970,40.5,0.2,0.23,58.569309999999994,Dunite
971,40.04,0.5,0.24,58.52,Dunite
972,40.0,0.4,0.25,48.4617,Dunite
973,39.91,0.28,0.27,58.41,Dunite
974,40.83,0.05,0.47,58.43026,Dunite
975,39.47,0.15,0.67,48.06937,Dunite
976,37.02,0.16,0.28,53.58962,Dunite
977,40.48,0.08,0.5,57.49211,Dunite
978,40.2,0.32,0.3,57.391000000000005,Dunite
979,41.66,0.43,0.3,57.02275,Dunite
980,39.89,0.12,0.682,56.8699,Dunite
981,39.8,0.33,0.34,48.391999999999996,Dunite
982,42.45,0.37,0.64,55.43938000000001,Dunite
983,40.97,0.35,0.34,56.741409999999995,Dunite
984,40.52,0.38,0.34,57.48,Dunite
985,39.41,0.47,0.34,59.07,Dunite
986,40.5,0.45,0.5,57.45162,Dunite
987,38.3,0.44,0.73,48.29967,Dunite
988,39.68,0.03,0.61,59.0905,Dunite
989,38.31,0.19,0.38,55.69345,Dunite
990,36.74,0.14,0.81,46.94462,Harzburgite
991,39.47,0.15,0.7,47.56664,Dunite
992,37.55,7.34,0.4,52.67462,Wehrlite
993,38.8,0.24,0.4,59.21,Dunite
994,42.28,0.27,0.85,55.17524,Dunite
995,40.77,0.02,1.68,57.54,Dunite
996,41.64,0.13,0.44,56.44634,Dunite
997,40.09,0.14,0.8,57.934540000000005,Dunite
998,39.75,0.4,0.45,57.4,Dunite
999,34.5,0.37,0.71,45.51169,Harzburgite
1000,43.41,0.29,1.01,53.8216,Harzburgite
1001,40.15,0.18,0.48,56.82516999999999,Dunite
1002,40.22,0.34,0.5,57.39,Dunite
1003,39.9,0.75,0.5,56.1779,Dunite
1004,39.49,0.49,0.51,58.81,Dunite
1005,39.77,0.2,0.52,58.17,Dunite
1006,39.57,0.36,0.53,57.85,Dunite
1007,40.89,0.4,1.0,55.79031,Harzburgite
1008,39.76,0.47,0.55,56.91,Dunite
1009,43.0,0.1,0.56,54.73345,Harzburgite
1010,41.8,0.43,0.57,56.71,Dunite
1011,40.8,0.54,0.93,50.66695,Harzburgite
1012,43.58,0.7,0.61,53.42,Harzburgite
1013,39.89,0.73,0.61,58.44,Dunite
1014,43.1,0.67,0.62,54.609590000000004,Harzburgite
1015,39.23,0.69,0.62,55.741240000000005,Dunite
1016,38.14,0.6,1.04,48.453920000000004,Dunite
1017,43.7,2.06,0.63,53.7199,Harzburgite
1018,40.04,0.3,0.64,58.94,Dunite
1019,38.92,0.38,0.64,74.26751999999999,Dunite
1020,38.43,0.5,0.99,46.82816,Dunite
1021,39.21,0.56,0.65,57.28,Dunite
1022,40.56,2.4,0.9093316570000001,55.84253055,Lherzolite
1023,39.72,0.29,0.7,57.3,Dunite
1024,38.75,0.5,0.7,54.75,Dunite
1025,39.0,0.6,1.3,57.3,Dunite
1026,38.61,1.37,0.71,55.97,Dunite
1027,39.64,0.27,0.73,57.62,Dunite
1028,43.2,0.85,0.74,54.27,Harzburgite
1029,39.1,0.8,0.74,58.22,Dunite
1030,44.07,0.54,1.21,52.650690000000004,Harzburgite
1031,42.68,0.78,0.77,53.54362,Harzburgite
1032,42.54,0.71,0.78,54.23766,Harzburgite
1033,44.24,0.84,0.78,52.9216,Harzburgite
1034,44.52,0.84,1.21,52.19251,Harzburgite
1035,42.61,0.4,0.8,54.61656,Harzburgite
1036,39.6,0.35,0.8,57.1,Dunite
1037,42.39,0.76,0.81,54.13958,Harzburgite
1038,39.59,0.23,0.83,59.18,Dunite
1039,35.86,0.0,1.14,48.02447,Harzburgite
1040,39.33,0.18,1.23,58.80395,Dunite
1041,43.53,0.27,0.87,39.7032,Harzburgite
1042,39.75,0.43,0.87,58.65,Dunite
1043,39.04,0.04,1.12,59.11981,Dunite
1044,39.8,0.5,1.44,58.0,Dunite
1045,39.4,0.7,1.41,57.8,Dunite
1046,41.57,1.21,0.91,54.17,Harzburgite
1047,38.78,0.05,1.91,57.637,Dunite
1048,35.22,0.62,0.94,58.14,Dunite
1049,40.0,0.53,0.98,43.0011,Harzburgite
1050,39.94,0.31,0.98,58.02,Dunite
1051,39.29,0.07,1.54,43.908359999999995,Harzburgite
1052,41.79,3.3,1.26,51.7381,Lherzolite
1053,40.99,4.32,1.6780000000000002,49.51,Wehrlite
1054,39.59,0.3,1.09,58.25,Dunite
1055,40.85,2.46,1.19,54.39,Lherzolite
1056,39.57,0.44,1.26,57.64,Dunite
1057,39.36,0.61,1.27,57.52,Dunite
1058,38.42,0.27,1.28,56.37862,Harzburgite
1059,38.3,0.14,3.98,55.97586999999999,Dunite
1060,41.82,5.02,1.986,49.73,Wehrlite
1061,43.26,1.41,1.42,52.27446,Lherzolite
1062,38.59,0.3,1.63,46.80236,Dunite
1063,40.27,0.96,1.44,56.89,Dunite
1064,40.74,0.07,1.48,57.38778000000001,Dunite
1065,39.91,1.57,1.65,56.42,Dunite
1066,43.99,0.64,1.72,52.16129,Harzburgite
1067,40.65,0.05,1.73,56.67061999999999,Dunite
1068,45.88,0.81,2.248,50.3,Harzburgite
