,SIO2,CAO,AL2O3,MGO,Classification
85,43.91,1.46,1.561,52.82,Lherzolite
86,47.63,0.72,1.22,50.01,Lherzolite
87,42.5,1.72,1.23,51.38868,Lherzolite
88,46.31,0.72,1.23,51.41,Harzburgite
89,41.39,2.13,1.24,53.846897999999996,Lherzolite
90,42.4,3.3,1.24,51.835314000000004,Lherzolite
91,41.74,2.36,1.24,53.6,Lherzolite
92,44.61,1.35,1.65,50.96,Lherzolite
93,44.08,2.01,1.6,50.87,Lherzolite
94,43.23,0.56,1.475,53.77,Harzburgite
95,45.5,2.3,1.25,49.55688,Lherzolite
96,44.18,1.31,1.63,52.22,Harzburgite
97,45.02,1.48,1.26,52.07,Harzburgite
98,43.05,1.61,1.27,52.80001,Lherzolite
99,43.35,1.89,1.28,51.513940000000005,Lherzolite
100,43.2,1.02,1.61,53.467180000000006,Harzburgite
101,43.2,1.16,1.29,52.423629999999996,Lherzolite
102,45.0,1.49,1.3,50.85,Lherzolite
103,44.38,1.47,1.68,51.31,Lherzolite
104,44.74,0.69,1.3,52.37473,Harzburgite
105,43.08,1.54,1.31,53.09938199999999,Harzburgite
106,44.51,1.64,1.31,52.21,Lherzolite
107,43.78,1.35,1.32,51.40869,Harzburgite
108,40.5,3.03,1.32,53.42578031,Wehrlite
109,45.5,1.65,1.33,49.4314,Lherzolite
110,42.31,2.81,1.33,52.339362,Harzburgite
111,47.16,0.84,1.33,50.13,Lherzolite
112,45.68,2.43,1.36,44.82732,Lherzolite
113,43.26,3.73,1.36,50.4009,Wehrlite
114,43.04,1.1,1.58,52.88589,Harzburgite
115,41.26,1.82,1.37,52.6506,Harzburgite
116,46.79,0.82,1.37,50.24,Lherzolite
117,42.27,2.89,1.74,51.222229999999996,Lherzolite
118,44.99,1.2,1.4,51.30455,Harzburgite
119,41.53,3.32,1.4,52.033970000000004,Wehrlite
120,41.38,1.78,1.594,55.24,Harzburgite
121,42.13,1.4,1.79,51.07264,Harzburgite
122,43.94,1.06,1.41,52.57,Harzburgite
123,42.07,1.85,1.42,52.87,Lherzolite
124,42.5,1.49,2.29,53.137890000000006,Lherzolite
125,44.08,1.53,1.42,52.52686,Lherzolite
126,43.81,1.39,1.86,52.67,Harzburgite
127,42.9,0.5,1.66,53.71,Harzburgite
128,45.58,1.29,1.9,51.01,Lherzolite
129,44.3,1.95,1.44,49.87,Lherzolite
130,43.85,1.65,1.44,52.044312,Lherzolite
131,43.57,1.15,1.689,52.72,Harzburgite
132,44.55,0.89,1.44,52.32,Harzburgite
133,43.84,1.61,1.77,52.59,Lherzolite
134,46.17,5.04,2.03,47.26,Lherzolite
